PG.Number,PG.PlayerFirstName,PG.PlayerLastName,PG.Ht,PG.Wt,PG.Yr,PG.Min.Pct,SG.Number,SG.PlayerFirstName,SG.PlayerLastName,SG.Ht,SG.Wt,SG.Yr,SG.Min.Pct,SF.Number,SF.PlayerFirstName,SF.PlayerLastName,SF.Ht,SF.Wt,SF.Yr,SF.Min.Pct,PF.Number,PF.PlayerFirstName,PF.PlayerLastName,PF.Ht,PF.Wt,PF.Yr,PF.Min.Pct,C.Number,C.PlayerFirstName,C.PlayerLastName,C.Ht,C.Wt,C.Yr,C.Min.Pct,Team,Year
4,Damien,Daniels,5-7,140, So,0.53,20,Coryon,Mason,6-0,190, Jr,0.63,5,Payten,Ricks,6-2,190, Sr,0.5,42,Clay,Gayman,6-6,220, So,0.52,34,Kolton,Kohl,7-0,240, Jr,0.41,Abilene Christian,2020
1,Reggie,Miller,6-0,150, Jr,0.47,5,Payten,Ricks,6-2,190, Sr,0.35,14,Trey,Lenox,6-3,220, Sr,0.39,3,Airion,Simmons,6-5,264, Fr,0.28,3,Airion,Simmons,6-5,264, Fr,0.23,Abilene Christian,2020
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,11,Tobias,Cameron,6-5,210, So,0.11,23,Hayden,Howell,6-7,225, Sr,0.11,32,Joe,Pleasant,6-8,220, So,0.2,Abilene Christian,2020
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,32,Joe,Pleasant,6-8,220, So,0.09,23,Hayden,Howell,6-7,225, Sr,0.17,Abilene Christian,2020
10,AJ,Walker,6-2,191, So,0.75,0,Caleb,Morris,6-4,185, Sr,0.66,3,Sid,Tomes,6-4,200, Sr,0.59,12,Lavelle,Scottie,6-7,225, Sr,0.61,34,Ryan,Swan,6-8,240, Sr,0.69,Air Force,2020
13,LeSean,Brown,6-2,185, Sr,0.14,3,Sid,Tomes,6-4,200, Sr,0.12,5,Chris,Joyce,6-5,193, Jr,0.26,11,Ameka,Akaya,6-6,215, Jr,0.22,12,Lavelle,Scottie,6-7,225, Sr,0.24,Air Force,2020
5,Chris,Joyce,6-5,193, Jr,0.11,24,Mason,Taylor,6-4,190, Fr,0.12,0,Caleb,Morris,6-4,185, Sr,0.13,44,Keaton,Van,6-7,195, Jr,0.12,44,Keaton,Van,6-7,195, Jr,0.05,Air Force,2020
NA,NA,NA,NA,NA,,NA,13,LeSean,Brown,6-2,185, Sr,0.1,NA,NA,NA,NA,NA,,NA,15,Abe,Kinrade,6-7,200, So,0.06,NA,NA,NA,NA,NA,,NA,Air Force,2020
1,Loren,Cristian,5-8,150, Jr,0.89,11,Channel,Banks,6-4,188, Sr,0.62,4,Tyler,Cheese,6-5,202, Sr,0.6,20,Xeyrius,Williams,6-9,215, Sr,0.53,10,Deng,Riak,6-10,220, Sr,0.51,Akron,2020
2,Greg,Tribble,6-1,192, Fr,0.09,2,Greg,Tribble,6-1,192, Fr,0.37,11,Channel,Banks,6-4,188, Sr,0.21,5,Camron,Reece,6-7,228, Jr,0.32,20,Xeyrius,Williams,6-9,215, Sr,0.32,Akron,2020
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,22,Mikal,Dawson,6-5,220, Fr,0.09,24,Ali,Ali,6-8,206, Fr,0.13,23,Jaden,Sayles,6-9,235, Jr,0.11,Akron,2020
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,24,Ali,Ali,6-8,206, Fr,0.09,NA,NA,NA,NA,NA,,NA,5,Camron,Reece,6-7,228, Jr,0.06,Akron,2020
2,Kira,Lewis,6-3,165, So,0.92,11,James,Bolden,6-0,160, Sr,0.59,5,Jaden,Shackelford,6-3,195, Fr,0.42,1,Herbert,Jones,6-7,205, Jr,0.53,0,Javian,Davis,6-9,242, Fr,0.46,Alabama,2020
11,James,Bolden,6-0,160, Sr,0.07,5,Jaden,Shackelford,6-3,195, Fr,0.37,23,John,Petty,6-5,184, Jr,0.27,3,Alex,Reese,6-9,245, Jr,0.22,3,Alex,Reese,6-9,245, Jr,0.34,Alabama,2020
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,12,Jaylen,Forbes,6-4,186, Fr,0.17,23,John,Petty,6-5,184, Jr,0.11,30,Galin,Smith,6-9,240, Jr,0.19,Alabama,2020
