PG.Number,PG.PlayerFirstName,PG.PlayerLastName,PG.Ht,PG.Wt,PG.Yr,PG.Min.Pct,SG.Number,SG.PlayerFirstName,SG.PlayerLastName,SG.Ht,SG.Wt,SG.Yr,SG.Min.Pct,SF.Number,SF.PlayerFirstName,SF.PlayerLastName,SF.Ht,SF.Wt,SF.Yr,SF.Min.Pct,PF.Number,PF.PlayerFirstName,PF.PlayerLastName,PF.Ht,PF.Wt,PF.Yr,PF.Min.Pct,C.Number,C.PlayerFirstName,C.PlayerLastName,C.Ht,C.Wt,C.Yr,C.Min.Pct,Team,Year
5,Jalen,Little,5-11,170, Jr,0.71,3,Parker,Wentz,5-9,170, Jr,0.77,1,LaDarrien,Williams,6-0,180, Sr,0.43,0,Riley,Payne,6-5,200, Fr,0.58,12,Austin,Cooke,6-7,225, Jr,0.59,Abilene Christian,2015
11,Harrison,Hawkins,6-0,170, Sr,0.17,11,Harrison,Hawkins,6-0,170, Sr,0.14,10,Isaiah,Tripp,6-1,180, Fr,0.2,12,Austin,Cooke,6-7,225, Jr,0.29,33,Duran,Porter,6-8,230, Jr,0.25,Abilene Christian,2015
1,LaDarrien,Williams,6-0,180, Sr,0.11,1,LaDarrien,Williams,6-0,180, Sr,0.07,22,Drake,Green,6-3,170, Fr,0.19,10,Isaiah,Tripp,6-1,180, Fr,0.05,14,Alexsander,Milosavljevic,6-9,245, Jr,0.12,Abilene Christian,2015
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,11,Harrison,Hawkins,6-0,170, Sr,0.16,1,LaDarrien,Williams,6-0,180, Sr,0.05,NA,NA,NA,NA,NA,,NA,Abilene Christian,2015
22,Max,Yon,6-4,198, Sr,0.63,20,Trevor,Lyons,6-3,190, Fr,0.64,5,Zach,Kocur,6-3,200, So,0.43,35,Hayden,Graham,6-5,195, So,0.59,0,Marek,Olesinski,6-9,220, Sr,0.75,Air Force,2015
20,Trevor,Lyons,6-3,190, Fr,0.21,5,Zach,Kocur,6-3,200, So,0.28,13,Matt,Mooney,6-3,200, Fr,0.31,21,DeLovell,Earls,6-6,225, Sr,0.24,41,Zach,Moer,6-11,225, Jr,0.17,Air Force,2015
3,Justin,Hammonds,6-6,205, Sr,0.14,13,Matt,Mooney,6-3,200, Fr,0.06,35,Hayden,Graham,6-5,195, So,0.22,3,Justin,Hammonds,6-6,205, Sr,0.1,NA,NA,NA,NA,NA,,NA,Air Force,2015
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,32,Ryan,Manning,6-6,190, Fr,0.05,NA,NA,NA,NA,NA,,NA,Air Force,2015
55,Antino,Jackson,5-11,160, Fr,0.76,4,Deji,Ibitayo,6-4,200, Sr,0.59,21,Reggie,McAdams,6-7,208, Jr,0.57,2,Kwan,Cheatham,6-9,230, So,0.49,23,Isaiah,Johnson,6-10,290, So,0.65,Akron,2015
3,Nyles,Evans,5-11,160, Sr,0.24,3,Nyles,Evans,5-11,160, Sr,0.28,15,Jake,Kretzer,6-7,216, Jr,0.4,15,Jake,Kretzer,6-7,216, Jr,0.36,2,Kwan,Cheatham,6-9,230, So,0.21,Akron,2015
NA,NA,NA,NA,NA,,NA,21,Reggie,McAdams,6-7,208, Jr,0.1,NA,NA,NA,NA,NA,,NA,11,Aaron,Jackson,6-8,215, Fr,0.1,34,Pat,Forsythe,6-11,245, Jr,0.14,Akron,2015
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,34,Pat,Forsythe,6-11,245, Jr,0.05,NA,NA,NA,NA,NA,,NA,Akron,2015
32,Retin,Obasohan,6-1,208, Jr,0.54,20,Levi,Randolph,6-5,208, Sr,0.76,21,Rodney,Cooper,6-6,218, Sr,0.67,1,Riley,Norris,6-7,207, Fr,0.69,10,Jimmie,Taylor,6-10,240, So,0.68,Alabama,2015
5,Justin,Coleman,5-10,160, Fr,0.41,32,Retin,Obasohan,6-1,208, Jr,0.18,35,Dakota,Slaughter,6-6,220, Sr,0.19,3,Michael,Kessens,6-9,223, So,0.19,3,Michael,Kessens,6-9,223, So,0.32,Alabama,2015
20,Levi,Randolph,6-5,208, Sr,0.05,NA,NA,NA,NA,NA,,NA,20,Levi,Randolph,6-5,208, Sr,0.09,21,Rodney,Cooper,6-6,218, Sr,0.12,NA,NA,NA,NA,NA,,NA,Alabama,2015
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,1,Riley,Norris,6-7,207, Fr,0.05,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,Alabama,2015
10,Rakiya,Battle,6-0,180, So,0.89,22,Tyler,Davis,6-2,180, Jr,0.7,23,Ladarius,Tabb,6-5,190, Jr,0.41,23,Ladarius,Tabb,6-5,190, Jr,0.55,35,Nick,West,6-10,205, Jr,0.58,Alabama A&M,2015
4,Justin,Colvin,6-3,190, Jr,0.05,4,Justin,Colvin,6-3,190, Jr,0.14,30,Adrian,Edwards,6-4,195, So,0.34,34,Michael,Hutchins,6-8,205, Jr,0.33,0,Isaiah,Cotton,7-0,295, Jr,0.19,Alabama A&M,2015
NA,NA,NA,NA,NA,,NA,24,Arthur,Wade,6-4,190, Jr,0.1,4,Justin,Colvin,6-3,190, Jr,0.13,35,Nick,West,6-10,205, Jr,0.1,33,Baryn,Houston,6-7,190, Jr,0.14,Alabama A&M,2015
NA,NA,NA,NA,NA,,NA,12,Marcus,Merriweather,6-1,185, So,0.05,24,Arthur,Wade,6-4,190, Jr,0.12,NA,NA,NA,NA,NA,,NA,34,Michael,Hutchins,6-8,205, Jr,0.09,Alabama A&M,2015
12,Jamel,Waters,5-9,160, Jr,0.77,3,DeMarcus,Robinson,5-10,165, Sr,0.61,5,Bobby,Brown,6-6,185, Jr,0.57,22,Maurice,Strong,6-5,210, Sr,0.37,0,Wendell,Lewis,6-10,260, Sr,0.7,Alabama St.,2015
3,DeMarcus,Robinson,5-10,165, Sr,0.2,52,Steve,Rogers,6-1,160, Fr,0.37,2,Luther,Page,6-6,190, Sr,0.29,4,Brandon,Graham,6-7,195, Sr,0.35,22,Maurice,Strong,6-5,210, Sr,0.23,Alabama St.,2015
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,14,Tony,Armstrong,6-6,185, So,0.06,2,Luther,Page,6-6,190, Sr,0.2,NA,NA,NA,NA,NA,,NA,Alabama St.,2015
0,Evan,Singletary,6-1,195, Jr,0.83,12,Peter,Hooley,6-4,200, Jr,0.51,1,Ray,Sanders,6-4,210, Jr,0.6,14,Sam,Rowley,6-6,230, Sr,0.82,10,Mike,Rowley,6-8,230, So,0.63,Albany,2015
12,Peter,Hooley,6-4,200, Jr,0.17,25,Wheeler,Baker,6-2,175, Fr,0.31,24,Dallas,Ennema,6-6,210, So,0.25,43,Greig,Stire,6-7,225, Fr,0.11,43,Greig,Stire,6-7,225, Fr,0.19,Albany,2015
NA,NA,NA,NA,NA,,NA,1,Ray,Sanders,6-4,210, Jr,0.18,12,Peter,Hooley,6-4,200, Jr,0.16,24,Dallas,Ennema,6-6,210, So,0.05,22,Richard,Peters,6-11,275, So,0.16,Albany,2015
1,Mike,Davis,6-1,175, Jr,0.62,15,LeAntwan,Luckett,6-4,184, Jr,0.5,15,LeAntwan,Luckett,6-4,184, Jr,0.35,40,George,Thomas,6-6,210, So,0.34,30,Marquis,Vance,6-7,225, So,0.62,Alcorn St.,2015
3,Tamarcio,Wilson,6-2,200, Jr,0.34,10,Devonte,Hampton,6-1,170, So,0.36,40,George,Thomas,6-6,210, So,0.23,30,Marquis,Vance,6-7,225, So,0.3,23,Keynan,Pittman,6-10,225, Jr,0.28,Alcorn St.,2015
NA,NA,NA,NA,NA,,NA,3,Tamarcio,Wilson,6-2,200, Jr,0.12,24,Reginald,Johnson,6-5,225, Fr,0.22,24,Reginald,Johnson,6-5,225, Fr,0.23,55,Omar,Beauperthuy,6-8,255, Jr,0.06,Alcorn St.,2015
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,0,Tyrel,Hunt,6-5,205, Jr,0.09,15,LeAntwan,Luckett,6-4,184, Jr,0.07,NA,NA,NA,NA,NA,,NA,Alcorn St.,2015
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,3,Tamarcio,Wilson,6-2,200, Jr,0.08,0,Tyrel,Hunt,6-5,205, Jr,0.05,NA,NA,NA,NA,NA,,NA,Alcorn St.,2015
0,Darius,Gardner,5-9,165, Sr,1,20,Charlie,Jones,6-4,185, So,0.71,14,Jesse,Reed,6-5,185, Jr,0.86,22,John,Schoof,6-5,205, Sr,0.88,5,Marko,Vasic,6-5,200, Jr,0.93,American,2015
NA,NA,NA,NA,NA,,NA,21,Jalen,Rhea,6-2,205, So,0.29,20,Charlie,Jones,6-4,185, So,0.14,14,Jesse,Reed,6-5,185, Jr,0.12,NA,NA,NA,NA,NA,,NA,American,2015
10,Chris,Burgess,5-8,170, Jr,0.72,21,Frank,Eaves,6-2,175, Jr,0.54,25,Jake,Babic,6-5,180, Fr,0.57,15,Tommy,Spagnolo,6-7,225, Sr,0.35,4,Michael,Obacha,6-8,220, Jr,0.34,Appalachian St.,2015
21,Frank,Eaves,6-2,175, Jr,0.2,1,Landon,Goesling,6-2,165, Fr,0.23,3,Dustin,Clarke,6-3,180, Jr,0.31,5,Griffin,Kinney,6-8,220, Fr,0.33,34,Jacob,Lawson,6-8,230, Jr,0.31,Appalachian St.,2015
23,Logan,Jackson,5-11,165, Fr,0.07,3,Dustin,Clarke,6-3,180, Jr,0.11,21,Frank,Eaves,6-2,175, Jr,0.08,4,Michael,Obacha,6-8,220, Jr,0.19,15,Tommy,Spagnolo,6-7,225, Sr,0.14,Appalachian St.,2015
NA,NA,NA,NA,NA,,NA,24,Jalen,Sanders,5-10,150, Fr,0.09,NA,NA,NA,NA,NA,,NA,25,Jake,Babic,6-5,180, Fr,0.06,0,Mike,Kobani,6-8,260, Fr,0.12,Appalachian St.,2015
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,14,Milos,Kostic,6-8,235, Fr,0.09,Appalachian St.,2015
4,T,J,6-1,195, Sr,0.82,1,Gabe,York,6-3,180, Jr,0.59,5,Stanley,Johnson,6-6,225, Fr,0.44,21,Brandon,Ashley,6-8,230, Jr,0.45,35,Kaleb,Tarczewski,7-0,235, Jr,0.65,Arizona,2015
0,Parker,Jackson,5-8,150, Fr,0.17,5,Stanley,Johnson,6-6,225, Fr,0.26,23,Rondae,Hollis,6-7,215, So,0.31,23,Rondae,Hollis,6-7,215, So,0.44,21,Brandon,Ashley,6-8,230, Jr,0.18,Arizona,2015
NA,NA,NA,NA,NA,,NA,24,Elliott,Pitts,6-5,180, So,0.13,24,Elliott,Pitts,6-5,180, So,0.23,5,Stanley,Johnson,6-6,225, Fr,0.08,14,Dusan,Ristic,7-0,240, Fr,0.13,Arizona,2015
0,Tra,Holder,6-1,165, Fr,0.85,4,Gerry,Blakes,6-4,195, Jr,0.62,40,Shaquielle,McKissic,6-5,200, Sr,0.87,11,Savon,Goodman,6-6,215, So,0.52,21,Eric,Jacobsen,6-10,235, Jr,0.57,Arizona St.,2015
3,Chance,Murray,6-2,180, So,0.15,33,Bo,Barnes,6-4,190, Sr,0.38,4,Gerry,Blakes,6-4,195, Jr,0.14,31,Jonathan,Gilling,6-7,219, Sr,0.41,11,Savon,Goodman,6-6,215, So,0.29,Arizona St.,2015
