PG.Number,PG.PlayerFirstName,PG.PlayerLastName,PG.Ht,PG.Wt,PG.Yr,PG.Min.Pct,SG.Number,SG.PlayerFirstName,SG.PlayerLastName,SG.Ht,SG.Wt,SG.Yr,SG.Min.Pct,SF.Number,SF.PlayerFirstName,SF.PlayerLastName,SF.Ht,SF.Wt,SF.Yr,SF.Min.Pct,PF.Number,PF.PlayerFirstName,PF.PlayerLastName,PF.Ht,PF.Wt,PF.Yr,PF.Min.Pct,C.Number,C.PlayerFirstName,C.PlayerLastName,C.Ht,C.Wt,C.Yr,C.Min.Pct,Team,Year
10,Todd,Fletcher,6-2,185, Jr,0.38,10,Todd,Fletcher,6-2,185, Jr,0.37,14,Michael,Lyons,6-6,198, Jr,0.4,5,Mike,Fitzgerald,6-6,210, Jr,0.57,34,Taylor,Broekhuis,6-10,220, Jr,0.76,Air Force,2012
25,Kyle,Green,6-2,180, Jr,0.37,14,Michael,Lyons,6-6,198, Jr,0.25,3,Justin,Hammonds,6-7,190, Fr,0.32,14,Michael,Lyons,6-6,198, Jr,0.18,5,Mike,Fitzgerald,6-6,210, Jr,0.12,Air Force,2012
32,Shawn,Hempsey,6-2,180, Sr,0.16,22,Max,Yon,6-5,195, Fr,0.14,22,Max,Yon,6-5,195, Fr,0.09,3,Justin,Hammonds,6-7,190, Fr,0.18,21,Delovell,Earls,6-5,215, Fr,0.05,Air Force,2012
15,Taylor,Stewart,6-5,185, Sr,0.07,25,Kyle,Green,6-2,180, Jr,0.1,11,Chris,Carter,6-3,200, Fr,0.06,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,Air Force,2012
NA,NA,NA,NA,NA,,NA,4,Kamryn,Williams,6-4,195, Fr,0.08,4,Kamryn,Williams,6-4,195, Fr,0.05,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,Air Force,2012
22,Alex,Abreu,5-10,175, So,0.91,2,Brian,Walsh,6-5,200, So,0.68,23,Chauncey,Gilliam,6-5,230, Jr,0.5,13,Nikola,Cvetinovic,6-8,230, Sr,0.44,44,Zeke,Marshall,7-0,235, Jr,0.74,Akron,2012
22,Quincy,Diggs,6-6,210, Jr,0.09,5,Brett,McClanahan,6-4,205, Sr,0.23,22,Quincy,Diggs,6-6,210, Jr,0.41,1,Demetrius,Treadwell,6-7,225, Fr,0.29,13,Nikola,Cvetinovic,6-8,230, Sr,0.21,Akron,2012
NA,NA,NA,NA,NA,,NA,22,Quincy,Diggs,6-6,210, Jr,0.09,2,Brian,Walsh,6-5,200, So,0.07,10,Nick,Harney,6-7,210, So,0.24,1,Demetrius,Treadwell,6-7,225, Fr,0.05,Akron,2012
12,Trevor,Releford,6-0,190, So,0.84,3,Trevor,Lacey,6-3,200, Fr,0.5,22,Andrew,Steele,6-4,230, Jr,0.47,15,Nick,Jacobs,6-8,250, Fr,0.41,1,JaMychal,Green,6-8,240, Sr,0.79,Alabama,2012
3,Trevor,Lacey,6-3,200, Fr,0.09,20,Levi,Randolph,6-5,185, Fr,0.36,20,Levi,Randolph,6-5,185, Fr,0.3,21,Rodney,Cooper,6-6,205, Fr,0.3,15,Nick,Jacobs,6-8,250, Fr,0.13,Alabama,2012
10,Ben,Eblen,6-0,190, Jr,0.07,10,Ben,Eblen,6-0,190, Jr,0.1,2,Charles,Hankerson,6-4,210, So,0.16,22,Andrew,Steele,6-4,230, Jr,0.25,4,Carl,Engstrom,7-1,275, So,0.08,Alabama,2012
10,Jeremy,Crutcher,5-8,160, So,0.79,12,Green,Hill,5-10,175, So,0.51,40,Brandon,Ellis,6-3,200, So,0.56,30,Demarquelle,Tabb,6-5,210, So,0.51,0,Justan,Banks,7-0,215, So,0.48,Alabama A&M,2012
12,Green,Hill,5-10,175, So,0.17,11,Eddie,Hardy,5-8,170, So,0.38,4,Casey,Cantey,6-5,190, Sr,0.37,50,Reggie,Martin,6-6,210, So,0.21,55,Jerome,Hunter,6-10,230, So,0.31,Alabama A&M,2012
NA,NA,NA,NA,NA,,NA,40,Brandon,Ellis,6-3,200, So,0.09,NA,NA,NA,NA,NA,,NA,4,Casey,Cantey,6-5,190, Sr,0.12,30,Demarquelle,Tabb,6-5,210, So,0.15,Alabama A&M,2012
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,42,Brandon,Allen,6-5,190, Jr,0.07,NA,NA,NA,NA,NA,,NA,Alabama A&M,2012
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,20,Jose,Long,6-5,210, Fr,0.06,NA,NA,NA,NA,NA,,NA,Alabama A&M,2012
22,Anthony,Price,5-10,190, Jr,0.35,10,Ryan,Watts,6-0,170, Jr,0.57,30,Stephawn,Brown,6-4,190, Jr,0.49,5,Ivory,White,6-4,190, Sr,0.85,11,Phillip,Crawford,6-7,210, Jr,0.49,Alabama St.,2012
4,Jeffery,Middlebrooks,6-0,170, Sr,0.34,3,Joshua,Mason,6-3,170, Jr,0.23,21,Tramaine,Butler,6-2,205, Sr,0.29,30,Stephawn,Brown,6-4,190, Jr,0.08,2,Luther,Page,6-6,190, Fr,0.48,Alabama St.,2012
21,Tramaine,Butler,6-2,205, Sr,0.23,21,Tramaine,Butler,6-2,205, Sr,0.2,3,Joshua,Mason,6-3,170, Jr,0.22,21,Tramaine,Butler,6-2,205, Sr,0.07,NA,NA,NA,NA,NA,,NA,Alabama St.,2012
10,Ryan,Watts,6-0,170, Jr,0.09,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,Alabama St.,2012
10,Mike,Black,6-0,175, Jr,0.83,0,Jacob,Iati,5-10,175, Jr,0.84,30,Jayson,Guerrier,6-4,205, Jr,0.63,14,Sam,Rowley,6-5,230, Fr,0.38,21,Blake,Metcalf,6-9,240, Jr,0.43,Albany,2012
20,Gerardo,Suero,6-4,205, Jr,0.1,30,Jayson,Guerrier,6-4,205, Jr,0.09,20,Gerardo,Suero,6-4,205, Jr,0.2,20,Gerardo,Suero,6-4,205, Jr,0.34,44,John,Puk,6-10,265, So,0.3,Albany,2012
0,Jacob,Iati,5-10,175, Jr,0.07,40,Logan,Aronhalt,6-3,210, Jr,0.08,40,Logan,Aronhalt,6-3,210, Jr,0.12,21,Blake,Metcalf,6-9,240, Jr,0.12,14,Sam,Rowley,6-5,230, Fr,0.16,Albany,2012
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,30,Jayson,Guerrier,6-4,205, Jr,0.09,11,Luke,Devlin,6-8,230, So,0.11,Albany,2012
24,Martrevious,Sanders,6-0,160, Jr,0.55,0,Kendrick,McDonald,6-0,165, Sr,0.68,4,Anthony,Nieves,6-4,185, Jr,0.45,35,KeDorian,Sullivan,6-7,200, Fr,0.49,32,Michael,Starks,6-8,220, Jr,0.44,Alcorn St.,2012
23,Xavian,Rimmer,6-3,195, Fr,0.41,23,Xavian,Rimmer,6-3,195, Fr,0.22,23,Xavian,Rimmer,6-3,195, Fr,0.2,24,Ian,Francis,6-8,210, Jr,0.25,24,Ian,Francis,6-8,210, Jr,0.33,Alcorn St.,2012
NA,NA,NA,NA,NA,,NA,2,Twann,Oakley,6-5,175, Jr,0.05,2,Twann,Oakley,6-5,175, Jr,0.18,4,Anthony,Nieves,6-4,185, Jr,0.18,15,Chris,Brand,6-10,210, Jr,0.16,Alcorn St.,2012
