PG.Number,PG.PlayerFirstName,PG.PlayerLastName,PG.Ht,PG.Wt,PG.Yr,PG.Min.Pct,SG.Number,SG.PlayerFirstName,SG.PlayerLastName,SG.Ht,SG.Wt,SG.Yr,SG.Min.Pct,SF.Number,SF.PlayerFirstName,SF.PlayerLastName,SF.Ht,SF.Wt,SF.Yr,SF.Min.Pct,PF.Number,PF.PlayerFirstName,PF.PlayerLastName,PF.Ht,PF.Wt,PF.Yr,PF.Min.Pct,C.Number,C.PlayerFirstName,C.PlayerLastName,C.Ht,C.Wt,C.Yr,C.Min.Pct,Team,Year
35,Evan,Washington,6-4,190, Sr,0.57,10,Todd,Fletcher,6-2,180, So,0.65,24,Derek,Brooks,6-5,195, Sr,0.5,14,Michael,Lyons,6-6,190, So,0.5,34,Taylor,Broekhuis,6-10,200, So,0.43,Air Force,2011
15,Taylor,Stewart,6-5,190, Jr,0.28,5,Mike,Fitzgerald,6-6,190, So,0.19,14,Michael,Lyons,6-6,190, So,0.24,20,Tom,Fow,6-6,200, Sr,0.29,13,Zach,Bohannon,6-7,205, So,0.3,Air Force,2011
10,Todd,Fletcher,6-2,180, So,0.14,35,Evan,Washington,6-4,190, Sr,0.1,5,Mike,Fitzgerald,6-6,190, So,0.14,24,Derek,Brooks,6-5,195, Sr,0.19,20,Tom,Fow,6-6,200, Sr,0.21,Air Force,2011
NA,NA,NA,NA,NA,,NA,32,Shawn,Hempsey,6-2,180, Jr,0.05,35,Evan,Washington,6-4,190, Sr,0.09,NA,NA,NA,NA,NA,,NA,14,Michael,Lyons,6-6,190, So,0.06,Air Force,2011
4,Steve,McNees,6-2,170, Sr,0.51,12,Darryl,Roberts,6-0,165, Sr,0.69,5,Brett,McClanahan,6-4,185, Jr,0.49,13,Nikola,Cvetinovic,6-8,230, Jr,0.51,44,Zeke,Marshall,7-0,218, So,0.54,Akron,2011
11,Alex,Abreu,5-9,175, Fr,0.48,4,Steve,McNees,6-2,170, Sr,0.21,22,Quincy,Diggs,6-6,195, So,0.46,23,Brett,McKnight,6-6,245, Sr,0.42,54,Mike,Bardo,6-10,240, Sr,0.3,Akron,2011
NA,NA,NA,NA,NA,,NA,5,Brett,McClanahan,6-4,185, Jr,0.09,NA,NA,NA,NA,NA,,NA,22,Quincy,Diggs,6-6,195, So,0.05,13,Nikola,Cvetinovic,6-8,230, Jr,0.12,Akron,2011
12,Trevor,Releford,6-1,180, Fr,0.79,24,Charvez,Davis,6-3,186, Sr,0.87,21,Senario,Hillman,6-2,195, Sr,0.42,5,Tony,Mitchell,6-6,210, So,0.49,1,JaMychal,Green,6-8,228, Jr,0.62,Alabama,2011
10,Ben,Eblen,6-0,191, So,0.22,21,Senario,Hillman,6-2,195, Sr,0.08,2,Charles,Hankerson,6-5,210, Fr,0.29,44,Chris,Hines,6-8,227, Sr,0.46,44,Chris,Hines,6-8,227, Sr,0.36,Alabama,2011
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,5,Tony,Mitchell,6-6,210, So,0.27,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,Alabama,2011
