PG.Number,PG.PlayerFirstName,PG.PlayerLastName,PG.Ht,PG.Wt,PG.Yr,PG.Min.Pct,SG.Number,SG.PlayerFirstName,SG.PlayerLastName,SG.Ht,SG.Wt,SG.Yr,SG.Min.Pct,SF.Number,SF.PlayerFirstName,SF.PlayerLastName,SF.Ht,SF.Wt,SF.Yr,SF.Min.Pct,PF.Number,PF.PlayerFirstName,PF.PlayerLastName,PF.Ht,PF.Wt,PF.Yr,PF.Min.Pct,C.Number,C.PlayerFirstName,C.PlayerLastName,C.Ht,C.Wt,C.Yr,C.Min.Pct,Team,Year
30,Terrance,LeFlore,6-1,165, Sr,0.19,52,Steve,Rogers,6-0,160, Sr,0.07,1,Rodney,Simeon,6-5,215, Sr,0.19,14,Ed,Jones,6-8,205, Jr,0.2,14,Ed,Jones,6-8,205, Jr,0.23,Alabama St.,2018
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,11,Austin,Rogers,6-4,180, So,0.13,5,Tobi,Ewuosho,6-5,175, So,0.17,21,Marice,Wright,6-11,215, Jr,0.05,Alabama St.,2018
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,11,Austin,Rogers,6-4,180, So,0.09,NA,NA,NA,NA,NA,,NA,Alabama St.,2018
13,David,Nichols,6-0,190, Jr,0.78,1,Costa,Anderson,6-2,195, Sr,0.52,12,Devonte,Campbell,6-6,220, Jr,0.7,30,Travis,Charles,6-6,235, Sr,0.55,43,Greig,Stire,6-7,255, Sr,0.5,Albany,2018
24,Joe,Cremo,6-4,185, Jr,0.16,24,Joe,Cremo,6-4,185, Jr,0.44,24,Joe,Cremo,6-4,185, Jr,0.29,43,Greig,Stire,6-7,255, Sr,0.26,34,Alex,Foster,6-8,240, Sr,0.43,Albany,2018
2,Ahmad,Clark,6-1,175, So,0.06,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,33,Matt,Conway,6-7,210, So,0.16,30,Travis,Charles,6-6,235, Sr,0.06,Albany,2018
2,AJ,Mosby,6-3,160, Sr,0.87,5,Maurice,Howard,6-1,190, So,0.78,23,Troymain,Crosby,6-4,180, Fr,0.54,20,Yalen,Reed,6-7,200, So,0.39,50,Devon,Brewer,6-8,260, So,0.65,Alcorn St.,2018
5,Maurice,Howard,6-1,190, So,0.13,23,Troymain,Crosby,6-4,180, Fr,0.18,4,Dante,Sterling,6-6,200, Jr,0.44,4,Dante,Sterling,6-6,200, Jr,0.37,20,Yalen,Reed,6-7,200, So,0.16,Alcorn St.,2018
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,3,Tyler,Carter,6-7,200, So,0.17,10,Kobe,Wilson,6-9,220, Fr,0.13,Alcorn St.,2018
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,10,Kobe,Wilson,6-9,220, Fr,0.05,3,Tyler,Carter,6-7,200, So,0.07,Alcorn St.,2018
0,Sa,eed,6-1,175, So,0.92,10,Cheikh,Diallo,6-3,167, Jr,0.65,5,Larry,Motuzis,6-6,200, Jr,0.43,5,Larry,Motuzis,6-6,200, Jr,0.35,22,Sam,Iorio,6-6,215, Fr,0.59,American,2018
10,Cheikh,Diallo,6-3,167, Jr,0.07,2,Stacy,Beckton,6-5,171, Fr,0.19,2,Stacy,Beckton,6-5,171, Fr,0.39,13,Marvin,Bragg,6-7,190, Fr,0.32,1,Jesse,Little,6-10,178, Fr,0.38,American,2018
NA,NA,NA,NA,NA,,NA,5,Larry,Motuzis,6-6,200, Jr,0.14,13,Marvin,Bragg,6-7,190, Fr,0.14,22,Sam,Iorio,6-6,215, Fr,0.31,NA,NA,NA,NA,NA,,NA,American,2018
4,O,Showen,5-11,190, So,0.59,2,Ronshad,Shabazz,6-5,217, Jr,0.64,24,Craig,Hinton,6-7,203, Sr,0.55,0,Isaac,Johnson,6-9,212, So,0.72,5,Griffin,Kinney,6-8,240, Sr,0.57,Appalachian St.,2018
1,Justin,Forrest,6-2,195, Fr,0.37,1,Justin,Forrest,6-2,195, Fr,0.29,32,Tyrell,Johnson,6-8,205, Jr,0.29,32,Tyrell,Johnson,6-8,205, Jr,0.22,50,Hunter,Seacat,6-9,235, So,0.36,Appalachian St.,2018
NA,NA,NA,NA,NA,,NA,24,Craig,Hinton,6-7,203, Sr,0.06,2,Ronshad,Shabazz,6-5,217, Jr,0.15,NA,NA,NA,NA,NA,,NA,15,Jake,Wilson,7-1,240, Jr,0.05,Appalachian St.,2018
0,Parker,Jackson,5-11,170, Sr,0.84,35,Allonzo,Trier,6-5,205, Jr,0.74,1,Rawle,Alkins,6-5,220, So,0.76,14,Dusan,Ristic,7-0,245, Sr,0.63,13,Deandre,Ayton,7-1,260, Fr,0.84,Arizona,2018
3,Dylan,Smith,6-5,170, So,0.11,3,Dylan,Smith,6-5,170, So,0.14,24,Emmanuel,Akot,6-7,200, Fr,0.16,25,Keanu,Pinder,6-9,220, Sr,0.3,14,Dusan,Ristic,7-0,245, Sr,0.15,Arizona,2018
35,Allonzo,Trier,6-5,205, Jr,0.05,1,Rawle,Alkins,6-5,220, So,0.06,35,Allonzo,Trier,6-5,205, Jr,0.06,24,Emmanuel,Akot,6-7,200, Fr,0.06,NA,NA,NA,NA,NA,,NA,Arizona,2018
