"game_id","season","season_type","home_team_name","away_team_name"
"401265784",2021,1,"Atlanta","Orlando"
"401265785",2021,1,"Detroit","New York"
"401265786",2021,1,"Chicago","Houston"
"401265787",2021,1,"Los Angeles","LA"
"401265788",2021,1,"Portland","Sacramento"
"401265789",2021,1,"Charlotte","Toronto"
"401265790",2021,1,"Cleveland","Indiana"
"401265791",2021,1,"San Antonio","Oklahoma City"
"401265792",2021,1,"Milwaukee","Dallas"
"401265833",2021,1,"Minnesota","Memphis"
"401265834",2021,1,"Golden State","Denver"
"401265835",2021,1,"Utah","Phoenix"
"401265836",2021,1,"Atlanta","Orlando"
"401265837",2021,1,"Brooklyn","Washington"
"401265838",2021,1,"Detroit","New York"
"401265839",2021,1,"Chicago","Houston"
"401265840",2021,1,"Portland","Sacramento"
"401265841",2021,1,"Los Angeles","LA"
"401265842",2021,1,"Cleveland","Indiana"
"401265843",2021,1,"Charlotte","Toronto"
"401265844",2021,1,"Miami","New Orleans"
"401265845",2021,1,"Milwaukee","Dallas"
"401265846",2021,1,"Minnesota","Memphis"
"401265847",2021,1,"Utah","Phoenix"
"401265848",2021,1,"Philadelphia","Boston"
"401265849",2021,1,"Houston","San Antonio"
"401265850",2021,1,"Sacramento","Golden State"
"401265851",2021,1,"New York","Cleveland"
"401265852",2021,1,"Oklahoma City","Chicago"
"401265853",2021,1,"Denver","Portland"
"401265854",2021,1,"Phoenix","Los Angeles"
"401265855",2021,1,"Orlando","Charlotte"
"401265856",2021,1,"Washington","Detroit"
"401265857",2021,1,"Houston","San Antonio"
"401265858",2021,1,"Memphis","Atlanta"
"401265859",2021,1,"Dallas","Minnesota"
"401265860",2021,1,"LA","Utah"
"401265861",2021,1,"Sacramento","Golden State"
"401265862",2021,1,"Indiana","Philadelphia"
"401265863",2021,1,"Toronto","Miami"
"401265864",2021,1,"Boston","Brooklyn"
"401265865",2021,1,"New York","Cleveland"
"401265866",2021,1,"New Orleans","Milwaukee"
"401265867",2021,1,"Oklahoma City","Chicago"
"401265868",2021,1,"Denver","Portland"
"401265869",2021,1,"Phoenix","Los Angeles"
