"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","home.conferenceId","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.venue.id","away.logo","away.conferenceId","status.type.altDetail","season","groups.id","groups.name","groups.shortName","groups.isConference","tournamentId","game_id","PBP","team_box"
400840898,"s:40~l:41~e:400840898~c:400840898","2015-12-31T00:05Z",2345,"True","False","True","False","[]","2015-12-31T00:05Z",0,"N/A",137,"Hart Center","Worcester","MA",3536,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",107,"s:40~l:41~t:107","Holy Cross","Crusaders","HC","Holy Cross Crusaders","Holy Cross","0a0a0a","080808","True",137,"https://a.espncdn.com/i/teamlogos/ncaa/500/107.png",22,104,"s:40~l:41~t:104","Boston University","Terriers","BU","Boston University Terriers","Boston U","cc0000","ffffff","True",1999,"https://a.espncdn.com/i/teamlogos/ncaa/500/104.png",22,"",2016,22,"Patriot League","Patriot","True",NA,400840898,TRUE,TRUE
400839756,"s:40~l:41~e:400839756~c:400839756","2015-12-31T00:00Z",17168,"True","False","True","False","[]","2015-12-31T00:00Z",0,"N/A",207,"Dean E. Smith Center","Chapel Hill","NC",21750,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",153,"s:40~l:41~t:153","North Carolina","Tar Heels","UNC","North Carolina Tar Heels","North Carolina","99bfe5","13294b","True",207,"https://a.espncdn.com/i/teamlogos/ncaa/500/153.png",2,228,"s:40~l:41~t:228","Clemson","Tigers","CLEM","Clemson Tigers","Clemson","F66733","522d80","True",1912,"https://a.espncdn.com/i/teamlogos/ncaa/500/228.png",2,"",2016,2,"Atlantic Coast Conference","ACC","True",NA,400839756,TRUE,TRUE
400847871,"s:40~l:41~e:400847871~c:400847871","2015-12-31T00:00Z",0,"True","False","False","False","[]","2015-12-31T00:00Z",0,"N/A",1962,"Colonial Life Arena","Columbia","SC",18000,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2579,"s:40~l:41~t:2579","South Carolina","Gamecocks","SC","South Carolina Gamecocks","South Carolina","670010","000000","True",1962,"https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png",23,230,"s:40~l:41~t:230","Francis Marion","Patriots","FRM","Francis Marion Patriots","Francis","","","False",NA,"",NA,"",2016,NA,"","","",NA,400847871,TRUE,TRUE
400847121,"s:40~l:41~e:400847121~c:400847121","2015-12-31T00:00Z",1368,"True","False","True","False","[]","2015-12-31T00:00Z",0,"N/A",684,"Allen County War Memorial Coliseum","Fort Wayne","IN",13000,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2870,"s:40~l:41~t:2870","Purdue Fort Wayne","Mastodons","PFW","Purdue Fort Wayne Mastodons","Purdue FW","00378A","f0f0f0","True",684,"https://a.espncdn.com/i/teamlogos/ncaa/500/2870.png",49,198,"s:40~l:41~t:198","Oral Roberts","Golden Eagles","ORU","Oral Roberts Golden Eagles","Oral Roberts","002955","ccb48c","True",1993,"https://a.espncdn.com/i/teamlogos/ncaa/500/198.png",49,"",2016,49,"Summit League","Summit","True",NA,400847121,TRUE,TRUE
400845043,"s:40~l:41~e:400845043~c:400845043","2015-12-31T00:00Z",1171,"True","False","False","False","[]","2015-12-31T00:00Z",0,"N/A",1970,"Cameron Hall","Lexington","VA",5029,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2678,"s:40~l:41~t:2678","VMI","Keydets","VMI","VMI Keydets","VMI","E52D37","eec52b","True",1970,"https://a.espncdn.com/i/teamlogos/ncaa/500/2678.png",24,2079,"s:40~l:41~t:2079","Bridgewater","Eagles","BRI","Bridgewater Eagles","Bridgewater","000000","","False",NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/2079.png",NA,"",2016,NA,"","","",NA,400845043,TRUE,TRUE
400844972,"s:40~l:41~e:400844972~c:400844972","2015-12-31T00:00Z",1195,"True","False","True","False","[]","2015-12-31T00:00Z",0,"N/A",2141,"Stabler Arena","Bethlehem","PA",5600,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2329,"s:40~l:41~t:2329","Lehigh","Mountain Hawks","LEH","Lehigh Mountain Hawks","Lehigh","6c2b2a","b69e70","True",2141,"https://a.espncdn.com/i/teamlogos/ncaa/500/2329.png",22,349,"s:40~l:41~t:349","Army","Black Knights","ARMY","Army Black Knights","Army","ce9c00","231f20","True",2186,"https://a.espncdn.com/i/teamlogos/ncaa/500/349.png",22,"",2016,22,"Patriot League","Patriot","True",NA,400844972,TRUE,TRUE
400844939,"s:40~l:41~e:400844939~c:400844939","2015-12-31T00:00Z",2650,"True","False","False","False","[]","2015-12-31T00:00Z",0,"N/A",4935,"Freedom Hall Civic Center","Johnson City","TN",6500,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2193,"s:40~l:41~t:2193","East Tennessee State","Buccaneers","ETSU","East Tennessee State Buccaneers","ETSU","002d61","ffc423","True",4935,"https://a.espncdn.com/i/teamlogos/ncaa/500/2193.png",24,2413,"s:40~l:41~t:2413","Morehead State","Eagles","MORE","Morehead State Eagles","Morehead State","094FA3","fed91a","True",2174,"https://a.espncdn.com/i/teamlogos/ncaa/500/2413.png",20,"",2016,NA,"","","",NA,400844939,TRUE,TRUE
400843472,"s:40~l:41~e:400843472~c:400843472","2015-12-31T00:00Z",3122,"True","False","False","False","[]","2015-12-31T00:00Z",0,"N/A",1897,"Murphy Athletic Center","Murfreesboro","TN",11520,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2393,"s:40~l:41~t:2393","Middle Tennessee","Blue Raiders","MTU","Middle Tennessee Blue Raiders","Middle Tenn","0079C2","c3c5c8","True",1897,"https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png",11,2906,"s:40~l:41~t:2906","Trevecca Nazarene","Trojans","TNU","Trevecca Nazarene Trojans","Trevecca","","","False",NA,"",NA,"",2016,NA,"","","",NA,400843472,TRUE,TRUE
400842126,"s:40~l:41~e:400842126~c:400842126","2015-12-31T00:00Z",3728,"True","False","False","False","[]","2015-12-31T00:00Z",0,"N/A",2042,"Reilly Center","Saint Bonaventure","NY",5480,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",179,"s:40~l:41~t:179","St. Bonaventure","Bonnies","SBU","St. Bonaventure Bonnies","St. Bonaventure","70261D","","True",2042,"https://a.espncdn.com/i/teamlogos/ncaa/500/179.png",3,315,"s:40~l:41~t:315","Niagara","Purple Eagles","NIAG","Niagara Purple Eagles","Niagara","69207E","f0f0f0","True",2177,"https://a.espncdn.com/i/teamlogos/ncaa/500/315.png",13,"",2016,NA,"","","",NA,400842126,TRUE,TRUE
400842119,"s:40~l:41~e:400842119~c:400842119","2015-12-31T00:00Z",4609,"True","False","False","False","[]","2015-12-31T00:00Z",0,"N/A",2116,"Savage Arena","Toledo","OH",7014,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2649,"s:40~l:41~t:2649","Toledo","Rockets","TOL","Toledo Rockets","Toledo","ffffff","ffd51d","True",2116,"https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png",14,94,"s:40~l:41~t:94","Northern Kentucky","Norse","NKU","Northern Kentucky Norse","N Kentucky","000000","eab621","True",1920,"https://a.espncdn.com/i/teamlogos/ncaa/500/94.png",45,"",2016,NA,"","","",NA,400842119,TRUE,TRUE
