,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,season,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference
0,220160071,s:40~l:41~e:220160071~c:220160071,2002-01-17T01:05Z,9231,False,False,True,False,[],2002-01-17T01:05Z,0,N/A,406,Carver Arena,Peoria,IL,11060.0,True,3.0,0:03,2,3,STATUS_FINAL,post,True,Final,Final,Final,71,s:40~l:41~t:71,Bradley,Braves,BRAD,Bradley Braves,Bradley,b70002,c0c0c0,True,406,https://a.espncdn.com/i/teamlogos/ncaa/500/71.png,18,79,s:40~l:41~t:79,Southern Illinois,Salukis,SIU,Southern Illinois Salukis,So Illinois,85283D,c2c3c0,True,2190,https://a.espncdn.com/i/teamlogos/ncaa/500/79.png,18,2002,,18,Missouri Valley Conference,MVC,True
0,220160239,s:40~l:41~e:220160239~c:220160239,2002-01-17T01:30Z,6892,False,False,True,False,[],2002-01-17T01:30Z,0,N/A,1049,Ferrell Center,Waco,TX,10284.0,True,9.0,0:09,2,3,STATUS_FINAL,post,True,Final,Final,Final,239,s:40~l:41~t:239,Baylor,Bears,BAY,Baylor Bears,Baylor,004834,ffb81c,True,1049,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,8,2306,s:40~l:41~t:2306,Kansas State,Wildcats,KSU,Kansas State Wildcats,Kansas State,633194,e7d2ad,True,2131,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,8,2002,,8,Big 12 Conference,Big 12,True
0,220160038,s:40~l:41~e:220160038~c:220160038,2002-01-17T02:00Z,5211,False,False,True,False,[],2002-01-17T02:00Z,0,N/A,2207,CU Events Center,Boulder,CO,11064.0,True,3.0,0:03,2,3,STATUS_FINAL,post,True,Final,Final,Final,38,s:40~l:41~t:38,Colorado,Buffaloes,COLO,Colorado Buffaloes,Colorado,d1c57e,ffd200,True,2207,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,8,66,s:40~l:41~t:66,Iowa State,Cyclones,ISU,Iowa State Cyclones,Iowa State,660015,830b2c,True,432,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,8,2002,,8,Big 12 Conference,Big 12,True
0,220162608,s:40~l:41~e:220162608~c:220162608,2002-01-17T03:05Z,960,False,False,True,False,[],2002-01-17T03:05Z,0,N/A,488,University Credit Union Pavilion,Moraga,CA,3500.0,True,80.0,1:20,2,3,STATUS_FINAL,post,True,Final,Final,Final,2608,s:40~l:41~t:2608,Saint Mary's,Gaels,SMC,Saint Mary's Gaels,Saint Mary's,003768,d02f35,True,488,https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png,29,2539,s:40~l:41~t:2539,San Francisco,Dons,SF,San Francisco Dons,San Francisco,22523F,fbcd3c,True,789,https://a.espncdn.com/i/teamlogos/ncaa/500/2539.png,29,2002,,29,West Coast Conference,WCC,True
0,220162541,s:40~l:41~e:220162541~c:220162541,2002-01-17T03:30Z,1543,False,False,True,False,[],2002-01-17T03:30Z,0,N/A,544,Leavey Center,Santa Clara,CA,4700.0,True,41.0,0:41,2,3,STATUS_FINAL,post,True,Final,Final,Final,2541,s:40~l:41~t:2541,Santa Clara,Broncos,SCU,Santa Clara Broncos,Santa Clara,690b0b,101010,True,544,https://a.espncdn.com/i/teamlogos/ncaa/500/2541.png,29,301,s:40~l:41~t:301,San Diego,Toreros,USD,San Diego Toreros,San Diego,2f99d4,2f99d4,True,501,https://a.espncdn.com/i/teamlogos/ncaa/500/301.png,29,2002,,29,West Coast Conference,WCC,True
0,220170150,s:40~l:41~e:220170150~c:220170150,2002-01-18T02:00Z,9314,False,False,True,False,[],2002-01-18T02:00Z,0,N/A,1914,Cameron Indoor Stadium,Durham,NC,9314.0,True,40.0,0:40,2,3,STATUS_FINAL,post,True,Final,Final,Final,150,s:40~l:41~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,001A57,f1f2f3,True,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,120,s:40~l:41~t:120,Maryland,Terrapins,MD,Maryland Terrapins,Maryland,D5002B,ffcd00,True,2133,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,2,2002,,2,Atlantic Coast Conference,ACC,True
0,220170009,s:40~l:41~e:220170009~c:220170009,2002-01-18T01:30Z,9013,False,False,True,False,[],2002-01-18T01:30Z,0,N/A,833,Desert Financial Arena,Tempe,AZ,14198.0,True,7.0,0:07,2,3,STATUS_FINAL,post,True,Final,Final,Final,9,s:40~l:41~t:9,Arizona State,Sun Devils,ASU,Arizona State Sun Devils,Arizona State,942139,f1f2f3,True,833,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,21,26,s:40~l:41~t:26,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,005C8E,ffc72c,True,479,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,21,2002,,21,Pac-12 Conference,Pac-12,True
0,220170012,s:40~l:41~e:220170012~c:220170012,2002-01-18T03:30Z,14574,False,False,True,False,[],2002-01-18T03:30Z,0,N/A,1064,McKale Center,Tucson,AZ,14644.0,True,22.0,0:22,2,3,STATUS_FINAL,post,True,Final,Final,Final,12,s:40~l:41~t:12,Arizona,Wildcats,ARIZ,Arizona Wildcats,Arizona,002449,00205b,True,1064,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,21,30,s:40~l:41~t:30,USC,Trojans,USC,USC Trojans,USC,AE2531,ffc72c,True,1918,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,21,2002,,21,Pac-12 Conference,Pac-12,True
0,220170024,s:40~l:41~e:220170024~c:220170024,2002-01-18T03:00Z,5242,False,False,True,False,[],2002-01-18T03:00Z,0,N/A,820,Maples Pavilion,Stanford,CA,7233.0,True,226.0,3:46,2,3,STATUS_FINAL,post,True,Final,Final,Final,24,s:40~l:41~t:24,Stanford,Cardinal,STAN,Stanford Cardinal,Stanford,A80532,ffffff,True,820,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,21,265,s:40~l:41~t:265,Washington State,Cougars,WSU,Washington State Cougars,Washington St,94022a,6a747c,True,2052,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png,21,2002,,21,Pac-12 Conference,Pac-12,True
0,220170103,s:40~l:41~e:220170103~c:220170103,2002-01-18T00:00Z,7523,False,False,True,False,[],2002-01-18T00:00Z,0,N/A,135,Silvio O. Conte Forum,Chestnut Hill,MA,8606.0,True,5.0,0:05,2,3,STATUS_FINAL,post,True,Final,Final,Final,103,s:40~l:41~t:103,Boston College,Eagles,BC,Boston College Eagles,Boston College,88001a,a39161,True,135,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,4,2599,s:40~l:41~t:2599,St. John's,Red Storm,SJU,St. John's Red Storm,St. John's,d10000,101010,True,2019,https://a.espncdn.com/i/teamlogos/ncaa/500/2599.png,4,2002,,4,Big East Conference,Big East,True
0,220172754,s:40~l:41~e:220172754~c:220172754,2002-01-18T00:00Z,2357,False,False,True,False,[],2002-01-18T00:00Z,0,N/A,2054,Beeghly Center,Youngstown,OH,6300.0,True,108.0,1:48,2,3,STATUS_FINAL,post,True,Final,Final,Final,2754,s:40~l:41~t:2754,Youngstown State,Penguins,YSU,Youngstown State Penguins,Youngstown St,E51935,690717,True,2054,https://a.espncdn.com/i/teamlogos/ncaa/500/2754.png,45,2174,s:40~l:41~t:2174,Detroit Mercy,Titans,DET,Detroit Mercy Titans,Detroit Mercy,165b9e,d31733,True,2005,https://a.espncdn.com/i/teamlogos/ncaa/500/2174.png,45,2002,,45,Horizon League,Horizon,True
0,220172750,s:40~l:41~e:220172750~c:220172750,2002-01-18T00:00Z,4501,False,False,True,False,[],2002-01-18T00:00Z,0,N/A,192,Nutter Center,Dayton,OH,8000.0,True,13.0,0:13,3,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,2750,s:40~l:41~t:2750,Wright State,Raiders,WRST,Wright State Raiders,Wright State,E9AF10,e2b629,True,192,https://a.espncdn.com/i/teamlogos/ncaa/500/2750.png,45,270,s:40~l:41~t:270,Milwaukee,Panthers,MILW,Milwaukee Panthers,Milwaukee,000000,ffc20e,True,1983,https://a.espncdn.com/i/teamlogos/ncaa/500/270.png,45,2002,OT,45,Horizon League,Horizon,True
0,220172561,s:40~l:41~e:220172561~c:220172561,2002-01-18T00:00Z,6802,False,False,True,False,[],2002-01-18T00:00Z,0,N/A,2169,Alumni Recreation Center,Loudonville,NY,2148.0,True,72.0,1:12,2,3,STATUS_FINAL,post,True,Final,Final,Final,2561,s:40~l:41~t:2561,Siena,Saints,SIE,Siena Saints,Siena,037961,eea60f,True,20,https://a.espncdn.com/i/teamlogos/ncaa/500/2561.png,13,2363,s:40~l:41~t:2363,Manhattan,Jaspers,MAN,Manhattan Jaspers,Manhattan,4f8537,b5b7ba,True,2062,https://a.espncdn.com/i/teamlogos/ncaa/500/2363.png,13,2002,,13,Metro Atlantic Athletic Conference,MAAC,True
0,220172086,s:40~l:41~e:220172086~c:220172086,2002-01-18T00:00Z,4895,False,False,True,False,[],2002-01-18T00:00Z,0,N/A,2032,Hinkle Fieldhouse,Indianapolis,IN,9100.0,True,37.0,0:37,2,3,STATUS_FINAL,post,True,Final,Final,Final,2086,s:40~l:41~t:2086,Butler,Bulldogs,BUT,Butler Bulldogs,Butler,0d1361,00a3e0,True,2032,https://a.espncdn.com/i/teamlogos/ncaa/500/2086.png,45,2739,s:40~l:41~t:2739,Green Bay,Phoenix,GB,Green Bay Phoenix,Green Bay,006633,b21038,True,522,https://a.espncdn.com/i/teamlogos/ncaa/500/2739.png,45,2002,,45,Horizon League,Horizon,True
0,220170315,s:40~l:41~e:220170315~c:220170315,2002-01-18T00:00Z,1460,False,False,True,False,[],2002-01-18T00:00Z,0,N/A,,,,,,,13.0,0:13,2,3,STATUS_FINAL,post,True,Final,Final,Final,315,s:40~l:41~t:315,Niagara,Purple Eagles,NIAG,Niagara Purple Eagles,Niagara,69207E,f0f0f0,True,2177,https://a.espncdn.com/i/teamlogos/ncaa/500/315.png,13,2368,s:40~l:41~t:2368,Marist,Red Foxes,MRST,Marist Red Foxes,Marist,e53730,f0f0f0,True,1934,https://a.espncdn.com/i/teamlogos/ncaa/500/2368.png,13,2002,,13,Metro Atlantic Athletic Conference,MAAC,True
0,220170261,s:40~l:41~e:220170261~c:220170261,2002-01-18T00:00Z,3060,False,False,True,False,[],2002-01-18T00:00Z,0,N/A,,,,,,,152.0,2:32,2,3,STATUS_FINAL,post,True,Final,Final,Final,261,s:40~l:41~t:261,Vermont,Catamounts,UVM,Vermont Catamounts,Vermont,013C24,ffc72c,True,2118,https://a.espncdn.com/i/teamlogos/ncaa/500/261.png,1,111,s:40~l:41~t:111,Northeastern,Huskies,NE,Northeastern Huskies,Northeastern,CC0001,c2c3c0,True,1219,https://a.espncdn.com/i/teamlogos/ncaa/500/111.png,1,2002,,1,America East Conference,Am. East,True
0,220170219,s:40~l:41~e:220170219~c:220170219,2002-01-18T00:00Z,2845,False,False,False,False,[],2002-01-18T00:00Z,0,N/A,1899,The Palestra,Philadelphia,PA,8722.0,True,3.0,0:03,2,3,STATUS_FINAL,post,True,Final,Final,Final,219,s:40~l:41~t:219,Pennsylvania,Quakers,PENN,Pennsylvania Quakers,Penn,082A74,a6163d,True,1899,https://a.espncdn.com/i/teamlogos/ncaa/500/219.png,12,48,s:40~l:41~t:48,Delaware,Blue Hens,DEL,Delaware Blue Hens,Delaware,033594,e8ce31,True,2189,https://a.espncdn.com/i/teamlogos/ncaa/500/48.png,10,2002,,,,,
0,220170056,s:40~l:41~e:220170056~c:220170056,2002-01-18T00:00Z,1232,False,False,True,False,[],2002-01-18T00:00Z,0,N/A,2080,Edmunds Center,Deland,FL,4000.0,True,20.0,0:20,2,3,STATUS_FINAL,post,True,Final,Final,Final,56,s:40~l:41~t:56,Stetson,Hatters,STET,Stetson Hatters,Stetson,0a5640,56854e,True,2080,https://a.espncdn.com/i/teamlogos/ncaa/500/56.png,46,2653,s:40~l:41~t:2653,Troy,Trojans,TROY,Troy Trojans,Troy,AE0210,88898c,True,4489,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,46,2002,,46,ASUN Conference,ASUN,True
0,220172674,s:40~l:41~e:220172674~c:220172674,2002-01-18T00:05Z,4201,False,False,True,False,[],2002-01-18T00:05Z,0,N/A,2159,Athletics-Recreation Center,Valparaiso,IN,5100.0,True,185.0,3:05,2,3,STATUS_FINAL,post,True,Final,Final,Final,2674,s:40~l:41~t:2674,Valparaiso,,VALP,Valparaiso,Valparaiso,794500,,True,2159,https://a.espncdn.com/i/teamlogos/ncaa/500/2674.png,18,198,s:40~l:41~t:198,Oral Roberts,Golden Eagles,ORU,Oral Roberts Golden Eagles,Oral Roberts,002955,ccb48c,True,1993,https://a.espncdn.com/i/teamlogos/ncaa/500/198.png,49,2002,,,,,
0,220172520,s:40~l:41~e:220172520~c:220172520,2002-01-18T00:30Z,1217,False,False,True,False,[],2002-01-18T00:30Z,0,N/A,1944,Alumni Gymnasium (Rider),Lawrenceville,NJ,1650.0,True,105.0,1:45,2,3,STATUS_FINAL,post,True,Final,Final,Final,2520,s:40~l:41~t:2520,Rider,Broncs,RID,Rider Broncs,Rider,a80532,ebebeb,True,1944,https://a.espncdn.com/i/teamlogos/ncaa/500/2520.png,13,2352,s:40~l:41~t:2352,Loyola (MD),Greyhounds,L-MD,Loyola (MD) Greyhounds,Loyola (MD),76a7a0,c9cbca,True,2093,https://a.espncdn.com/i/teamlogos/ncaa/500/2352.png,13,2002,,13,Metro Atlantic Athletic Conference,MAAC,True
0,220172466,s:40~l:41~e:220172466~c:220172466,2002-01-18T00:30Z,1522,False,False,True,False,[],2002-01-18T00:30Z,0,N/A,1939,Prather Coliseum,Natchitoches,LA,3400.0,True,24.0,0:24,2,3,STATUS_FINAL,post,True,Final,Final,Final,2466,s:40~l:41~t:2466,Northwestern State,Demons,NWST,Northwestern State Demons,Northwestern St,492F91,ed6118,True,1939,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,25,326,s:40~l:41~t:326,Texas State,Bobcats,TXST,Texas State Bobcats,Texas State,4e1719,b4975a,True,2010,https://a.espncdn.com/i/teamlogos/ncaa/500/326.png,27,2002,,,,,
0,220172116,s:40~l:41~e:220172116~c:220172116,2002-01-18T00:30Z,838,False,False,True,False,[],2002-01-18T00:30Z,0,N/A,2074,CFE Federal Credit Union Arena,Orlando,FL,5100.0,False,24.0,0:24,2,3,STATUS_FINAL,post,True,Final,Final,Final,2116,s:40~l:41~t:2116,UCF,Knights,UCF,UCF Knights,UCF,000000,231f20,True,4484,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,46,2057,s:40~l:41~t:2057,Belmont,Bruins,BEL,Belmont Bruins,Belmont,182142,c9262d,True,2098,https://a.espncdn.com/i/teamlogos/ncaa/500/2057.png,46,2002,,46,ASUN Conference,ASUN,True
0,220170311,s:40~l:41~e:220170311~c:220170311,2002-01-18T00:30Z,1349,False,False,True,False,[],2002-01-18T00:30Z,0,N/A,14,Harold Alfond Arena,Orono,ME,5712.0,False,1.0,0:01,2,3,STATUS_FINAL,post,True,Final,Final,Final,311,s:40~l:41~t:311,Maine,Black Bears,ME,Maine Black Bears,Maine,127dbe,,True,4605,https://a.espncdn.com/i/teamlogos/ncaa/500/311.png,1,42,s:40~l:41~t:42,Hartford,Hawks,HART,Hartford Hawks,Hartford,d60008,000000,True,1929,https://a.espncdn.com/i/teamlogos/ncaa/500/42.png,1,2002,,1,America East Conference,Am. East,True
0,220170294,s:40~l:41~e:220170294~c:220170294,2002-01-18T00:30Z,1113,False,False,True,False,[],2002-01-18T00:30Z,0,N/A,,,,,,,149.0,2:29,2,3,STATUS_FINAL,post,True,Final,Final,Final,294,s:40~l:41~t:294,Jacksonville,Dolphins,JAX,Jacksonville Dolphins,Jacksonville,00523e,,True,1994,https://a.espncdn.com/i/teamlogos/ncaa/500/294.png,46,2382,s:40~l:41~t:2382,Mercer,Bears,MER,Mercer Bears,Mercer,ff7f29,080808,True,1974,https://a.espncdn.com/i/teamlogos/ncaa/500/2382.png,46,2002,,46,ASUN Conference,ASUN,True
0,220170045,s:40~l:41~e:220170045~c:220170045,2002-01-18T00:30Z,3232,False,False,True,False,[],2002-01-18T00:30Z,0,N/A,2125,Charles E. Smith Center,Washington,DC,4338.0,True,71.0,1:11,2,3,STATUS_FINAL,post,True,Final,Final,Final,45,s:40~l:41~t:45,George Washington,Colonials,GW,George Washington Colonials,G Washington,002843,e8d2a1,True,2125,https://a.espncdn.com/i/teamlogos/ncaa/500/45.png,3,2752,s:40~l:41~t:2752,Xavier,Musketeers,XAV,Xavier Musketeers,Xavier,002144,9ea2a2,True,1973,https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png,3,2002,,3,Atlantic 10 Conference,A 10,True
0,220172710,s:40~l:41~e:220172710~c:220172710,2002-01-18T01:00Z,2393,False,False,True,False,[],2002-01-18T01:00Z,0,N/A,2197,LeRoy A. Ufkes Court at Western Hall,Macomb,IL,5139.0,True,40.0,0:40,2,3,STATUS_FINAL,post,True,Final,Final,Final,2710,s:40~l:41~t:2710,Western Illinois,Leathernecks,WIU,Western Illinois Leathernecks,W Illinois,4e1e8a,ffc90a,True,2197,https://a.espncdn.com/i/teamlogos/ncaa/500/2710.png,49,140,s:40~l:41~t:140,UM Kansas City,Roos,UMKC,UM Kansas City Roos,UM Kansas City,004b87,ffc72c,True,4052,https://a.espncdn.com/i/teamlogos/ncaa/500/140.png,49,2002,,,,,
0,220172535,s:40~l:41~e:220172535~c:220172535,2002-01-18T01:00Z,0,False,False,True,False,[],2002-01-18T01:00Z,0,N/A,,,,,,,412.0,6:52,2,3,STATUS_FINAL,post,True,Final,Final,Final,2535,s:40~l:41~t:2535,Samford,Bulldogs,SAM,Samford Bulldogs,Samford,005485,bc0023,True,2191,https://a.espncdn.com/i/teamlogos/ncaa/500/2535.png,46,2097,s:40~l:41~t:2097,Campbell,Fighting Camels,CAM,Campbell Fighting Camels,Campbell,000000,,True,1906,https://a.espncdn.com/i/teamlogos/ncaa/500/2097.png,46,2002,,46,ASUN Conference,ASUN,True
