,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,status.type.altDetail,season,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId
0,401020714,s:40~l:41~e:401020714~c:401020714,2018-03-09T18:30Z,0,True,True,True,False,"[{'type': 'event', 'headline': ""C-USA MEN'S CHAMPIONSHIP - SEMIFINAL""}]",2018-03-09T18:30Z,13,RD32,5455,Ford Center At The Star,Frisco,TX,12000,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,276,s:40~l:41~t:276,Marshall,Thundering Herd,MRSH,Marshall Thundering Herd,Marshall,186329,be854c,True,1935,https://a.espncdn.com/i/teamlogos/ncaa/500/276.png,11,2572,s:40~l:41~t:2572,Southern Miss,Golden Eagles,USM,Southern Miss Golden Eagles,Southern Miss,FFAA3C,ffc423,True,2009,https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,11,,2018,11,Conference USA,C-USA,True,13.0
0,401019979,s:40~l:41~e:401019979~c:401019979,2018-03-09T19:17Z,8491,True,True,True,False,"[{'type': 'event', 'headline': ""AARON'S AMERICAN ATHLETIC CONFERENCE MEN'S CHAMPIONSHIP - QUARTERFINAL""}]",2018-03-09T19:17Z,,,3432,Amway Center,Orlando,FL,0,False,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,202,s:40~l:41~t:202,Tulsa,Golden Hurricane,TLSA,Tulsa Golden Hurricane,Tulsa,004371,ee3b33,True,2049,https://a.espncdn.com/i/teamlogos/ncaa/500/202.png,62,235,s:40~l:41~t:235,Memphis,Tigers,MEM,Memphis Tigers,Memphis,002447,231f20,True,1392,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png,62,,2018,62,American Athletic Conference,American,True,39.0
0,401020079,s:40~l:41~e:401020079~c:401020079,2018-03-09T19:30Z,7321,True,True,True,False,"[{'type': 'event', 'headline': ""ATLANTIC 10 MEN'S CHAMPIONSHIP - QUARTERFINAL""}]",2018-03-09T19:30Z,1,STD,1823,Capital One Arena,Washington,DC,20600,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2603,s:40~l:41~t:2603,Saint Joseph's,Hawks,JOES,Saint Joseph's Hawks,Saint Joseph's,C2071B,101010,True,2150,https://a.espncdn.com/i/teamlogos/ncaa/500/2603.png,3,2244,s:40~l:41~t:2244,George Mason,Patriots,GMU,George Mason Patriots,George Mason,016600,ecb010,True,2167,https://a.espncdn.com/i/teamlogos/ncaa/500/2244.png,3,,2018,3,Atlantic 10 Conference,A 10,True,2.0
0,401020122,s:40~l:41~e:401020122~c:401020122,2018-03-09T20:00Z,0,True,True,True,False,"[{'type': 'event', 'headline': ""SUN BELT CONFERENCE MEN'S CHAMPIONSHIP - QUARTERFINAL""}]",2018-03-09T20:00Z,,,1926,Lakefront Arena,New Orleans,LA,8785,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,250,s:40~l:41~t:250,UT Arlington,Mavericks,UTA,UT Arlington Mavericks,UT Arlington,004b7c,f58024,True,3416,https://a.espncdn.com/i/teamlogos/ncaa/500/250.png,27,2026,s:40~l:41~t:2026,Appalachian State,Mountaineers,APP,Appalachian State Mountaineers,Appalachian St,000000,ffcd00,True,2137,https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,27,,2018,27,Sun Belt Conference,Sun Belt,True,32.0
0,401020007,s:40~l:41~e:401020007~c:401020007,2018-03-09T20:00Z,16364,True,True,True,False,"[{'type': 'event', 'headline': ""SEC MEN'S TOURNAMENT - QUARTERFINAL""}]",2018-03-09T20:00Z,,,1839,Enterprise Center,St. Louis,MO,0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,96,s:40~l:41~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Kentucky,005DAA,ffffff,True,251,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,23,61,s:40~l:41~t:61,Georgia,Bulldogs,UGA,Georgia Bulldogs,Georgia,CC0000,000000,True,2088,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,23,,2018,23,Southeastern Conference,SEC,True,27.0
0,401022956,s:40~l:41~e:401022956~c:401022956,2018-03-09T20:30Z,1325,True,True,True,False,"[{'type': 'event', 'headline': ""SWAC MEN'S TOURNAMENT - SEMIFINAL""}]",2018-03-09T20:30Z,,,5454,DELMAR FIELDHOUSE,Houston,TX,0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2029,s:40~l:41~t:2029,Arkansas-Pine Bluff,Golden Lions,UAPB,Arkansas-Pine Bluff Golden Lions,Ark-Pine Bluff,e0aa0f,eaaa00,True,2105,https://a.espncdn.com/i/teamlogos/ncaa/500/2029.png,26,2582,s:40~l:41~t:2582,Southern,Jaguars,SOU,Southern Jaguars,Southern,004B97,ffc82d,True,2210,https://a.espncdn.com/i/teamlogos/ncaa/500/2582.png,26,,2018,26,Southwestern Athletic Conference,SWAC,True,30.0
0,401020715,s:40~l:41~e:401020715~c:401020715,2018-03-09T21:00Z,0,True,True,True,False,"[{'type': 'event', 'headline': ""C-USA MEN'S CHAMPIONSHIP - SEMIFINAL""}]",2018-03-09T21:00Z,13,RD32,5455,Ford Center At The Star,Frisco,TX,12000,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,295,s:40~l:41~t:295,Old Dominion,Monarchs,ODU,Old Dominion Monarchs,Old Dominion,00507d,a1d2f1,True,1940,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png,11,98,s:40~l:41~t:98,Western Kentucky,Hilltoppers,WKU,Western Kentucky Hilltoppers,Western KY,F32026,b3b5b8,True,1971,https://a.espncdn.com/i/teamlogos/ncaa/500/98.png,11,,2018,11,Conference USA,C-USA,True,13.0
0,401020554,s:40~l:41~e:401020554~c:401020554,2018-03-09T23:00Z,0,True,True,True,False,"[{'type': 'event', 'headline': ""MEAC MEN'S TOURNAMENT - SEMIFINAL""}]",2018-03-09T23:00Z,18,EXH,26,Norfolk Scope Arena,Norfolk,VA,0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2261,s:40~l:41~t:2261,Hampton,Pirates,HAMP,Hampton Pirates,Hampton,0067AC,,True,2017,https://a.espncdn.com/i/teamlogos/ncaa/500/2261.png,16,2448,s:40~l:41~t:2448,North Carolina A&T,Aggies,NCAT,North Carolina A&T Aggies,NC A&T,0505aa,004684,True,2066,https://a.espncdn.com/i/teamlogos/ncaa/500/2448.png,16,,2018,16,Mid-Eastern Athletic Conference,MEAC,True,18.0
0,401020163,s:40~l:41~e:401020163~c:401020163,2018-03-09T23:00Z,2545,True,True,True,False,"[{'type': 'event', 'headline': ""SOUTHLAND MEN'S TOURNAMENT - SEMIFINAL""}]",2018-03-09T23:00Z,,,3479,Leonard E. Merrell Center,Katy,TX,5794,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2545,s:40~l:41~t:2545,SE Louisiana,Lions,SELA,SE Louisiana Lions,SE Louisiana,007550,dca008,True,2040,https://a.espncdn.com/i/teamlogos/ncaa/500/2545.png,25,2534,s:40~l:41~t:2534,Sam Houston State,Bearkats,SHSU,Sam Houston State Bearkats,Sam Houston St,fe5000,000000,True,4585,https://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,25,,2018,25,Southland Conference,Southland,True,29.0
0,401020127,s:40~l:41~e:401020127~c:401020127,2018-03-09T23:00Z,0,True,True,True,False,"[{'type': 'event', 'headline': ""SUN BELT CONFERENCE MEN'S CHAMPIONSHIP - QUARTERFINAL""}]",2018-03-09T23:00Z,,,1926,Lakefront Arena,New Orleans,LA,8785,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2247,s:40~l:41~t:2247,Georgia State,Panthers,GAST,Georgia State Panthers,Georgia State,1e539a,ebebeb,True,2057,https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,27,2653,s:40~l:41~t:2653,Troy,Trojans,TROY,Troy Trojans,Troy,AE0210,88898c,True,4489,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,27,,2018,27,Sun Belt Conference,Sun Belt,True,32.0
