"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","home.conferenceId","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.venue.id","away.logo","away.conferenceId","status.type.altDetail","season","groups.id","groups.name","groups.shortName","groups.isConference","tournamentId","game_id","PBP","team_box"
400550683,"s:40~l:41~e:400550683~c:400550683","2014-04-03T23:00Z",5268,"True","True","False","False","[{'type': 'event', 'headline': 'NIT - CHAMPIONSHIP'}]","2014-04-03T23:00Z",NA,"",1830,"Madison Square Garden","New York","NY",19812,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",135,"s:40~l:41~t:135","Minnesota","Golden Gophers","MINN","Minnesota Golden Gophers","Minnesota","981a31","981a31","True",2094,"https://a.espncdn.com/i/teamlogos/ncaa/500/135.png",7,2567,"s:40~l:41~t:2567","SMU","Mustangs","SMU","SMU Mustangs","SMU","E32F38","ecdcb9","True",1961,"https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png",62,"",2014,NA,"","","",21,400550683,TRUE,TRUE
400549369,"s:40~l:41~e:400549369~c:400549369","2014-04-02T01:39Z",7193,"True","True","False","False","[{'type': 'event', 'headline': 'NIT - SEMIFINAL'}]","2014-04-02T01:39Z",NA,"",1830,"Madison Square Garden","New York","NY",19812,"True",0,"0:00",3,3,"STATUS_FINAL","post","True","Final","Final/OT","Final/OT",135,"s:40~l:41~t:135","Minnesota","Golden Gophers","MINN","Minnesota Golden Gophers","Minnesota","981a31","981a31","True",2094,"https://a.espncdn.com/i/teamlogos/ncaa/500/135.png",7,52,"s:40~l:41~t:52","Florida State","Seminoles","FSU","Florida State Seminoles","Florida State","782F40","ceb888","True",1952,"https://a.espncdn.com/i/teamlogos/ncaa/500/52.png",2,"OT",2014,NA,"","","",21,400549369,TRUE,TRUE
400549370,"s:40~l:41~e:400549370~c:400549370","2014-04-01T23:00Z",0,"True","True","False","False","[{'type': 'event', 'headline': 'NIT - SEMIFINAL'}]","2014-04-01T23:00Z",NA,"",1830,"Madison Square Garden","New York","NY",19812,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2567,"s:40~l:41~t:2567","SMU","Mustangs","SMU","SMU Mustangs","SMU","E32F38","ecdcb9","True",1961,"https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png",62,228,"s:40~l:41~t:228","Clemson","Tigers","CLEM","Clemson Tigers","Clemson","F66733","522d80","True",1912,"https://a.espncdn.com/i/teamlogos/ncaa/500/228.png",2,"",2014,NA,"","","",21,400549370,TRUE,TRUE
400549128,"s:40~l:41~e:400549128~c:400549128","2014-03-27T01:00Z",7038,"True","False","False","False","[{'type': 'event', 'headline': 'NIT - QUARTERFINAL'}]","2014-03-27T01:00Z",NA,"",1961,"Moody Coliseum","Dallas","TX",7000,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2567,"s:40~l:41~t:2567","SMU","Mustangs","SMU","SMU Mustangs","SMU","E32F38","ecdcb9","True",1961,"https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png",62,25,"s:40~l:41~t:25","California","Golden Bears","CAL","California Golden Bears","California","031522","ffc423","True",496,"https://a.espncdn.com/i/teamlogos/ncaa/500/25.png",21,"",2014,NA,"","","",21,400549128,TRUE,TRUE
400549127,"s:40~l:41~e:400549127~c:400549127","2014-03-26T23:00Z",4470,"True","False","False","False","[{'type': 'event', 'headline': 'NIT - QUARTERFINAL'}]","2014-03-26T23:00Z",NA,"",1952,"Donald L. Tucker Center","Tallahassee","FL",11500,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",52,"s:40~l:41~t:52","Florida State","Seminoles","FSU","Florida State Seminoles","Florida State","782F40","ceb888","True",1952,"https://a.espncdn.com/i/teamlogos/ncaa/500/52.png",2,2348,"s:40~l:41~t:2348","Louisiana Tech","Bulldogs","LT","Louisiana Tech Bulldogs","Louisiana Tech","002d65","d3313a","True",1982,"https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png",11,"",2014,NA,"","","",21,400549127,TRUE,TRUE
400548881,"s:40~l:41~e:400548881~c:400548881","2014-03-26T01:00Z",5444,"True","False","False","False","[{'type': 'event', 'headline': 'NIT - QUARTERFINAL'}]","2014-03-26T01:00Z",NA,"",2094,"Williams Arena","Minneapolis","MN",14625,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",135,"s:40~l:41~t:135","Minnesota","Golden Gophers","MINN","Minnesota Golden Gophers","Minnesota","981a31","981a31","True",2094,"https://a.espncdn.com/i/teamlogos/ncaa/500/135.png",7,2572,"s:40~l:41~t:2572","Southern Miss","Golden Eagles","USM","Southern Miss Golden Eagles","Southern Miss","FFAA3C","ffc423","True",2009,"https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png",11,"",2014,NA,"","","",21,400548881,TRUE,TRUE
400548880,"s:40~l:41~e:400548880~c:400548880","2014-03-25T23:00Z",10000,"True","False","False","False","[{'type': 'event', 'headline': 'NIT - QUARTERFINAL'}]","2014-03-25T23:00Z",NA,"",1912,"Littlejohn Coliseum","Clemson","SC",9000,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",228,"s:40~l:41~t:228","Clemson","Tigers","CLEM","Clemson Tigers","Clemson","F66733","522d80","True",1912,"https://a.espncdn.com/i/teamlogos/ncaa/500/228.png",2,2057,"s:40~l:41~t:2057","Belmont","Bruins","BEL","Belmont Bruins","Belmont","182142","c9262d","True",2098,"https://a.espncdn.com/i/teamlogos/ncaa/500/2057.png",20,"",2014,NA,"","","",21,400548880,TRUE,TRUE
400547505,"s:40~l:41~e:400547505~c:400547505","2014-03-25T03:00Z",2518,"True","False","False","False","[{'type': 'event', 'headline': 'NIT - 2ND ROUND'}]","2014-03-25T03:00Z",NA,"",496,"Haas Pavilion","Berkeley","CA",11877,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",25,"s:40~l:41~t:25","California","Golden Bears","CAL","California Golden Bears","California","031522","ffc423","True",496,"https://a.espncdn.com/i/teamlogos/ncaa/500/25.png",21,8,"s:40~l:41~t:8","Arkansas","Razorbacks","ARK","Arkansas Razorbacks","Arkansas","9c1831","000000","True",2142,"https://a.espncdn.com/i/teamlogos/ncaa/500/8.png",23,"",2014,NA,"","","",21,400547505,TRUE,TRUE
400547504,"s:40~l:41~e:400547504~c:400547504","2014-03-25T01:00Z",7021,"True","False","False","False","[{'type': 'event', 'headline': 'NIT - 2ND ROUND'}]","2014-03-25T01:00Z",NA,"",1961,"Moody Coliseum","Dallas","TX",7000,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2567,"s:40~l:41~t:2567","SMU","Mustangs","SMU","SMU Mustangs","SMU","E32F38","ecdcb9","True",1961,"https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png",62,99,"s:40~l:41~t:99","LSU","Tigers","LSU","LSU Tigers","LSU","2B0D57","fdd023","True",557,"https://a.espncdn.com/i/teamlogos/ncaa/500/99.png",23,"",2014,NA,"","","",21,400547504,TRUE,TRUE
400547458,"s:40~l:41~e:400547458~c:400547458","2014-03-24T23:00Z",3541,"True","False","False","False","[{'type': 'event', 'headline': 'NIT - 2ND ROUND'}]","2014-03-24T23:00Z",NA,"",1952,"Donald L. Tucker Center","Tallahassee","FL",11500,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",52,"s:40~l:41~t:52","Florida State","Seminoles","FSU","Florida State Seminoles","Florida State","782F40","ceb888","True",1952,"https://a.espncdn.com/i/teamlogos/ncaa/500/52.png",2,46,"s:40~l:41~t:46","Georgetown","Hoyas","GTWN","Georgetown Hoyas","Georgetown","110E42","001c58","True",1823,"https://a.espncdn.com/i/teamlogos/ncaa/500/46.png",4,"",2014,NA,"","","",21,400547458,TRUE,TRUE
