,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.isActive,away.venue.id,away.logo,away.conferenceId,away.alternateColor,season,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId
0,313150041,s:40~l:41~e:313150041~c:313150041,2011-11-12T00:00Z,10167,True,False,False,False,[],2011-11-12T00:00Z,0,N/A,1956,Gampel Pavilion,Storrs,CT,10167.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,41,s:40~l:41~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,001d40,f1f2f3,True,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,171,s:40~l:41~t:171,Columbia,Lions,CLMB,Columbia Lions,Columbia,174785,True,2002,https://a.espncdn.com/i/teamlogos/ncaa/500/171.png,12,004b85,2012,,,,,,
0,313150150,s:40~l:41~e:313150150~c:313150150,2011-11-12T02:00Z,9314,True,False,False,False,"[{'type': 'event', 'headline': 'EA SPORTS MAUI INVITATIONAL'}]",2011-11-12T02:00Z,0,N/A,1914,Cameron Indoor Stadium,Durham,NC,9314.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,150,s:40~l:41~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,001A57,f1f2f3,True,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,2057,s:40~l:41~t:2057,Belmont,Bruins,BEL,Belmont Bruins,Belmont,182142,True,2098,https://a.espncdn.com/i/teamlogos/ncaa/500/2057.png,46,c9262d,2012,,,,,,
0,313150238,s:40~l:41~e:313150238~c:313150238,2011-11-12T03:00Z,14316,True,False,False,False,[],2011-11-12T03:00Z,0,N/A,2084,Memorial Gymnasium (Vanderbilt),Nashville,TN,14316.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,238,s:40~l:41~t:238,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Vanderbilt,000000,231f20,True,2084,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,23,2483,s:40~l:41~t:2483,Oregon,Ducks,ORE,Oregon Ducks,Oregon,044520,True,1977,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,21,fee123,2012,,,,,,
0,313150057,s:40~l:41~e:313150057~c:313150057,2011-11-12T00:00Z,10059,True,False,False,False,[],2011-11-12T00:00Z,0,N/A,360,Exactech Arena at Stephen C. O'Connell Center,Gainesville,FL,10151.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,57,s:40~l:41~t:57,Florida,Gators,FLA,Florida Gators,Florida,0021A5,0021a5,True,360,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,23,2296,s:40~l:41~t:2296,Jackson State,Tigers,JKST,Jackson State Tigers,Jackson State,123297,True,1945,https://a.espncdn.com/i/teamlogos/ncaa/500/2296.png,26,b5b7ba,2012,,,,,,
0,313150097,s:40~l:41~e:313150097~c:313150097,2011-11-12T00:00Z,20485,True,False,False,False,[],2011-11-12T00:00Z,0,N/A,2030,KFC Yum! Center,Louisville,KY,22090.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,97,s:40~l:41~t:97,Louisville,Cardinals,LOU,Louisville Cardinals,Louisville,ad000a,cccccc,True,2030,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,4,2630,s:40~l:41~t:2630,UT Martin,Skyhawks,UTM,UT Martin Skyhawks,UT Martin,FF6700,True,2043,https://a.espncdn.com/i/teamlogos/ncaa/500/2630.png,20,102a5c,2012,,,,,,
0,313150221,s:40~l:41~e:313150221~c:313150221,2011-11-12T00:00Z,10125,True,False,False,False,[],2011-11-12T00:00Z,0,N/A,2025,Petersen Events Center,Pittsburgh,PA,12508.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,221,s:40~l:41~t:221,Pittsburgh,Panthers,PITT,Pittsburgh Panthers,Pittsburgh,003263,231f20,True,2025,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png,4,399,s:40~l:41~t:399,Albany,Great Danes,ALB,Albany Great Danes,Albany,3D2777,True,1976,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,1,ffffff,2012,,,,,,
0,313150239,s:40~l:41~e:313150239~c:313150239,2011-11-12T03:00Z,7359,True,False,False,False,[],2011-11-12T03:00Z,0,N/A,1049,Ferrell Center,Waco,TX,10284.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,239,s:40~l:41~t:239,Baylor,Bears,BAY,Baylor Bears,Baylor,004834,ffb81c,True,1049,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,8,2640,s:40~l:41~t:2640,Texas Southern,Tigers,TXSO,Texas Southern Tigers,Texas Southern,6A0403,True,2165,https://a.espncdn.com/i/teamlogos/ncaa/500/2640.png,26,ebebeb,2012,,,,,,
0,313152305,s:40~l:41~e:313152305~c:313152305,2011-11-12T01:00Z,16300,True,False,False,False,"[{'type': 'event', 'headline': 'EA SPORTS MAUI INVITATIONAL'}]",2011-11-12T01:00Z,0,N/A,2171,Allen Fieldhouse,Lawrence,KS,16300.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2305,s:40~l:41~t:2305,Kansas,Jayhawks,KU,Kansas Jayhawks,Kansas,0022B4,e8000d,True,2171,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,8,119,s:40~l:41~t:119,Towson,Tigers,TOW,Towson Tigers,Towson,FFC229,True,4603,https://a.espncdn.com/i/teamlogos/ncaa/500/119.png,10,,2012,,,,,,
0,313152752,s:40~l:41~e:313152752~c:313152752,2011-11-12T00:00Z,10250,True,False,False,False,[],2011-11-12T00:00Z,0,N/A,1973,Cintas Center,Cincinnati,OH,10224.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2752,s:40~l:41~t:2752,Xavier,Musketeers,XAV,Xavier Musketeers,Xavier,002144,9ea2a2,True,1973,https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png,3,2415,s:40~l:41~t:2415,Morgan St,Bears,MORG,Morgan St Bears,Morgan State,014786,True,2021,https://a.espncdn.com/i/teamlogos/ncaa/500/2415.png,16,f47937,2012,,,,,,
0,313150026,s:40~l:41~e:313150026~c:313150026,2011-11-12T03:30Z,5382,True,False,False,False,[],2011-11-12T03:30Z,0,N/A,2224,Los Angeles Memorial Sports Arena,Los Angeles,CA,15000.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,26,s:40~l:41~t:26,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,005C8E,ffc72c,True,479,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,21,2351,s:40~l:41~t:2351,Loyola Marymount,Lions,LMU,Loyola Marymount Lions,Loyola Marymnt,880029,True,2173,https://a.espncdn.com/i/teamlogos/ncaa/500/2351.png,29,00345b,2012,,,,,,
0,313150130,s:40~l:41~e:313150130~c:313150130,2011-11-12T00:00Z,0,True,False,False,False,[],2011-11-12T00:00Z,0,N/A,1986,Crisler Center,Ann Arbor,MI,12707.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,130,s:40~l:41~t:130,Michigan,Wolverines,MICH,Michigan Wolverines,Michigan,00274c,00274c,True,1986,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,7,2222,s:40~l:41~t:2222,Ferris State,Bulldogs,FRST,Ferris State Bulldogs,Ferris State,000000,False,,https://a.espncdn.com/i/teamlogos/ncaa/500/2222.png,,,2012,,,,,,
0,313150333,s:40~l:41~e:313150333~c:313150333,2011-11-12T01:00Z,11754,True,False,False,False,[],2011-11-12T01:00Z,0,N/A,1925,Coleman Coliseum,Tuscaloosa,AL,15383.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,333,s:40~l:41~t:333,Alabama,Crimson Tide,ALA,Alabama Crimson Tide,Alabama,690014,f1f2f3,True,1925,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,23,2454,s:40~l:41~t:2454,North Florida,Ospreys,UNF,North Florida Ospreys,North Florida,004B8D,True,2123,https://a.espncdn.com/i/teamlogos/ncaa/500/2454.png,46,babcbe,2012,,,,,,
0,313150269,s:40~l:41~e:313150269~c:313150269,2011-11-12T02:00Z,13834,True,False,False,False,[],2011-11-12T02:00Z,0,N/A,2099,BMO Harris Bradley Center,Milwaukee,WI,18717.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,269,s:40~l:41~t:269,Marquette,Golden Eagles,MARQ,Marquette Golden Eagles,Marquette,083963,ffffff,True,5777,https://a.espncdn.com/i/teamlogos/ncaa/500/269.png,4,116,s:40~l:41~t:116,Mount St. Mary's,Mountaineers,MSM,Mount St. Mary's Mountaineers,Mt. St. Mary's,005596,True,2175,https://a.espncdn.com/i/teamlogos/ncaa/500/116.png,19,ebebeb,2012,,,,,,
0,313152250,s:40~l:41~e:313152250~c:313152250,2011-11-12T04:05Z,0,True,False,False,False,[],2011-11-12T04:05Z,0,N/A,1979,McCarthey Athletic Center,Spokane,WA,6000.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2250,s:40~l:41~t:2250,Gonzaga,Bulldogs,GONZ,Gonzaga Bulldogs,Gonzaga,002967,cfd4d8,True,1979,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,29,331,s:40~l:41~t:331,Eastern Washington,Eagles,EWU,Eastern Washington Eagles,E Washington,a10022,True,1959,https://a.espncdn.com/i/teamlogos/ncaa/500/331.png,5,abb4bc,2012,,,,,,
0,313150025,s:40~l:41~e:313150025~c:313150025,2011-11-12T03:30Z,5305,True,False,False,False,[],2011-11-12T03:30Z,0,N/A,496,Haas Pavilion,Berkeley,CA,11877.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,25,s:40~l:41~t:25,California,Golden Bears,CAL,California Golden Bears,California,031522,ffc423,True,496,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,21,300,s:40~l:41~t:300,UC Irvine,Anteaters,UCI,UC Irvine Anteaters,UC Irvine,002B5C,True,469,https://a.espncdn.com/i/teamlogos/ncaa/500/300.png,9,fec52e,2012,,,,,,
0,313150142,s:40~l:41~e:313150142~c:313150142,2011-11-12T01:00Z,9612,True,False,False,False,[],2011-11-12T01:00Z,0,N/A,2071,Mizzou Arena,Columbia,MO,15061.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,142,s:40~l:41~t:142,Missouri,Tigers,MIZ,Missouri Tigers,Missouri,000000,000000,True,2071,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,8,2546,s:40~l:41~t:2546,Southeast Missouri State,Redhawks,SEMO,Southeast Missouri State Redhawks,SE Missouri St,cc0000,True,1917,https://a.espncdn.com/i/teamlogos/ncaa/500/2546.png,20,080808,2012,,,,,,
0,313150167,s:40~l:41~e:313150167~c:313150167,2011-11-11T17:00Z,14011,False,False,False,False,[],2011-11-11T17:00Z,0,N/A,2024,Dreamstyle Arena,Albuquerque,NM,15411.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,167,s:40~l:41~t:167,New Mexico,Lobos,UNM,New Mexico Lobos,New Mexico,000000,231f20,True,2024,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png,44,2443,s:40~l:41~t:2443,New Orleans,Privateers,UNO,New Orleans Privateers,New Orleans,2b3986,True,1926,https://a.espncdn.com/i/teamlogos/ncaa/500/2443.png,25,a2a9ae,2012,,,,,,
0,313150140,s:40~l:41~e:313150140~c:313150140,2011-11-11T19:00Z,753,True,False,False,False,[],2011-11-11T19:00Z,0,N/A,,,,,,,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,140,s:40~l:41~t:140,UM Kansas City,Roos,UMKC,UM Kansas City Roos,UM Kansas City,004b87,ffc72c,True,4052,https://a.espncdn.com/i/teamlogos/ncaa/500/140.png,49,138,s:40~l:41~t:138,NW Missouri State,Bearcats,NWMS,NW Missouri State Bearcats,NWMoSt,000000,False,,https://a.espncdn.com/i/teamlogos/ncaa/500/138.png,,,2012,,,,,,
0,313152529,s:40~l:41~e:313152529~c:313152529,2011-11-11T20:00Z,0,True,True,False,False,"[{'type': 'event', 'headline': 'CONNECTICUT 6 CLASSIC AT UNCASVILLE CT'}]",2011-11-11T20:00Z,0,N/A,2160,Mohegan Sun Arena,Uncasville,CT,10000.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2529,s:40~l:41~t:2529,Sacred Heart,Pioneers,SHU,Sacred Heart Pioneers,Sacred Heart,a40012,c29472,True,1916,https://a.espncdn.com/i/teamlogos/ncaa/500/2529.png,19,42,s:40~l:41~t:42,Hartford,Hawks,HART,Hartford Hawks,Hartford,d60008,True,1929,https://a.espncdn.com/i/teamlogos/ncaa/500/42.png,1,000000,2012,,,,,,
0,313150009,s:40~l:41~e:313150009~c:313150009,2011-11-11T21:30Z,5603,True,False,False,False,[],2011-11-11T21:30Z,0,N/A,833,Desert Financial Arena,Tempe,AZ,14198.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,9,s:40~l:41~t:9,Arizona State,Sun Devils,ASU,Arizona State Sun Devils,Arizona State,942139,f1f2f3,True,833,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,21,147,s:40~l:41~t:147,Montana State,Bobcats,MTST,Montana State Bobcats,Montana State,003875,True,2065,https://a.espncdn.com/i/teamlogos/ncaa/500/147.png,5,bf965c,2012,,,,,,
0,313150282,s:40~l:41~e:313150282~c:313150282,2011-11-11T22:00Z,5706,True,False,False,False,[],2011-11-11T22:00Z,0,N/A,2170,Hulman Center,Terre Haute,IN,10200.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,282,s:40~l:41~t:282,Indiana State,Sycamores,INST,Indiana State Sycamores,Indiana State,00669a,f0f0f0,True,2170,https://a.espncdn.com/i/teamlogos/ncaa/500/282.png,18,2197,s:40~l:41~t:2197,Eastern Illinois,Panthers,EIU,Eastern Illinois Panthers,E Illinois,000000,True,2138,https://a.espncdn.com/i/teamlogos/ncaa/500/2197.png,20,bebab9,2012,,,,,,
0,313150225,s:40~l:41~e:313150225~c:313150225,2011-11-11T22:00Z,0,True,False,False,False,[],2011-11-11T22:00Z,0,N/A,,,,,,,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,225,s:40~l:41~t:225,Brown,Bears,BRWN,Brown Bears,Brown,411e09,949300,True,2036,https://a.espncdn.com/i/teamlogos/ncaa/500/225.png,12,3094,s:40~l:41~t:3094,Johnson & Wales (CO),Wildcats,JW,Johnson & Wales (CO) Wildcats,Joh. & Wales CO,000000,False,,,,,2012,,,,,,
0,313150104,s:40~l:41~e:313150104~c:313150104,2011-11-11T22:00Z,1875,True,False,False,False,[],2011-11-11T22:00Z,0,N/A,1999,Case Gym,Boston,MA,1800.0,True,0.0,0:00,3,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,104,s:40~l:41~t:104,Boston University,Terriers,BU,Boston University Terriers,Boston U,cc0000,ffffff,True,1999,https://a.espncdn.com/i/teamlogos/ncaa/500/104.png,1,111,s:40~l:41~t:111,Northeastern,Huskies,NE,Northeastern Huskies,Northeastern,CC0001,True,1219,https://a.espncdn.com/i/teamlogos/ncaa/500/111.png,10,c2c3c0,2012,OT,,,,,
0,313152514,s:40~l:41~e:313152514~c:313152514,2011-11-11T22:30Z,0,True,True,False,False,"[{'type': 'event', 'headline': 'CONNECTICUT 6 CLASSIC AT UNCASVILLE CT'}]",2011-11-11T22:30Z,0,N/A,2160,Mohegan Sun Arena,Uncasville,CT,10000.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2514,s:40~l:41~t:2514,Quinnipiac,Bobcats,QUIN,Quinnipiac Bobcats,Quinnipiac,041B43,,True,1907,https://a.espncdn.com/i/teamlogos/ncaa/500/2514.png,19,2217,s:40~l:41~t:2217,Fairfield,Stags,FAIR,Fairfield Stags,Fairfield,000000,True,2148,https://a.espncdn.com/i/teamlogos/ncaa/500/2217.png,13,ebebeb,2012,,,,,,
0,313152506,s:40~l:41~e:313152506~c:313152506,2011-11-11T23:00Z,488,True,False,True,False,[],2011-11-11T23:00Z,0,N/A,2046,Ross E. Templeton P.E. Center,Clinton,SC,2300.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2506,s:40~l:41~t:2506,Presbyterian,Blue Hose,PRES,Presbyterian Blue Hose,Presbyterian,194896,990134,True,2046,https://a.espncdn.com/i/teamlogos/ncaa/500/2506.png,6,2410,s:40~l:41~t:2410,Montreat College,Cavaliers,MON,Montreat College Cavaliers,Montreat ,000000,False,,https://a.espncdn.com/i/teamlogos/ncaa/500/2410.png,,,2012,,,,,,
0,313153084,s:40~l:41~e:313153084~c:313153084,2011-11-11T23:30Z,1014,True,False,True,False,[],2011-11-11T23:30Z,0,N/A,2091,UCCU Center,Orem,UT,8500.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,3084,s:40~l:41~t:3084,Utah Valley,Wolverines,UVU,Utah Valley Wolverines,Utah Valley,004812,e1c736,True,2091,https://a.espncdn.com/i/teamlogos/ncaa/500/3084.png,30,612,s:40~l:41~t:612,Simpson University,Red Hawks,SIM,Simpson University Red Hawks,Simpson,,False,,,,,2012,,,,,,
0,313152633,s:40~l:41~e:313152633~c:313152633,2011-11-12T00:00Z,17483,True,False,False,False,"[{'type': 'event', 'headline': 'EA SPORTS MAUI INVITATIONAL'}]",2011-11-12T00:00Z,0,N/A,2044,Thompson-Boling Arena,Knoxville,TN,21678.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2633,s:40~l:41~t:2633,Tennessee,Volunteers,TENN,Tennessee Volunteers,Tennessee,EE9627,ffffff,True,2044,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,23,2430,s:40~l:41~t:2430,UNC Greensboro,Spartans,UNCG,UNC Greensboro Spartans,UNC Greensboro,003559,True,349,https://a.espncdn.com/i/teamlogos/ncaa/500/2430.png,24,ffd90a,2012,,,,,,
0,313152579,s:40~l:41~e:313152579~c:313152579,2011-11-12T00:00Z,9316,True,False,False,False,[],2011-11-12T00:00Z,0,N/A,1962,Colonial Life Arena,Columbia,SC,18000.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2579,s:40~l:41~t:2579,South Carolina,Gamecocks,SC,South Carolina Gamecocks,South Carolina,670010,000000,True,1962,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,23,2717,s:40~l:41~t:2717,Western Carolina,Catamounts,WCU,Western Carolina Catamounts,W Carolina,492F91,True,245,https://a.espncdn.com/i/teamlogos/ncaa/500/2717.png,24,bf9e70,2012,,,,,,
