"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","home.conferenceId","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.venue.id","away.logo","away.conferenceId","season","status.type.altDetail","groups.id","groups.name","groups.shortName","groups.isConference","game_id","PBP"
233570006,"s:40~l:41~e:233570006~c:233570006","2003-12-24T01:05Z",2189,"True","False","False","False","[]","2003-12-24T01:05Z",0,"N/A",2193,"Mitchell Center","Mobile","AL",10041,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",6,"s:40~l:41~t:6","South Alabama","Jaguars","USA","South Alabama Jaguars","South Alabama","003E7E","","True",2193,"https://a.espncdn.com/i/teamlogos/ncaa/500/6.png",27,2296,"s:40~l:41~t:2296","Jackson State","Tigers","JKST","Jackson State Tigers","Jackson State","123297","b5b7ba","True",1945,"https://a.espncdn.com/i/teamlogos/ncaa/500/2296.png",26,2004,"",NA,"","","",233570006,TRUE
233570096,"s:40~l:41~e:233570096~c:233570096","2003-12-24T01:00Z",22023,"True","False","False","False","[]","2003-12-24T01:00Z",0,"N/A",251,"Rupp Arena","Lexington","KY",20500,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",96,"s:40~l:41~t:96","Kentucky","Wildcats","UK","Kentucky Wildcats","Kentucky","005DAA","ffffff","True",251,"https://a.espncdn.com/i/teamlogos/ncaa/500/96.png",23,2198,"s:40~l:41~t:2198","Eastern Kentucky","Colonels","EKU","Eastern Kentucky Colonels","E Kentucky","660819","f0f0f0","True",1915,"https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png",20,2004,"",NA,"","","",233570096,TRUE
233570120,"s:40~l:41~e:233570120~c:233570120","2003-12-24T01:00Z",17950,"True","False","False","False","[]","2003-12-24T01:00Z",0,"N/A",2133,"XFINITY Center","College Park","MD",17950,"True",1,"0:01",2,3,"STATUS_FINAL","post","True","Final","Final","Final",120,"s:40~l:41~t:120","Maryland","Terrapins","MD","Maryland Terrapins","Maryland","D5002B","ffcd00","True",2133,"https://a.espncdn.com/i/teamlogos/ncaa/500/120.png",2,2430,"s:40~l:41~t:2430","UNC Greensboro","Spartans","UNCG","UNC Greensboro Spartans","UNC Greensboro","003559","ffd90a","True",349,"https://a.espncdn.com/i/teamlogos/ncaa/500/2430.png",24,2004,"",NA,"","","",233570120,TRUE
233572393,"s:40~l:41~e:233572393~c:233572393","2003-12-24T01:00Z",2238,"True","False","False","False","[]","2003-12-24T01:00Z",0,"N/A",1897,"Murphy Athletic Center","Murfreesboro","TN",11520,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2393,"s:40~l:41~t:2393","Middle Tennessee","Blue Raiders","MTU","Middle Tennessee Blue Raiders","Middle Tenn","0079C2","c3c5c8","True",1897,"https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png",27,2046,"s:40~l:41~t:2046","Austin Peay","Governors","APSU","Austin Peay Governors","Austin Peay","8e0b0b","","True",5428,"https://a.espncdn.com/i/teamlogos/ncaa/500/2046.png",20,2004,"",NA,"","","",233572393,TRUE
233570357,"s:40~l:41~e:233570357~c:233570357","2003-12-24T01:00Z",1274,"True","False","False","False","[]","2003-12-24T01:00Z",0,"N/A",NA,"","","",NA,"",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",357,"s:40~l:41~t:357","Texas A&M-CC","Islanders","AMCC","Texas A&M-CC Islanders","Texas A&M-CC","00639c","008752","True",2211,"https://a.espncdn.com/i/teamlogos/ncaa/500/357.png",43,2504,"s:40~l:41~t:2504","Prairie View A&M","Panthers","PV","Prairie View A&M Panthers","Prairie View","4d0960","","True",2027,"https://a.espncdn.com/i/teamlogos/ncaa/500/2504.png",26,2004,"",NA,"","","",233570357,TRUE
233570270,"s:40~l:41~e:233570270~c:233570270","2003-12-24T01:00Z",4089,"True","False","True","False","[{'type': 'event', 'headline': 'AT U.S. CELLULAR'}]","2003-12-24T01:00Z",0,"N/A",415,"Klotsche Center","Milwaukee","WI",3500,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",270,"s:40~l:41~t:270","Milwaukee","Panthers","MILW","Milwaukee Panthers","Milwaukee","000000","ffc20e","True",1983,"https://a.espncdn.com/i/teamlogos/ncaa/500/270.png",45,82,"s:40~l:41~t:82","UIC","Flames","UIC","UIC Flames","UIC","234077","c30031","True",1895,"https://a.espncdn.com/i/teamlogos/ncaa/500/82.png",45,2004,"",45,"Horizon League","Horizon","True",233570270,TRUE
233570194,"s:40~l:41~e:233570194~c:233570194","2003-12-24T01:00Z",13180,"True","False","False","False","[]","2003-12-24T01:00Z",0,"N/A",317,"Value City Arena","Columbus","OH",19500,"True",20,"0:20",2,3,"STATUS_FINAL","post","True","Final","Final","Final",194,"s:40~l:41~t:194","Ohio State","Buckeyes","OSU","Ohio State Buckeyes","Ohio State","de3129","666666","True",317,"https://a.espncdn.com/i/teamlogos/ncaa/500/194.png",7,2197,"s:40~l:41~t:2197","Eastern Illinois","Panthers","EIU","Eastern Illinois Panthers","E Illinois","000000","bebab9","True",2138,"https://a.espncdn.com/i/teamlogos/ncaa/500/2197.png",20,2004,"",NA,"","","",233570194,TRUE
233570099,"s:40~l:41~e:233570099~c:233570099","2003-12-24T01:00Z",10014,"True","False","False","False","[]","2003-12-24T01:00Z",0,"N/A",557,"Pete Maravich Assembly Center","Baton Rouge","LA",13215,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",99,"s:40~l:41~t:99","LSU","Tigers","LSU","LSU Tigers","LSU","2B0D57","fdd023","True",557,"https://a.espncdn.com/i/teamlogos/ncaa/500/99.png",23,2655,"s:40~l:41~t:2655","Tulane","Green Wave","TULN","Tulane Green Wave","Tulane","005837","3baf29","True",2048,"https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png",11,2004,"",NA,"","","",233570099,TRUE
233570084,"s:40~l:41~e:233570084~c:233570084","2003-12-24T01:00Z",12185,"True","False","False","False","[]","2003-12-24T01:00Z",0,"N/A",2092,"Simon Skjodt Assembly Hall","Bloomington","IN",17222,"True",7,"0:07",2,3,"STATUS_FINAL","post","True","Final","Final","Final",84,"s:40~l:41~t:84","Indiana","Hoosiers","IU","Indiana Hoosiers","Indiana","7D110C","eeedeb","True",2092,"https://a.espncdn.com/i/teamlogos/ncaa/500/84.png",7,2413,"s:40~l:41~t:2413","Morehead State","Eagles","MORE","Morehead State Eagles","Morehead State","094FA3","fed91a","True",2174,"https://a.espncdn.com/i/teamlogos/ncaa/500/2413.png",20,2004,"",NA,"","","",233570084,TRUE
233570066,"s:40~l:41~e:233570066~c:233570066","2003-12-24T01:00Z",12633,"True","False","False","False","[]","2003-12-24T01:00Z",0,"N/A",432,"James H. Hilton Coliseum","Ames","IA",14356,"True",12,"0:12",2,3,"STATUS_FINAL","post","True","Final","Final","Final",66,"s:40~l:41~t:66","Iowa State","Cyclones","ISU","Iowa State Cyclones","Iowa State","660015","830b2c","True",432,"https://a.espncdn.com/i/teamlogos/ncaa/500/66.png",8,2752,"s:40~l:41~t:2752","Xavier","Musketeers","XAV","Xavier Musketeers","Xavier","002144","9ea2a2","True",1973,"https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png",3,2004,"",NA,"","","",233570066,TRUE
