TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
1631165,1631165,Keon,Ellis,Keon Ellis,SG,28,35.5,10.87,3.02,3.18,NA
1630701,1630701,Michael,Foster Jr.,Michael Foster Jr.,C,28,32.5,11.49,3.1,3.22,NA
1631221,1631221,Collin,Gillespie,Collin Gillespie,PG,26.5,33,10.95,3.01,3.21,NA
1631100,1631100,AJ,Griffin,AJ Griffin,SF,NA,NA,NA,NA,NA,NA
1630702,1630702,Jaden,Hardy,Jaden Hardy,SG,NA,NA,NA,NA,NA,NA
1631199,1631199,Ron,Harper Jr.,Ron Harper Jr.,SF,26,30.5,11.41,3.24,3.4,NA
1631096,1631096,Chet,Holmgren,Chet Holmgren,PF,NA,NA,NA,NA,NA,NA
1631127,1631127,Harrison,Ingram,Harrison Ingram,SF,29.5,35,11.83,3.26,3.31,NA
1631093,1631093,Jaden,Ivey,Jaden Ivey,PG,NA,NA,NA,NA,NA,NA
1631218,1631218,Trayce,Jackson-Davis,Trayce Jackson-Davis,C,NA,NA,NA,NA,NA,NA
1631107,1631107,Nikola,Jovic,Nikola Jovic,SF,NA,NA,NA,NA,NA,NA
1630548,1630548,Johnny,Juzang,Johnny Juzang,SG,27.5,32.5,11.03,3.17,3.29,NA
1631130,1631130,Ismael,Kamagate,Ismael Kamagate,PF,NA,NA,NA,NA,NA,NA
1631211,1631211,Trevor,Keels,Trevor Keels,SG,24.5,31,11.33,3.32,3.27,NA
1631117,1631117,Walker,Kessler,Walker Kessler,C,NA,NA,NA,NA,NA,NA
1631132,1631132,Christian,Koloko,Christian Koloko,C,28,33.5,11.3,3.19,3.27,NA
1631222,1631222,Jake,LaRavia,Jake LaRavia,PF,27.5,34,10.58,2.89,3.37,NA
1631171,1631171,Justin,Lewis,Justin Lewis,PF,32.5,35,11.49,3.02,3.23,NA
1630604,1630604,E.J.,Liddell,E.J. Liddell,PF,35.5,38,11.11,3.23,3.26,NA
1631254,1631254,Kenneth,Lofton Jr.,Kenneth Lofton Jr.,PF-C,NA,NA,NA,NA,NA,NA
1631213,1631213,Tyrese,Martin,Tyrese Martin,SG-SF,NA,NA,NA,NA,NA,NA
1631097,1631097,Bennedict,Mathurin,Bennedict Mathurin,SG,NA,NA,NA,NA,NA,NA
1630571,1630571,Matthew,Mayer,Matthew Mayer,SF,25.5,31.5,10.74,NA,3.39,NA
1631121,1631121,Bryce,McGowens,Bryce McGowens,SG,29.5,34,11.12,3.16,3.27,NA
1631159,1631159,Leonard,Miller,Leonard Miller,SF,30,36.5,11.11,3.02,3.36,NA
1631125,1631125,Josh,Minnott,Josh Minnott,PF,NA,NA,NA,NA,NA,NA
1631198,1631198,Aminu,Mohammed,Aminu Mohammed,SG-SF,29.5,36,11.54,3.04,3.33,NA
1631129,1631129,Iverson,Molinar,Iverson Molinar,PG,31,38,11.23,3.1,3.19,NA
1631168,1631168,Jean,Montero,Jean Montero,PG,29.5,37,11.19,3.17,3.17,NA
1631111,1631111,Wendell,Moore,Wendell Moore,SG,32.5,38.5,10.94,3.21,3.3,NA
1631099,1631099,Keegan,Murray,Keegan Murray,PF,NA,NA,NA,NA,NA,NA
1629614,1629614,Andrew,Nembhard,Andrew Nembhard,PG,26.5,35,10.46,3.02,3.26,NA
1630590,1630590,Scotty,Pippen Jr.,Scotty Pippen Jr.,PG,30.5,37.5,11.07,3.1,3.21,NA
1630629,1630629,Gabriele,Procida,Gabriele Procida,SG-SF,29.5,35,11.02,3.14,3.07,NA
1631197,1631197,Jared,Rhoden,Jared Rhoden,SG-SF,NA,NA,NA,NA,NA,NA
1631115,1631115,Orlando,Robinson,Orlando Robinson,C,23,27.5,11.4,3.23,3.55,NA
1631223,1631223,David,Roddy,David Roddy,PF,27,35.5,10.75,3.1,3.22,NA
1631157,1631157,Ryan,Rollins,Ryan Rollins,SG,30.5,36.5,11.26,3.28,3.07,NA
1631204,1631204,Marcus,Sasser,Marcus Sasser,PG,NA,NA,NA,NA,NA,NA
1631220,1631220,Dereon,Seabron,Dereon Seabron,SG,30.5,38,11.03,3.04,3.12,NA
1631101,1631101,Shaedon,Sharpe,Shaedon Sharpe,SG,NA,NA,NA,NA,NA,NA
1631173,1631173,Terquavion,Smith,Terquavion Smith,SG,30.5,38.5,10.63,3.03,3.14,NA
1631095,1631095,Jabari,Smith,Jabari Smith,PF,NA,NA,NA,NA,NA,NA
1631110,1631110,Jeremy,Sochan,Jeremy Sochan,PF,NA,NA,NA,NA,NA,NA
1631164,1631164,Matteo,Spagnolo,Matteo Spagnolo,PG,25.5,31.5,11.42,3.16,3.4,NA
1631124,1631124,Julian,Strawther,Julian Strawther,SF,28.5,35,10.3,3.37,3.26,NA
