,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,season,series.type,series.title,series.summary,series.completed,series.totalCompetitions,series.competitors,status.type.altDetail
0,400830080,s:40~l:46~e:400830080~c:400830080,2015-10-03T02:30Z,14245,True,False,False,False,[],2015-10-03T02:30Z,1,STD,1841,STAPLES Center,Los Angeles,CA,19068,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,12,s:40~l:46~t:12,LA,Clippers,LAC,LA Clippers,Clippers,FA0028,f1f2f3,True,1841,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png,7,s:40~l:46~t:7,Denver,Nuggets,DEN,Denver Nuggets,Nuggets,0860A8,fdb927,True,892,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,2016,,,,,,,
0,400830123,s:40~l:46~e:400830123~c:400830123,2015-10-03T23:00Z,14942,True,False,False,False,[],2015-10-03T23:00Z,1,STD,3432,Amway Center,Orlando,FL,18500,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,c4ced3,True,3432,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,30,s:40~l:46~t:30,Charlotte,Hornets,CHA,Charlotte Hornets,Hornets,1D1060,008ca8,True,1893,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png,2016,,,,,,,
0,400830230,s:40~l:46~e:400830230~c:400830230,2015-10-03T23:00Z,13725,True,False,False,False,[],2015-10-03T23:00Z,1,STD,2183,Bankers Life Fieldhouse,Indianapolis,IN,17923,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,11,s:40~l:46~t:11,Indiana,Pacers,IND,Indiana Pacers,Pacers,061642,00275d,True,2183,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,3,s:40~l:46~t:3,New Orleans,Pelicans,NO,New Orleans Pelicans,Pelicans,0093B1,b4975a,True,985,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png,2016,,,,,,,
0,400830073,s:40~l:46~e:400830073~c:400830073,2015-10-04T22:00Z,19600,True,False,False,False,[],2015-10-04T22:00Z,1,STD,3438,AmericanAirlines Arena,Miami,FL,19600,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,True,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,30,s:40~l:46~t:30,Charlotte,Hornets,CHA,Charlotte Hornets,Hornets,1D1060,008ca8,True,1893,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png,2016,playoff,Playoff Series,MIA Wins series 4-3,True,7.0,"[{'id': '14', 'uid': 's:40~l:46~t:14', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2016/teams/14?lang=en&region=us'}, {'id': '30', 'uid': 's:40~l:46~t:30', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2016/teams/30?lang=en&region=us'}]",
0,400830081,s:40~l:46~e:400830081~c:400830081,2015-10-04T23:00Z,19000,True,True,False,False,[],2015-10-04T23:00Z,1,STD,1833,Rogers Arena,Vancouver,BC,0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,28,s:40~l:46~t:28,Toronto,Raptors,TOR,Toronto Raptors,Raptors,CE0F41,061922,True,1838,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,12,s:40~l:46~t:12,LA,Clippers,LAC,LA Clippers,Clippers,FA0028,f1f2f3,True,1841,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png,2016,,,,,,,
0,400830086,s:40~l:46~e:400830086~c:400830086,2015-10-05T01:00Z,10300,True,True,False,False,[],2015-10-05T01:00Z,1,STD,540,Stan Sheriff Center,Honolulu,HI,10300,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,True,1841,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,26,s:40~l:46~t:26,Utah,Jazz,UTAH,Utah Jazz,Jazz,06143F,f9a01b,True,3093,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png,2016,,,,,,,
0,400830232,s:40~l:46~e:400830232~c:400830232,2015-10-05T23:30Z,6857,True,False,False,False,[],2015-10-05T23:30Z,1,STD,3559,Barclays Center,Brooklyn,NY,17732,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,17,s:40~l:46~t:17,Brooklyn,Nets,BKN,Brooklyn Nets,Nets,06143F,ffffff,True,1826,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bkn.png,105236,s:40~l:46~t:105236,Fenerbahce Ulker,Fenerbahce Ulker,FUL,Fenerbahce Ulker,Fenerbahce Ulker,,,False,,,2016,,,,,,,
0,400830094,s:40~l:46~e:400830094~c:400830094,2015-10-06T02:00Z,14976,True,False,False,False,[],2015-10-06T02:00Z,1,STD,3423,Moda Center,Portland,OR,19441,False,0.0,0.0,5,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,22,s:40~l:46~t:22,Portland,Trail Blazers,POR,Portland Trail Blazers,Trail Blazers,000000,bac3c9,True,3423,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png,23,s:40~l:46~t:23,Sacramento,Kings,SAC,Sacramento Kings,Kings,393996,8e9090,True,2247,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png,2016,,,,,,,OT
0,400830228,s:40~l:46~e:400830228~c:400830228,2015-10-06T02:30Z,18223,True,True,False,False,[],2015-10-06T02:30Z,1,STD,1653,SAP Center at San Jose,San Jose,CA,0,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,00275D,fdb927,True,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,28,s:40~l:46~t:28,Toronto,Raptors,TOR,Toronto Raptors,Raptors,CE0F41,061922,True,1838,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,2016,,,,,,,
0,400832210,s:40~l:46~e:400832210~c:400832210,2015-10-06T18:30Z,11388,True,False,False,False,[],2015-10-06T18:30Z,1,STD,4007,Mediolanum Forum,Milan,,0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,109596,s:40~l:46~t:109596,Milan,Olimpia,OLI,Milan Olimpia,Olimpia,,,False,,,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,True,1824,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,2016,,,,,,,
0,400830052,s:40~l:46~e:400830052~c:400830052,2015-10-06T23:00Z,11670,True,False,False,False,[],2015-10-06T23:00Z,1,STD,1823,Capital One Arena,Washington,DC,20600,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,27,s:40~l:46~t:27,Washington,Wizards,WSH,Washington Wizards,Wizards,0E3764,e31837,True,1823,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png,20,s:40~l:46~t:20,Philadelphia,76ers,PHI,Philadelphia 76ers,76ers,000000,f1f2f3,True,1845,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png,2016,,,,,,,
0,400833044,s:40~l:46~e:400833044~c:400833044,2015-10-06T23:30Z,10446,True,False,False,False,[],2015-10-06T23:30Z,1,STD,3419,The Palace of Auburn Hills,Detroit,MI,22076,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,True,3419,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,11,s:40~l:46~t:11,Indiana,Pacers,IND,Indiana Pacers,Pacers,061642,00275d,True,2183,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,2016,,,,,,,
0,400830058,s:40~l:46~e:400830058~c:400830058,2015-10-07T00:00Z,21199,True,False,False,False,[],2015-10-07T00:00Z,1,STD,1847,United Center,Chicago,IL,20917,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,s:40~l:46~t:4,Chicago,Bulls,CHI,Chicago Bulls,Bulls,000000,000000,True,1847,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png,15,s:40~l:46~t:15,Milwaukee,Bucks,MIL,Milwaukee Bucks,Bucks,003813,f0ebd2,True,2099,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,2016,,,,,,,
0,400830099,s:40~l:46~e:400830099~c:400830099,2015-10-07T00:00Z,12826,True,False,False,False,[],2015-10-07T00:00Z,1,STD,1392,FedExForum,Memphis,TN,18400,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,29,s:40~l:46~t:29,Memphis,Grizzlies,MEM,Memphis Grizzlies,Grizzlies,5D76A8,7399c6,True,1392,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png,10,s:40~l:46~t:10,Houston,Rockets,HOU,Houston Rockets,Rockets,D40026,c4ced3,True,1394,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png,2016,,,,,,,
