"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.logo","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.logo","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","series.type","series.title","series.summary","series.completed","series.totalCompetitions","series.competitors","season","status.type.altDetail","game_id","PBP","team_box","player_box"
211230023,"s:40~l:46~e:211230023~c:211230023","2001-12-30T23:00Z",17317,"True","False","False","False","[]","2001-12-30T23:00Z",1,"STD",0,"0.0",3,3,"STATUS_FINAL","post","True","Final","Final","Final",23,"s:40~l:46~t:23","Sacramento","Kings","SAC","Sacramento Kings","Kings","393996","8e9090","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png",2,"s:40~l:46~t:2","Boston","Celtics","BOS","Boston Celtics","Celtics","006532","f1f2f3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png",2247,"Sleep Train Arena","Sacramento","CA",17317,"False","","","","",NA,"",2002,"",211230023,TRUE,TRUE,TRUE
211230029,"s:40~l:46~e:211230029~c:211230029","2001-12-30T23:00Z",17358,"True","False","False","False","[]","2001-12-30T23:00Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",29,"s:40~l:46~t:29","Memphis","Grizzlies","MEM","Memphis Grizzlies","Grizzlies","5D76A8","7399c6","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png",24,"s:40~l:46~t:24","San Antonio","Spurs","SA","San Antonio Spurs","Spurs","000000","061922","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png",NA,"","","",NA,"","","","","",NA,"",2002,"",211230029,TRUE,TRUE,TRUE
211229004,"s:40~l:46~e:211229004~c:211229004","2001-12-30T00:30Z",16342,"True","False","False","False","[]","2001-12-30T00:30Z",1,"STD",196,"3:16",1,3,"STATUS_FINAL","post","True","Final","Final","Final",4,"s:40~l:46~t:4","Chicago","Bulls","CHI","Chicago Bulls","Bulls","000000","000000","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png",5,"s:40~l:46~t:5","Cleveland","Cavaliers","CLE","Cleveland Cavaliers","Cavaliers","061642","fdbb30","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png",1847,"United Center","Chicago","IL",20917,"False","","","","",NA,"",2002,"",211229004,TRUE,TRUE,TRUE
211229006,"s:40~l:46~e:211229006~c:211229006","2001-12-30T00:30Z",20032,"True","False","False","False","[]","2001-12-30T00:30Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",6,"s:40~l:46~t:6","Dallas","Mavericks","DAL","Dallas Mavericks","Mavericks","0C479D","c4ced3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png",1,"s:40~l:46~t:1","Atlanta","Hawks","ATL","Atlanta Hawks","Hawks","002B5C","002b5c","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png",516,"American Airlines Center","Dallas","TX",19200,"False","","","","",NA,"",2002,"",211229006,TRUE,TRUE,TRUE
211229015,"s:40~l:46~e:211229015~c:211229015","2001-12-30T00:30Z",18717,"True","False","False","False","[]","2001-12-30T00:30Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",15,"s:40~l:46~t:15","Milwaukee","Bucks","MIL","Milwaukee Bucks","Bucks","003813","f0ebd2","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png",24,"s:40~l:46~t:24","San Antonio","Spurs","SA","San Antonio Spurs","Spurs","000000","061922","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png",2099,"BMO Harris Bradley Center","Milwaukee","WI",18717,"False","","","","",NA,"",2002,"",211229015,TRUE,TRUE,TRUE
211229017,"s:40~l:46~e:211229017~c:211229017","2001-12-30T00:30Z",17023,"True","False","False","False","[]","2001-12-30T00:30Z",1,"STD",0,"0.0",5,3,"STATUS_FINAL","post","True","Final","Final/OT","Final/OT",17,"s:40~l:46~t:17","New Jersey","Nets","NJ","New Jersey Nets","Nets","06143F","ffffff","False","",11,"s:40~l:46~t:11","Indiana","Pacers","IND","Indiana Pacers","Pacers","061642","00275d","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png",2562,"IZOD Center","East Rutherford","NJ",19990,"False","playoff","Playoff Series","NJ leads series 3-2","False",7,"[{'id': '17', 'uid': 's:40~l:46~t:17', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2002/teams/17?lang=en&region=us'}, {'id': '11', 'uid': 's:40~l:46~t:11', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2002/teams/11?lang=en&region=us'}]",2002,"OT",211229017,TRUE,TRUE,TRUE
211229021,"s:40~l:46~e:211229021~c:211229021","2001-12-30T00:00Z",17976,"True","False","False","False","[]","2001-12-30T00:00Z",1,"STD",8,"8.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",21,"s:40~l:46~t:21","Phoenix","Suns","PHX","Phoenix Suns","Suns","23006A","f1f2f3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png",7,"s:40~l:46~t:7","Denver","Nuggets","DEN","Denver Nuggets","Nuggets","0860A8","fdb927","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png",1949,"Phoenix Suns Arena","Phoenix","AZ",18055,"True","","","","",NA,"",2002,"",211229021,TRUE,TRUE,TRUE
211229025,"s:40~l:46~e:211229025~c:211229025","2001-12-30T00:00Z",17072,"True","False","False","False","[]","2001-12-30T00:00Z",1,"STD",0,"0.0",3,3,"STATUS_FINAL","post","True","Final","Final","Final",25,"s:40~l:46~t:25","Seattle","SuperSonics","SEA","Seattle SuperSonics","SuperSonics","1C3F2C","f05133","False","",28,"s:40~l:46~t:28","Toronto","Raptors","TOR","Toronto Raptors","Raptors","CE0F41","061922","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png",2184,"KeyArena","Seattle","WA",17459,"True","","","","",NA,"",2002,"",211229025,TRUE,TRUE,TRUE
211229026,"s:40~l:46~e:211229026~c:211229026","2001-12-30T00:00Z",19911,"True","False","False","False","[]","2001-12-30T00:00Z",1,"STD",0,"0.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",26,"s:40~l:46~t:26","Utah","Jazz","UTAH","Utah Jazz","Jazz","06143F","f9a01b","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png",20,"s:40~l:46~t:20","Philadelphia","76ers","PHI","Philadelphia 76ers","76ers","000000","f1f2f3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png",3093,"Vivint Smart Home Arena","Salt Lake City","UT",18306,"True","","","","",NA,"",2002,"",211229026,TRUE,TRUE,TRUE
211229027,"s:40~l:46~e:211229027~c:211229027","2001-12-30T00:00Z",20674,"True","False","False","False","[]","2001-12-30T00:00Z",1,"STD",0,"0.0",1,3,"STATUS_FINAL","post","True","Final","Final","Final",27,"s:40~l:46~t:27","Washington","Wizards","WSH","Washington Wizards","Wizards","0E3764","e31837","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png",3,"s:40~l:46~t:3","Charlotte","Hornets","CHA","Charlotte Hornets","Hornets","0093B1","b4975a","False","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png",1823,"Capital One Arena","Washington","DC",20600,"True","","","","",NA,"",2002,"",211229027,TRUE,TRUE,TRUE
