,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.isActive,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.logo,home.color,home.alternateColor,home.logo,season,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,series.type,series.title,series.summary,series.completed,series.totalCompetitions,series.competitors,status.type.altDetail
0,271006128,s:40~l:46~e:271006128~c:271006128,2007-10-06T18:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'AT ISTANBUL TURKEY'}]",2007-10-06T18:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,128,s:40~l:46~t:128,Efes Pilsen,Efes,EFS,Efes Pilsen Efes,Efes,False,16,s:40~l:46~t:16,Minnesota,Timberwolves,MIN,Minnesota Timberwolves,Timberwolves,0E3764,c4ced3,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/min.png,,,,2008,,,,,,,,,,,,,
0,271006028,s:40~l:46~e:271006028~c:271006028,2007-10-07T00:30Z,11118,True,False,False,False,"[{'type': 'event', 'headline': 'AT ROME ITALY'}]",2007-10-07T00:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,True,28,s:40~l:46~t:28,Toronto,Raptors,TOR,Toronto Raptors,Raptors,CE0F41,061922,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,006532,f1f2f3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,2008,,,,,,,,,,,,,
0,271007129,s:40~l:46~e:271007129~c:271007129,2007-10-07T16:30Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'AT ROME ITALY'}]",2007-10-07T16:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,129,s:40~l:46~t:129,Lottomatica Roma,Roma,ROM,Lottomatica Roma Roma,Roma,False,28,s:40~l:46~t:28,Toronto,Raptors,TOR,Toronto Raptors,Raptors,CE0F41,061922,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,,,,2008,,,,,,,,,,,,,
0,271008019,s:40~l:46~e:271008019~c:271008019,2007-10-08T23:00Z,14922,True,False,False,False,[],2007-10-08T23:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,True,1,s:40~l:46~t:1,Atlanta,Hawks,ATL,Atlanta Hawks,Hawks,002B5C,002b5c,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png,0860A8,c4ced3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,2008,4042,Amway Arena,Orlando,FL,17461.0,False,,,,,,,
0,271008020,s:40~l:46~e:271008020~c:271008020,2007-10-08T23:00Z,5958,True,False,False,False,"[{'type': 'event', 'headline': 'AT COLUMBIA SC'}]",2007-10-08T23:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,20,s:40~l:46~t:20,Philadelphia,76ers,PHI,Philadelphia 76ers,76ers,True,18,s:40~l:46~t:18,New York,Knicks,NY,New York Knicks,Knicks,225EA8,f58426,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png,000000,f1f2f3,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png,2008,,,,,,,,,,,,,
0,271008008,s:40~l:46~e:271008008~c:271008008,2007-10-08T23:30Z,16205,True,False,False,False,[],2007-10-08T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,True,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,FA002C,006bb6,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,2008,3419,The Palace of Auburn Hills,Detroit,MI,22076.0,False,,,,,,,
0,271009130,s:40~l:46~e:271009130~c:271009130,2007-10-09T18:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'AT MALAGA SPAIN'}]",2007-10-09T18:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,130,s:40~l:46~t:130,Unicaja,Unicaja,UCJ,Unicaja,Unicaja,False,29,s:40~l:46~t:29,Memphis,Grizzlies,MEM,Memphis Grizzlies,Grizzlies,5D76A8,7399c6,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png,,,,2008,,,,,,,,,,,,,
0,271009003,s:40~l:46~e:271009003~c:271009003,2007-10-09T23:00Z,6324,True,False,False,False,"[{'type': 'event', 'headline': 'AT OKLAHOMA CITY OK'}]",2007-10-09T23:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,3,s:40~l:46~t:3,New Orleans,Hornets,NO,New Orleans Hornets,Hornets,False,10,s:40~l:46~t:10,Houston,Rockets,HOU,Houston Rockets,Rockets,D40026,c4ced3,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png,0093B1,b4975a,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png,2008,2559,Chesapeake Energy Arena,Oklahoma City,OK,18203.0,False,,,,,,,
0,271009005,s:40~l:46~e:271009005~c:271009005,2007-10-09T23:00Z,1,True,False,False,False,[],2007-10-09T23:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,True,27,s:40~l:46~t:27,Washington,Wizards,WSH,Washington Wizards,Wizards,0E3764,e31837,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png,061642,fdbb30,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,2008,3417,Rocket Mortgage FieldHouse,Cleveland,OH,19432.0,False,playoff,Playoff Series,CLE Wins series 4-2,True,7.0,"[{'id': '5', 'uid': 's:40~l:46~t:5', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/5?lang=en&region=us'}, {'id': '27', 'uid': 's:40~l:46~t:27', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/27?lang=en&region=us'}]",
0,271009007,s:40~l:46~e:271009007~c:271009007,2007-10-09T23:00Z,8932,True,False,False,False,[],2007-10-09T23:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,7,s:40~l:46~t:7,Denver,Nuggets,DEN,Denver Nuggets,Nuggets,True,12,s:40~l:46~t:12,LA,Clippers,LAC,LA Clippers,Clippers,FA0028,f1f2f3,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png,0860A8,fdb927,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,2008,892,Ball Arena,Denver,CO,19520.0,True,,,,,,,
