,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.isActive,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,season,venue.address.state,home.color,home.alternateColor,home.venue.id,home.logo,series.type,series.title,series.summary,series.completed,series.totalCompetitions,series.competitors,status.type.altDetail
0,400400471,s:40~l:46~e:400400471~c:400400471,2012-10-08T23:00Z,10359,True,False,False,False,[],2012-10-08T23:00Z,1,STD,1838,Scotiabank Arena,Toronto,19800,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,28,s:40~l:46~t:28,Toronto,Raptors,TOR,Toronto Raptors,Raptors,True,132,s:40~l:46~t:132,Real,Madrid,MDD,Real Madrid,Madrid,,,False,,,2013,ON,CE0F41,061922,1838,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,,,,,,,
0,400400472,s:40~l:46~e:400400472~c:400400472,2012-10-08T23:00Z,12468,True,False,False,False,[],2012-10-08T23:00Z,1,STD,3417,Rocket Mortgage FieldHouse,Cleveland,19432,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,True,147,s:40~l:46~t:147,Mon.,Siena,MPS,Mon. Siena,Siena,,,False,,,2013,OH,061642,fdbb30,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,,,,,,,
0,400400473,s:40~l:46~e:400400473~c:400400473,2012-10-09T02:30Z,14571,True,False,False,False,[],2012-10-09T02:30Z,1,STD,2465,ORACLE Arena,Oakland,19596,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,True,26,s:40~l:46~t:26,Utah,Jazz,UTAH,Utah Jazz,Jazz,06143F,f9a01b,True,3093,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png,2013,CA,00275D,fdb927,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,,,,,,,
0,400400474,s:40~l:46~e:400400474~c:400400474,2012-10-09T19:00Z,16236,True,True,False,False,[],2012-10-09T19:00Z,1,STD,4009,Palau Sant Jordi,Barcelona,0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,138,s:40~l:46~t:138,FC,Barcelona,FCB,FC Barcelona,Barcelona,False,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,True,516,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,2013,,,,,,,,,,,,
0,400400475,s:40~l:46~e:400400475~c:400400475,2012-10-09T23:00Z,3942,True,True,False,False,[],2012-10-09T23:00Z,1,STD,2655,Canton Civic Center,Canton,0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,True,15,s:40~l:46~t:15,Milwaukee,Bucks,MIL,Milwaukee Bucks,Bucks,003813,f0ebd2,True,2099,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,2013,OH,061642,fdbb30,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,,,,,,,
0,400400476,s:40~l:46~e:400400476~c:400400476,2012-10-10T00:00Z,21003,True,False,False,False,[],2012-10-10T00:00Z,1,STD,1847,United Center,Chicago,20917,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,s:40~l:46~t:4,Chicago,Bulls,CHI,Chicago Bulls,Bulls,True,29,s:40~l:46~t:29,Memphis,Grizzlies,MEM,Memphis Grizzlies,Grizzlies,5D76A8,7399c6,True,1392,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png,2013,IL,000000,000000,1847,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png,,,,,,,
0,400400477,s:40~l:46~e:400400477~c:400400477,2012-10-10T00:00Z,9264,True,False,False,False,[],2012-10-10T00:00Z,1,STD,985,Smoothie King Center,New Orleans,16867,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,3,s:40~l:46~t:3,New Orleans,Hornets,NO,New Orleans Hornets,Hornets,False,30,s:40~l:46~t:30,Charlotte,Bobcats,CHA,Charlotte Bobcats,Bobcats,FE3310,008ca8,False,1893,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png,2013,LA,0093B1,b4975a,985,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png,,,,,,,
0,400400478,s:40~l:46~e:400400478~c:400400478,2012-10-10T23:30Z,9532,True,False,False,False,[],2012-10-10T23:30Z,1,STD,3419,The Palace of Auburn Hills,Detroit,22076,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,True,28,s:40~l:46~t:28,Toronto,Raptors,TOR,Toronto Raptors,Raptors,CE0F41,061922,True,1838,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,2013,MI,FA002C,006bb6,3419,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,,,,,,,
0,400400479,s:40~l:46~e:400400479~c:400400479,2012-10-11T00:00Z,5198,True,False,False,False,[],2012-10-11T00:00Z,1,STD,1394,Toyota Center (Houston),Houston,18055,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,10,s:40~l:46~t:10,Houston,Rockets,HOU,Houston Rockets,Rockets,True,25,s:40~l:46~t:25,Oklahoma City,Thunder,OKC,Oklahoma City Thunder,Thunder,C67C03,f05133,True,2559,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/okc.png,2013,TX,D40026,c4ced3,1394,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png,playoff,Playoff Series,OKC Wins series 4-2,True,7.0,"[{'id': '10', 'uid': 's:40~l:46~t:10', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2013/teams/10?lang=en&region=us'}, {'id': '25', 'uid': 's:40~l:46~t:25', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2013/teams/25?lang=en&region=us'}]",
0,400400480,s:40~l:46~e:400400480~c:400400480,2012-10-11T00:00Z,9163,True,True,False,False,[],2012-10-11T00:00Z,1,STD,3714,FARGODOME,Fargo,0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,16,s:40~l:46~t:16,Minnesota,Timberwolves,MIN,Minnesota Timberwolves,Timberwolves,True,11,s:40~l:46~t:11,Indiana,Pacers,IND,Indiana Pacers,Pacers,061642,00275d,True,2183,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,2013,ND,0E3764,c4ced3,2029,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/min.png,,,,,,,
