"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.isActive","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.logo","home.color","home.alternateColor","home.logo","season","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","series.type","series.title","series.summary","series.completed","series.totalCompetitions","series.competitors","status.type.altDetail","game_id","PBP","team_box","player_box"
280526008,"s:40~l:46~e:280526008~c:280526008","2008-05-27T00:30Z",22076,"True","False","False","False","[{'type': 'event', 'headline': 'EASTERN CONFERENCE FINALS - GAME 4'}]","2008-05-27T00:30Z",16,"SEMI",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",8,"s:40~l:46~t:8","Detroit","Pistons","DET","Detroit Pistons","Pistons","True",2,"s:40~l:46~t:2","Boston","Celtics","BOS","Boston Celtics","Celtics","006532","f1f2f3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png","FA002C","006bb6","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png",2008,3419,"The Palace of Auburn Hills","Detroit","MI",22076,"False","playoff","Playoff Series","Series tied 2-2","False",7,"[{'id': '8', 'uid': 's:40~l:46~t:8', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/8?lang=en&region=us'}, {'id': '2', 'uid': 's:40~l:46~t:2', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/2?lang=en&region=us'}]","",280526008,TRUE,TRUE,TRUE
280525024,"s:40~l:46~e:280525024~c:280525024","2008-05-25T23:30Z",18797,"True","False","False","False","[{'type': 'event', 'headline': 'WESTERN CONFERENCE FINALS - GAME 3'}]","2008-05-25T23:30Z",16,"SEMI",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",24,"s:40~l:46~t:24","San Antonio","Spurs","SA","San Antonio Spurs","Spurs","True",13,"s:40~l:46~t:13","Los Angeles","Lakers","LAL","Los Angeles Lakers","Lakers","542582","552582","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png","000000","061922","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png",2008,780,"AT&T Center","San Antonio","TX",18354,"False","playoff","Playoff Series","LAL lead 2-1","False",7,"[{'id': '24', 'uid': 's:40~l:46~t:24', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/24?lang=en&region=us'}, {'id': '13', 'uid': 's:40~l:46~t:13', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/13?lang=en&region=us'}]","",280525024,TRUE,TRUE,TRUE
280524008,"s:40~l:46~e:280524008~c:280524008","2008-05-25T00:30Z",22076,"True","False","False","False","[{'type': 'event', 'headline': 'EASTERN CONFERENCE FINALS - GAME 3'}]","2008-05-25T00:30Z",16,"SEMI",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",8,"s:40~l:46~t:8","Detroit","Pistons","DET","Detroit Pistons","Pistons","True",2,"s:40~l:46~t:2","Boston","Celtics","BOS","Boston Celtics","Celtics","006532","f1f2f3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png","FA002C","006bb6","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png",2008,3419,"The Palace of Auburn Hills","Detroit","MI",22076,"False","playoff","Playoff Series","BOS leads series 2-1","False",7,"[{'id': '8', 'uid': 's:40~l:46~t:8', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/8?lang=en&region=us'}, {'id': '2', 'uid': 's:40~l:46~t:2', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/2?lang=en&region=us'}]","",280524008,TRUE,TRUE,TRUE
280523013,"s:40~l:46~e:280523013~c:280523013","2008-05-23T22:00Z",18997,"True","False","False","False","[{'type': 'event', 'headline': 'WESTERN CONFERENCE FINALS - GAME 2'}]","2008-05-23T22:00Z",16,"SEMI",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",13,"s:40~l:46~t:13","Los Angeles","Lakers","LAL","Los Angeles Lakers","Lakers","True",24,"s:40~l:46~t:24","San Antonio","Spurs","SA","San Antonio Spurs","Spurs","000000","061922","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png","542582","552582","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png",2008,1841,"STAPLES Center","Los Angeles","CA",19068,"True","playoff","Playoff Series","LAL lead 2-0","False",7,"[{'id': '13', 'uid': 's:40~l:46~t:13', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/13?lang=en&region=us'}, {'id': '24', 'uid': 's:40~l:46~t:24', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/24?lang=en&region=us'}]","",280523013,TRUE,TRUE,TRUE
280522002,"s:40~l:46~e:280522002~c:280522002","2008-05-23T00:30Z",18624,"True","False","False","False","[{'type': 'event', 'headline': 'EASTERN CONFERENCE FINALS - GAME 2'}]","2008-05-23T00:30Z",16,"SEMI",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",2,"s:40~l:46~t:2","Boston","Celtics","BOS","Boston Celtics","Celtics","True",8,"s:40~l:46~t:8","Detroit","Pistons","DET","Detroit Pistons","Pistons","FA002C","006bb6","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png","006532","f1f2f3","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png",2008,1824,"TD Garden","Boston","MA",18624,"False","playoff","Playoff Series","Series tied 1-1","False",7,"[{'id': '2', 'uid': 's:40~l:46~t:2', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/2?lang=en&region=us'}, {'id': '8', 'uid': 's:40~l:46~t:8', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/8?lang=en&region=us'}]","",280522002,TRUE,TRUE,TRUE
280521013,"s:40~l:46~e:280521013~c:280521013","2008-05-21T22:00Z",18997,"True","False","False","False","[{'type': 'event', 'headline': 'WESTERN CONFERENCE FINALS - GAME 1'}]","2008-05-21T22:00Z",16,"SEMI",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",13,"s:40~l:46~t:13","Los Angeles","Lakers","LAL","Los Angeles Lakers","Lakers","True",24,"s:40~l:46~t:24","San Antonio","Spurs","SA","San Antonio Spurs","Spurs","000000","061922","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png","542582","552582","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png",2008,1841,"STAPLES Center","Los Angeles","CA",19068,"True","playoff","Playoff Series","LAL lead 1-0","False",7,"[{'id': '13', 'uid': 's:40~l:46~t:13', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/13?lang=en&region=us'}, {'id': '24', 'uid': 's:40~l:46~t:24', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/24?lang=en&region=us'}]","",280521013,TRUE,TRUE,TRUE
280520002,"s:40~l:46~e:280520002~c:280520002","2008-05-21T00:30Z",18624,"True","False","False","False","[{'type': 'event', 'headline': 'EASTERN CONFERENCE FINALS - GAME 1'}]","2008-05-21T00:30Z",16,"SEMI",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",2,"s:40~l:46~t:2","Boston","Celtics","BOS","Boston Celtics","Celtics","True",8,"s:40~l:46~t:8","Detroit","Pistons","DET","Detroit Pistons","Pistons","FA002C","006bb6","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png","006532","f1f2f3","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png",2008,1824,"TD Garden","Boston","MA",18624,"False","playoff","Playoff Series","BOS leads series 1-0","False",7,"[{'id': '2', 'uid': 's:40~l:46~t:2', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/2?lang=en&region=us'}, {'id': '8', 'uid': 's:40~l:46~t:8', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/8?lang=en&region=us'}]","",280520002,TRUE,TRUE,TRUE
280519003,"s:40~l:46~e:280519003~c:280519003","2008-05-19T23:30Z",18235,"True","False","False","False","[{'type': 'event', 'headline': 'WESTERN CONFERENCE SEMIFINALS - GAME 7'}]","2008-05-19T23:30Z",15,"QTR",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",3,"s:40~l:46~t:3","New Orleans","Hornets","NO","New Orleans Hornets","Hornets","False",24,"s:40~l:46~t:24","San Antonio","Spurs","SA","San Antonio Spurs","Spurs","000000","061922","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png","0093B1","b4975a","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png",2008,985,"Smoothie King Center","New Orleans","LA",16867,"True","playoff","Playoff Series","SA Wins series 4-3","True",7,"[{'id': '3', 'uid': 's:40~l:46~t:3', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/3?lang=en&region=us'}, {'id': '24', 'uid': 's:40~l:46~t:24', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/24?lang=en&region=us'}]","",280519003,TRUE,TRUE,TRUE
280518002,"s:40~l:46~e:280518002~c:280518002","2008-05-18T19:30Z",18624,"True","False","False","False","[{'type': 'event', 'headline': 'EASTERN CONFERENCE SEMIFINALS - GAME 7'}]","2008-05-18T19:30Z",15,"QTR",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",2,"s:40~l:46~t:2","Boston","Celtics","BOS","Boston Celtics","Celtics","True",5,"s:40~l:46~t:5","Cleveland","Cavaliers","CLE","Cleveland Cavaliers","Cavaliers","061642","fdbb30","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png","006532","f1f2f3","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png",2008,1824,"TD Garden","Boston","MA",18624,"False","playoff","Playoff Series","BOS Wins series 4-3","True",7,"[{'id': '2', 'uid': 's:40~l:46~t:2', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/2?lang=en&region=us'}, {'id': '5', 'uid': 's:40~l:46~t:5', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/5?lang=en&region=us'}]","",280518002,TRUE,TRUE,TRUE
280516026,"s:40~l:46~e:280516026~c:280516026","2008-05-17T00:30Z",19911,"True","False","False","False","[{'type': 'event', 'headline': 'WESTERN CONFERENCE SEMIFINALS - GAME 6'}]","2008-05-17T00:30Z",15,"QTR",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",26,"s:40~l:46~t:26","Utah","Jazz","UTAH","Utah Jazz","Jazz","True",13,"s:40~l:46~t:13","Los Angeles","Lakers","LAL","Los Angeles Lakers","Lakers","542582","552582","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png","06143F","f9a01b","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png",2008,3093,"Vivint Smart Home Arena","Salt Lake City","UT",18306,"True","playoff","Playoff Series","LAL win series 4-2","True",7,"[{'id': '26', 'uid': 's:40~l:46~t:26', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/26?lang=en&region=us'}, {'id': '13', 'uid': 's:40~l:46~t:13', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2008/teams/13?lang=en&region=us'}]","",280516026,TRUE,TRUE,TRUE
