"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.venue.id","away.logo","season","status.type.altDetail","series.type","series.title","series.summary","series.completed","series.totalCompetitions","series.competitors","game_id","PBP"
400579399,"s:40~l:46~e:400579399~c:400579399","2015-03-31T02:00Z",19441,"True","False","False","False","[]","2015-03-31T02:00Z",1,"STD",3423,"Moda Center","Portland","OR",19441,"False",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",22,"s:40~l:46~t:22","Portland","Trail Blazers","POR","Portland Trail Blazers","Trail Blazers","000000","bac3c9","True",3423,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png",21,"s:40~l:46~t:21","Phoenix","Suns","PHX","Phoenix Suns","Suns","23006A","f1f2f3","True",1949,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png",2015,"","","","","",NA,"",400579399,TRUE
400579397,"s:40~l:46~e:400579397~c:400579397","2015-03-31T00:00Z",17218,"True","False","False","False","[]","2015-03-31T00:00Z",1,"STD",1392,"FedExForum","Memphis","TN",18400,"True",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",29,"s:40~l:46~t:29","Memphis","Grizzlies","MEM","Memphis Grizzlies","Grizzlies","5D76A8","7399c6","True",1392,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png",23,"s:40~l:46~t:23","Sacramento","Kings","SAC","Sacramento Kings","Kings","393996","8e9090","True",2247,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png",2015,"","","","","",NA,"",400579397,TRUE
400579398,"s:40~l:46~e:400579398~c:400579398","2015-03-31T00:00Z",12229,"True","False","False","False","[]","2015-03-31T00:00Z",1,"STD",2029,"Target Center","Minneapolis","MN",19356,"False",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",16,"s:40~l:46~t:16","Minnesota","Timberwolves","MIN","Minnesota Timberwolves","Timberwolves","0E3764","c4ced3","True",2029,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/min.png",26,"s:40~l:46~t:26","Utah","Jazz","UTAH","Utah Jazz","Jazz","06143F","f9a01b","True",3093,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png",2015,"","","","","",NA,"",400579398,TRUE
400579395,"s:40~l:46~e:400579395~c:400579395","2015-03-30T23:30Z",18453,"True","False","False","False","[]","2015-03-30T23:30Z",1,"STD",1827,"State Farm Arena","Atlanta","GA",16888,"True",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",1,"s:40~l:46~t:1","Atlanta","Hawks","ATL","Atlanta Hawks","Hawks","002B5C","002b5c","True",1827,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png",15,"s:40~l:46~t:15","Milwaukee","Bucks","MIL","Milwaukee Bucks","Bucks","003813","f0ebd2","True",2099,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png",2015,"","","","","",NA,"",400579395,TRUE
400579396,"s:40~l:46~e:400579396~c:400579396","2015-03-30T23:30Z",19800,"True","False","False","False","[]","2015-03-30T23:30Z",1,"STD",1838,"Scotiabank Arena","Toronto","ON",19800,"False",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",28,"s:40~l:46~t:28","Toronto","Raptors","TOR","Toronto Raptors","Raptors","CE0F41","061922","True",1838,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png",10,"s:40~l:46~t:10","Houston","Rockets","HOU","Houston Rockets","Rockets","D40026","c4ced3","True",1394,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png",2015,"","","","","",NA,"",400579396,TRUE
400579393,"s:40~l:46~e:400579393~c:400579393","2015-03-30T23:00Z",15140,"True","False","False","False","[]","2015-03-30T23:00Z",1,"STD",1893,"Spectrum Center","Charlotte","NC",19077,"False",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",30,"s:40~l:46~t:30","Charlotte","Hornets","CHA","Charlotte Hornets","Hornets","1D1060","008ca8","True",1893,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png",2,"s:40~l:46~t:2","Boston","Celtics","BOS","Boston Celtics","Celtics","006532","f1f2f3","True",1824,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png",2015,"","","","","",NA,"",400579393,TRUE
400579394,"s:40~l:46~e:400579394~c:400579394","2015-03-30T23:00Z",13501,"True","False","False","False","[]","2015-03-30T23:00Z",1,"STD",1845,"Wells Fargo Center","Philadelphia","PA",20155,"True",0,"0",5,3,"STATUS_FINAL","post","True","Final","Final/OT","Final/OT",20,"s:40~l:46~t:20","Philadelphia","76ers","PHI","Philadelphia 76ers","76ers","000000","f1f2f3","True",1845,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png",13,"s:40~l:46~t:13","Los Angeles","Lakers","LAL","Los Angeles Lakers","Lakers","542582","552582","True",1841,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png",2015,"OT","","","","",NA,"",400579394,TRUE
400579392,"s:40~l:46~e:400579392~c:400579392","2015-03-30T01:00Z",17538,"True","False","False","False","[]","2015-03-30T01:00Z",1,"STD",1949,"Phoenix Suns Arena","Phoenix","AZ",18055,"True",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",21,"s:40~l:46~t:21","Phoenix","Suns","PHX","Phoenix Suns","Suns","23006A","f1f2f3","True",1949,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png",25,"s:40~l:46~t:25","Oklahoma City","Thunder","OKC","Oklahoma City Thunder","Thunder","C67C03","f05133","True",2559,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/okc.png",2015,"","","","","",NA,"",400579392,TRUE
400579390,"s:40~l:46~e:400579390~c:400579390","2015-03-29T23:00Z",18581,"True","False","False","False","[]","2015-03-29T23:00Z",1,"STD",780,"AT&T Center","San Antonio","TX",18354,"False",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",24,"s:40~l:46~t:24","San Antonio","Spurs","SA","San Antonio Spurs","Spurs","000000","061922","True",780,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png",29,"s:40~l:46~t:29","Memphis","Grizzlies","MEM","Memphis Grizzlies","Grizzlies","5D76A8","7399c6","True",1392,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png",2015,"","","","","",NA,"",400579390,TRUE
400579391,"s:40~l:46~e:400579391~c:400579391","2015-03-29T23:00Z",17358,"True","False","False","False","[]","2015-03-29T23:00Z",1,"STD",2183,"Bankers Life Fieldhouse","Indianapolis","IN",17923,"True",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",11,"s:40~l:46~t:11","Indiana","Pacers","IND","Indiana Pacers","Pacers","061642","00275d","True",2183,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png",6,"s:40~l:46~t:6","Dallas","Mavericks","DAL","Dallas Mavericks","Mavericks","0C479D","c4ced3","True",516,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png",2015,"","","","","",NA,"",400579391,TRUE
400579387,"s:40~l:46~e:400579387~c:400579387","2015-03-29T22:00Z",18624,"True","False","False","False","[]","2015-03-29T22:00Z",1,"STD",1824,"TD Garden","Boston","MA",18624,"False",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",2,"s:40~l:46~t:2","Boston","Celtics","BOS","Boston Celtics","Celtics","006532","f1f2f3","True",1824,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png",12,"s:40~l:46~t:12","LA","Clippers","LAC","LA Clippers","Clippers","FA0028","f1f2f3","True",1841,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png",2015,"","","","","",NA,"",400579387,TRUE
400579388,"s:40~l:46~e:400579388~c:400579388","2015-03-29T22:00Z",19685,"True","False","False","False","[]","2015-03-29T22:00Z",1,"STD",3438,"AmericanAirlines Arena","Miami","FL",19600,"True",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",14,"s:40~l:46~t:14","Miami","Heat","MIA","Miami Heat","Heat","000000","000000","True",3438,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png",8,"s:40~l:46~t:8","Detroit","Pistons","DET","Detroit Pistons","Pistons","FA002C","006bb6","True",3419,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png",2015,"","","","","",NA,"",400579388,TRUE
400579384,"s:40~l:46~e:400579384~c:400579384","2015-03-29T20:30Z",20562,"True","False","False","False","[]","2015-03-29T20:30Z",1,"STD",3417,"Rocket Mortgage FieldHouse","Cleveland","OH",19432,"False",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",5,"s:40~l:46~t:5","Cleveland","Cavaliers","CLE","Cleveland Cavaliers","Cavaliers","061642","fdbb30","True",3417,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png",20,"s:40~l:46~t:20","Philadelphia","76ers","PHI","Philadelphia 76ers","76ers","000000","f1f2f3","True",1845,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png",2015,"","","","","",NA,"",400579384,TRUE
400579386,"s:40~l:46~e:400579386~c:400579386","2015-03-29T20:00Z",17576,"True","False","False","False","[]","2015-03-29T20:00Z",1,"STD",985,"Smoothie King Center","New Orleans","LA",16867,"True",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",3,"s:40~l:46~t:3","New Orleans","Pelicans","NO","New Orleans Pelicans","Pelicans","0093B1","b4975a","True",985,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png",16,"s:40~l:46~t:16","Minnesota","Timberwolves","MIN","Minnesota Timberwolves","Timberwolves","0E3764","c4ced3","True",2029,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/min.png",2015,"","","","","",NA,"",400579386,TRUE
400579385,"s:40~l:46~e:400579385~c:400579385","2015-03-29T19:30Z",17732,"True","False","False","False","[]","2015-03-29T19:30Z",1,"STD",3559,"Barclays Center","Brooklyn","NY",17732,"False",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",17,"s:40~l:46~t:17","Brooklyn","Nets","BKN","Brooklyn Nets","Nets","06143F","ffffff","True",1826,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bkn.png",13,"s:40~l:46~t:13","Los Angeles","Lakers","LAL","Los Angeles Lakers","Lakers","542582","552582","True",1841,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png",2015,"","","","","",NA,"",400579385,TRUE
400579389,"s:40~l:46~e:400579389~c:400579389","2015-03-29T16:30Z",20356,"True","False","False","False","[]","2015-03-29T16:30Z",1,"STD",1823,"Capital One Arena","Washington","DC",20600,"True",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",27,"s:40~l:46~t:27","Washington","Wizards","WSH","Washington Wizards","Wizards","0E3764","e31837","True",1823,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png",10,"s:40~l:46~t:10","Houston","Rockets","HOU","Houston Rockets","Rockets","D40026","c4ced3","True",1394,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png",2015,"","","","","",NA,"",400579389,TRUE
400579383,"s:40~l:46~e:400579383~c:400579383","2015-03-29T02:00Z",19769,"True","False","False","False","[]","2015-03-29T02:00Z",1,"STD",3423,"Moda Center","Portland","OR",19441,"False",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",22,"s:40~l:46~t:22","Portland","Trail Blazers","POR","Portland Trail Blazers","Trail Blazers","000000","bac3c9","True",3423,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png",7,"s:40~l:46~t:7","Denver","Nuggets","DEN","Denver Nuggets","Nuggets","0860A8","fdb927","True",892,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png",2015,"","","","","",NA,"",400579383,TRUE
400579382,"s:40~l:46~e:400579382~c:400579382","2015-03-29T01:00Z",19911,"True","False","False","False","[]","2015-03-29T01:00Z",1,"STD",3093,"Vivint Smart Home Arena","Salt Lake City","UT",18306,"True",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",26,"s:40~l:46~t:26","Utah","Jazz","UTAH","Utah Jazz","Jazz","06143F","f9a01b","True",3093,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png",25,"s:40~l:46~t:25","Oklahoma City","Thunder","OKC","Oklahoma City Thunder","Thunder","C67C03","f05133","True",2559,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/okc.png",2015,"","","","","",NA,"",400579382,TRUE
400579381,"s:40~l:46~e:400579381~c:400579381","2015-03-29T00:30Z",18717,"True","False","False","False","[]","2015-03-29T00:30Z",1,"STD",2099,"BMO Harris Bradley Center","Milwaukee","WI",18717,"False",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",15,"s:40~l:46~t:15","Milwaukee","Bucks","MIL","Milwaukee Bucks","Bucks","003813","f0ebd2","True",2099,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png",9,"s:40~l:46~t:9","Golden State","Warriors","GS","Golden State Warriors","Warriors","00275D","fdb927","True",2465,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png",2015,"","","","","",NA,"",400579381,TRUE
400579380,"s:40~l:46~e:400579380~c:400579380","2015-03-29T00:00Z",22152,"True","False","False","False","[]","2015-03-29T00:00Z",1,"STD",1847,"United Center","Chicago","IL",20917,"False",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",4,"s:40~l:46~t:4","Chicago","Bulls","CHI","Chicago Bulls","Bulls","000000","000000","True",1847,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png",18,"s:40~l:46~t:18","New York","Knicks","NY","New York Knicks","Knicks","225EA8","f58426","True",1830,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png",2015,"","","","","",NA,"",400579380,TRUE
