"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.logo","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.logo","season","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","status.type.altDetail","series.type","series.title","series.summary","series.completed","series.totalCompetitions","series.competitors","game_id","PBP","team_box","player_box"
240306014,"s:40~l:46~e:240306014~c:240306014","2004-03-06T20:30Z",16500,"True","False","False","False","[]","2004-03-06T20:30Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",14,"s:40~l:46~t:14","Miami","Heat","MIA","Miami Heat","Heat","000000","000000","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png",23,"s:40~l:46~t:23","Sacramento","Kings","SAC","Sacramento Kings","Kings","393996","8e9090","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png",2004,3438,"AmericanAirlines Arena","Miami","FL",19600,"True","","","","","",NA,"",240306014,TRUE,TRUE,TRUE
240306012,"s:40~l:46~e:240306012~c:240306012","2004-03-06T17:30Z",15481,"True","False","False","False","[]","2004-03-06T17:30Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",12,"s:40~l:46~t:12","LA","Clippers","LAC","LA Clippers","Clippers","FA0028","f1f2f3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png",29,"s:40~l:46~t:29","Memphis","Grizzlies","MEM","Memphis Grizzlies","Grizzlies","5D76A8","7399c6","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png",2004,1841,"STAPLES Center","Los Angeles","CA",19068,"True","","","","","",NA,"",240306012,TRUE,TRUE,TRUE
240305002,"s:40~l:46~e:240305002~c:240305002","2004-03-06T00:30Z",15046,"True","False","False","False","[]","2004-03-06T00:30Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",2,"s:40~l:46~t:2","Boston","Celtics","BOS","Boston Celtics","Celtics","006532","f1f2f3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png",27,"s:40~l:46~t:27","Washington","Wizards","WSH","Washington Wizards","Wizards","0E3764","e31837","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png",2004,1824,"TD Garden","Boston","MA",18624,"False","","","","","",NA,"",240305002,TRUE,TRUE,TRUE
240305009,"s:40~l:46~e:240305009~c:240305009","2004-03-06T00:30Z",17354,"True","False","False","False","[]","2004-03-06T00:30Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",9,"s:40~l:46~t:9","Golden State","Warriors","GS","Golden State Warriors","Warriors","00275D","fdb927","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png",17,"s:40~l:46~t:17","New Jersey","Nets","NJ","New Jersey Nets","Nets","06143F","ffffff","False","",2004,2465,"ORACLE Arena","Oakland","CA",19596,"False","","","","","",NA,"",240305009,TRUE,TRUE,TRUE
240305013,"s:40~l:46~e:240305013~c:240305013","2004-03-06T00:30Z",18997,"True","False","False","False","[]","2004-03-06T00:30Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",13,"s:40~l:46~t:13","Los Angeles","Lakers","LAL","Los Angeles Lakers","Lakers","542582","552582","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png",25,"s:40~l:46~t:25","Seattle","SuperSonics","SEA","Seattle SuperSonics","SuperSonics","1C3F2C","f05133","False","",2004,1841,"STAPLES Center","Los Angeles","CA",19068,"True","","","","","",NA,"",240305013,TRUE,TRUE,TRUE
240305003,"s:40~l:46~e:240305003~c:240305003","2004-03-06T00:00Z",17795,"True","False","False","False","[]","2004-03-06T00:00Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",3,"s:40~l:46~t:3","New Orleans","Hornets","NO","New Orleans Hornets","Hornets","0093B1","b4975a","False","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png",5,"s:40~l:46~t:5","Cleveland","Cavaliers","CLE","Cleveland Cavaliers","Cavaliers","061642","fdbb30","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png",2004,985,"Smoothie King Center","New Orleans","LA",16867,"True","","","","","",NA,"",240305003,TRUE,TRUE,TRUE
240305016,"s:40~l:46~e:240305016~c:240305016","2004-03-06T00:00Z",20109,"True","False","False","False","[]","2004-03-06T00:00Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",16,"s:40~l:46~t:16","Minnesota","Timberwolves","MIN","Minnesota Timberwolves","Timberwolves","0E3764","c4ced3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/min.png",10,"s:40~l:46~t:10","Houston","Rockets","HOU","Houston Rockets","Rockets","D40026","c4ced3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png",2004,2029,"Target Center","Minneapolis","MN",19356,"False","","","","","",NA,"",240305016,TRUE,TRUE,TRUE
240305019,"s:40~l:46~e:240305019~c:240305019","2004-03-06T00:00Z",13293,"True","False","False","False","[]","2004-03-06T00:00Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",19,"s:40~l:46~t:19","Orlando","Magic","ORL","Orlando Magic","Magic","0860A8","c4ced3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png",1,"s:40~l:46~t:1","Atlanta","Hawks","ATL","Atlanta Hawks","Hawks","002B5C","002b5c","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png",2004,4042,"Amway Arena","Orlando","FL",17461,"False","","","","","",NA,"",240305019,TRUE,TRUE,TRUE
240305024,"s:40~l:46~e:240305024~c:240305024","2004-03-06T00:00Z",18797,"True","False","False","False","[]","2004-03-06T00:00Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",24,"s:40~l:46~t:24","San Antonio","Spurs","SA","San Antonio Spurs","Spurs","000000","061922","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png",6,"s:40~l:46~t:6","Dallas","Mavericks","DAL","Dallas Mavericks","Mavericks","0C479D","c4ced3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png",2004,780,"AT&T Center","San Antonio","TX",18354,"False","","","","","",NA,"",240305024,TRUE,TRUE,TRUE
240305026,"s:40~l:46~e:240305026~c:240305026","2004-03-06T00:00Z",19911,"True","False","False","False","[]","2004-03-06T00:00Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",26,"s:40~l:46~t:26","Utah","Jazz","UTAH","Utah Jazz","Jazz","06143F","f9a01b","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png",11,"s:40~l:46~t:11","Indiana","Pacers","IND","Indiana Pacers","Pacers","061642","00275d","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png",2004,3093,"Vivint Smart Home Arena","Salt Lake City","UT",18306,"True","","","","","",NA,"",240305026,TRUE,TRUE,TRUE
240305028,"s:40~l:46~e:240305028~c:240305028","2004-03-06T00:00Z",19287,"True","False","False","False","[]","2004-03-06T00:00Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",28,"s:40~l:46~t:28","Toronto","Raptors","TOR","Toronto Raptors","Raptors","CE0F41","061922","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png",18,"s:40~l:46~t:18","New York","Knicks","NY","New York Knicks","Knicks","225EA8","f58426","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png",2004,1838,"Scotiabank Arena","Toronto","ON",19800,"False","","","","","",NA,"",240305028,TRUE,TRUE,TRUE
240304014,"s:40~l:46~e:240304014~c:240304014","2004-03-05T00:30Z",14338,"True","False","False","False","[]","2004-03-05T00:30Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",14,"s:40~l:46~t:14","Miami","Heat","MIA","Miami Heat","Heat","000000","000000","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png",15,"s:40~l:46~t:15","Milwaukee","Bucks","MIL","Milwaukee Bucks","Bucks","003813","f0ebd2","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png",2004,3438,"AmericanAirlines Arena","Miami","FL",19600,"True","","","","","",NA,"",240304014,TRUE,TRUE,TRUE
240304020,"s:40~l:46~e:240304020~c:240304020","2004-03-05T00:30Z",18798,"True","False","False","False","[]","2004-03-05T00:30Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",20,"s:40~l:46~t:20","Philadelphia","76ers","PHI","Philadelphia 76ers","76ers","000000","f1f2f3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png",23,"s:40~l:46~t:23","Sacramento","Kings","SAC","Sacramento Kings","Kings","393996","8e9090","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png",2004,1845,"Wells Fargo Center","Philadelphia","PA",20155,"True","","","","","",NA,"",240304020,TRUE,TRUE,TRUE
