,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,season,home.logo,away.logo,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.type.altDetail,series.type,series.title,series.summary,series.completed,series.totalCompetitions,series.competitors
0,201011021,s:40~l:46~e:201011021~c:201011021,2000-10-11T23:00Z,15797,True,False,False,False,[],2000-10-11T23:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006A,f1f2f3,True,12,s:40~l:46~t:12,Los Angeles,Clippers,LAC,Los Angeles Clippers,Clippers,FA0028,f1f2f3,False,2001,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png,1949,Phoenix Suns Arena,Phoenix,AZ,18055.0,True,,,,,,,
0,201011004,s:40~l:46~e:201011004~c:201011004,2000-10-11T23:30Z,19160,True,False,False,False,[],2000-10-11T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,s:40~l:46~t:4,Chicago,Bulls,CHI,Chicago Bulls,Bulls,000000,000000,True,7,s:40~l:46~t:7,Denver,Nuggets,DEN,Denver Nuggets,Nuggets,0860A8,fdb927,True,2001,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,1847,United Center,Chicago,IL,20917.0,False,,,,,,,
0,201011013,s:40~l:46~e:201011013~c:201011013,2000-10-11T23:30Z,16994,True,False,False,False,[],2000-10-11T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,True,3,s:40~l:46~t:3,Charlotte,Hornets,CHA,Charlotte Hornets,Hornets,0093B1,b4975a,False,2001,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png,,,,,,,,,,,,,
0,201011017,s:40~l:46~e:201011017~c:201011017,2000-10-11T23:30Z,10150,True,False,False,False,[],2000-10-11T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,False,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,True,2001,,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,2562,IZOD Center,East Rutherford,NJ,19990.0,False,,,,,,,
0,201011023,s:40~l:46~e:201011023~c:201011023,2000-10-11T23:30Z,15598,True,False,False,False,[],2000-10-11T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,23,s:40~l:46~t:23,Sacramento,Kings,SAC,Sacramento Kings,Kings,393996,8e9090,True,26,s:40~l:46~t:26,Utah,Jazz,UTAH,Utah Jazz,Jazz,06143F,f9a01b,True,2001,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png,2247,Sleep Train Arena,Sacramento,CA,17317.0,False,,,,,,,
0,201012002,s:40~l:46~e:201012002~c:201012002,2000-10-12T23:00Z,5521,True,False,False,False,[],2000-10-12T23:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,True,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,True,2001,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,,,,,,,,,,,,,
0,201012011,s:40~l:46~e:201012011~c:201012011,2000-10-12T23:00Z,15062,True,False,False,False,[],2000-10-12T23:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,11,s:40~l:46~t:11,Indiana,Pacers,IND,Indiana Pacers,Pacers,061642,00275d,True,7,s:40~l:46~t:7,Denver,Nuggets,DEN,Denver Nuggets,Nuggets,0860A8,fdb927,True,2001,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,2183,Bankers Life Fieldhouse,Indianapolis,IN,17923.0,True,,,,,,,
0,201012010,s:40~l:46~e:201012010~c:201012010,2000-10-12T23:30Z,10037,True,False,False,False,[],2000-10-12T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,10,s:40~l:46~t:10,Houston,Rockets,HOU,Houston Rockets,Rockets,D40026,c4ced3,True,3,s:40~l:46~t:3,Charlotte,Hornets,CHA,Charlotte Hornets,Hornets,0093B1,b4975a,False,2001,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png,,,,,,,,,,,,,
0,201012013,s:40~l:46~e:201012013~c:201012013,2000-10-12T23:30Z,16529,True,False,False,False,[],2000-10-12T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,True,27,s:40~l:46~t:27,Washington,Wizards,WSH,Washington Wizards,Wizards,0E3764,e31837,True,2001,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png,,,,,,,,,,,,,
0,201012018,s:40~l:46~e:201012018~c:201012018,2000-10-12T23:30Z,19334,True,False,False,False,[],2000-10-12T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,18,s:40~l:46~t:18,New York,Knicks,NY,New York Knicks,Knicks,225EA8,f58426,True,20,s:40~l:46~t:20,Philadelphia,76ers,PHI,Philadelphia 76ers,76ers,000000,f1f2f3,True,2001,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png,1830,Madison Square Garden,New York,NY,19763.0,False,,,,,,,
