"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.venue.id","away.logo","season","series.type","series.title","series.summary","series.completed","series.totalCompetitions","series.competitors","status.type.altDetail","tickets","odds","game_id","PBP","team_box","player_box"
401265865,"s:40~l:46~e:401265865~c:401265865","2020-12-19T00:30Z",0,"True","False","False","False","[]","2020-12-19T00:30Z",1,"STD",1830,"Madison Square Garden","New York","NY",19763,"False",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",18,"s:40~l:46~t:18","New York","Knicks","NY","New York Knicks","Knicks","225EA8","f58426","True",1830,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png",5,"s:40~l:46~t:5","Cleveland","Cavaliers","CLE","Cleveland Cavaliers","Cavaliers","061642","fdbb30","True",3417,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png",2021,"","","","",NA,"","","","",401265865,TRUE,TRUE,TRUE
401265863,"s:40~l:46~e:401265863~c:401265863","2020-12-19T00:00Z",0,"True","False","False","False","[]","2020-12-19T00:00Z",1,"STD",1396,"Amalie Arena","Tampa","FL",0,"True",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",28,"s:40~l:46~t:28","Toronto","Raptors","TOR","Toronto Raptors","Raptors","CE0F41","061922","True",1838,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png",14,"s:40~l:46~t:14","Miami","Heat","MIA","Miami Heat","Heat","000000","000000","True",3438,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png",2021,"","","","",NA,"","","","",401265863,TRUE,TRUE,TRUE
401265862,"s:40~l:46~e:401265862~c:401265862","2020-12-18T23:00Z",0,"True","False","False","False","[]","2020-12-18T23:00Z",1,"STD",2183,"Bankers Life Fieldhouse","Indianapolis","IN",17923,"True",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",11,"s:40~l:46~t:11","Indiana","Pacers","IND","Indiana Pacers","Pacers","061642","00275d","True",2183,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png",20,"s:40~l:46~t:20","Philadelphia","76ers","PHI","Philadelphia 76ers","76ers","000000","f1f2f3","True",1845,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png",2021,"","","","",NA,"","","","",401265862,TRUE,TRUE,TRUE
401265860,"s:40~l:46~e:401265860~c:401265860","2020-12-18T03:00Z",0,"True","False","False","False","[]","2020-12-18T03:00Z",1,"STD",1841,"STAPLES Center","Los Angeles","CA",19068,"True",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",12,"s:40~l:46~t:12","LA","Clippers","LAC","LA Clippers","Clippers","FA0028","f1f2f3","True",1841,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png",26,"s:40~l:46~t:26","Utah","Jazz","UTAH","Utah Jazz","Jazz","06143F","f9a01b","True",3093,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png",2021,"playoff","Playoff Series","LAC win series 4-2","True",7,"[{'id': '12', 'uid': 's:40~l:46~t:12', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2021/teams/12?lang=en&region=us'}, {'id': '26', 'uid': 's:40~l:46~t:26', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2021/teams/26?lang=en&region=us'}]","","","",401265860,TRUE,TRUE,TRUE
401265861,"s:40~l:46~e:401265861~c:401265861","2020-12-18T02:00Z",0,"True","False","False","False","[]","2020-12-18T02:00Z",1,"STD",5310,"Golden 1 Center","Sacramento","CA",17583,"True",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",23,"s:40~l:46~t:23","Sacramento","Kings","SAC","Sacramento Kings","Kings","393996","8e9090","True",2247,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png",9,"s:40~l:46~t:9","Golden State","Warriors","GS","Golden State Warriors","Warriors","003da5","fdb927","True",2465,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png",2021,"","","","",NA,"","","","",401265861,TRUE,TRUE,TRUE
401265859,"s:40~l:46~e:401265859~c:401265859","2020-12-18T01:30Z",0,"True","False","False","False","[]","2020-12-18T01:30Z",1,"STD",516,"American Airlines Center","Dallas","TX",19200,"False",0,"0",5,3,"STATUS_FINAL","post","True","Final","Final/OT","Final/OT",6,"s:40~l:46~t:6","Dallas","Mavericks","DAL","Dallas Mavericks","Mavericks","0C479D","c4ced3","True",516,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png",16,"s:40~l:46~t:16","Minnesota","Timberwolves","MIN","Minnesota Timberwolves","Timberwolves","0E3764","c4ced3","True",2029,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/min.png",2021,"","","","",NA,"","OT","","",401265859,TRUE,TRUE,TRUE
401265857,"s:40~l:46~e:401265857~c:401265857","2020-12-18T01:00Z",0,"True","False","False","False","[]","2020-12-18T01:00Z",1,"STD",1394,"Toyota Center (Houston)","Houston","TX",18055,"True",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",10,"s:40~l:46~t:10","Houston","Rockets","HOU","Houston Rockets","Rockets","D40026","c4ced3","True",1394,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png",24,"s:40~l:46~t:24","San Antonio","Spurs","SA","San Antonio Spurs","Spurs","000000","061922","True",780,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png",2021,"","","","",NA,"","","","",401265857,TRUE,TRUE,TRUE
401265858,"s:40~l:46~e:401265858~c:401265858","2020-12-18T01:00Z",0,"True","False","False","False","[]","2020-12-18T01:00Z",1,"STD",1392,"FedExForum","Memphis","TN",18400,"True",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",29,"s:40~l:46~t:29","Memphis","Grizzlies","MEM","Memphis Grizzlies","Grizzlies","5D76A8","7399c6","True",1392,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png",1,"s:40~l:46~t:1","Atlanta","Hawks","ATL","Atlanta Hawks","Hawks","002B5C","002b5c","True",1827,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png",2021,"","","","",NA,"","","","",401265858,TRUE,TRUE,TRUE
401265855,"s:40~l:46~e:401265855~c:401265855","2020-12-18T00:00Z",412,"True","False","False","False","[]","2020-12-18T00:00Z",1,"STD",3432,"Amway Center","Orlando","FL",18500,"False",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",19,"s:40~l:46~t:19","Orlando","Magic","ORL","Orlando Magic","Magic","0860A8","c4ced3","True",3432,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png",30,"s:40~l:46~t:30","Charlotte","Hornets","CHA","Charlotte Hornets","Hornets","1D1060","008ca8","True",1893,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png",2021,"","","","",NA,"","","","",401265855,TRUE,TRUE,TRUE
401265856,"s:40~l:46~e:401265856~c:401265856","2020-12-18T00:00Z",0,"True","False","False","False","[]","2020-12-18T00:00Z",1,"STD",1823,"Capital One Arena","Washington","DC",20600,"True",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",27,"s:40~l:46~t:27","Washington","Wizards","WSH","Washington Wizards","Wizards","0E3764","e31837","True",1823,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png",8,"s:40~l:46~t:8","Detroit","Pistons","DET","Detroit Pistons","Pistons","FA002C","006bb6","True",5311,"https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png",2021,"","","","",NA,"","","","",401265856,TRUE,TRUE,TRUE
