id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.logo,game_id,season_type,season,home.logo,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,series.type,series.title,series.summary,series.completed,series.totalCompetitions,series.competitors,status.type.altDetail,PBP,player_box,team_box
230615024,s:40~l:46~e:230615024~c:230615024,2003-06-15T23:30Z,18797,TRUE,FALSE,FALSE,FALSE,[],2003-06-15T23:30Z,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,FALSE,"",230615024,3,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,780,AT&T Center,San Antonio,TX,18354,FALSE,playoff,Playoff Series,SA Wins series 4-2,TRUE,7,"[{'id': '24', 'uid': 's:40~l:46~t:24', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/24?lang=en&region=us'}, {'id': '17', 'uid': 's:40~l:46~t:17', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/17?lang=en&region=us'}]","",TRUE,TRUE,TRUE
230613017,s:40~l:46~e:230613017~c:230613017,2003-06-14T00:30Z,19280,TRUE,FALSE,FALSE,FALSE,[],2003-06-14T00:30Z,1,STD,7,7.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,FALSE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,230613017,3,2003,"",2562,IZOD Center,East Rutherford,NJ,19990,FALSE,playoff,Playoff Series,SA leads series 3-2,FALSE,7,"[{'id': '17', 'uid': 's:40~l:46~t:17', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/17?lang=en&region=us'}, {'id': '24', 'uid': 's:40~l:46~t:24', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/24?lang=en&region=us'}]","",TRUE,TRUE,TRUE
230611017,s:40~l:46~e:230611017~c:230611017,2003-06-12T00:30Z,19280,TRUE,FALSE,FALSE,FALSE,[],2003-06-12T00:30Z,1,STD,2,2.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,FALSE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,230611017,3,2003,"",2562,IZOD Center,East Rutherford,NJ,19990,FALSE,playoff,Playoff Series,Series tied 2-2,FALSE,7,"[{'id': '17', 'uid': 's:40~l:46~t:17', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/17?lang=en&region=us'}, {'id': '24', 'uid': 's:40~l:46~t:24', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/24?lang=en&region=us'}]","",TRUE,TRUE,TRUE
230608017,s:40~l:46~e:230608017~c:230608017,2003-06-09T00:30Z,19280,TRUE,FALSE,FALSE,FALSE,[],2003-06-09T00:30Z,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,FALSE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,230608017,3,2003,"",2562,IZOD Center,East Rutherford,NJ,19990,FALSE,playoff,Playoff Series,SA leads series 2-1,FALSE,7,"[{'id': '17', 'uid': 's:40~l:46~t:17', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/17?lang=en&region=us'}, {'id': '24', 'uid': 's:40~l:46~t:24', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/24?lang=en&region=us'}]","",TRUE,TRUE,TRUE
230606024,s:40~l:46~e:230606024~c:230606024,2003-06-06T23:30Z,18797,TRUE,FALSE,FALSE,FALSE,[],2003-06-06T23:30Z,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,FALSE,"",230606024,3,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,780,AT&T Center,San Antonio,TX,18354,FALSE,playoff,Playoff Series,Series tied 1-1,FALSE,7,"[{'id': '24', 'uid': 's:40~l:46~t:24', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/24?lang=en&region=us'}, {'id': '17', 'uid': 's:40~l:46~t:17', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/17?lang=en&region=us'}]","",TRUE,TRUE,TRUE
230604024,s:40~l:46~e:230604024~c:230604024,2003-06-04T23:30Z,18797,TRUE,FALSE,FALSE,FALSE,[],2003-06-04T23:30Z,1,STD,4,4.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,FALSE,"",230604024,3,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,780,AT&T Center,San Antonio,TX,18354,FALSE,playoff,Playoff Series,SA leads series 1-0,FALSE,7,"[{'id': '24', 'uid': 's:40~l:46~t:24', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/24?lang=en&region=us'}, {'id': '17', 'uid': 's:40~l:46~t:17', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/17?lang=en&region=us'}]","",TRUE,TRUE,TRUE
230529006,s:40~l:46~e:230529006~c:230529006,2003-05-30T00:00Z,20812,TRUE,FALSE,FALSE,FALSE,[],2003-05-30T00:00Z,1,STD,1,1.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,230529006,3,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,516,American Airlines Center,Dallas,TX,19200,FALSE,playoff,Playoff Series,SA Wins series 4-2,TRUE,7,"[{'id': '6', 'uid': 's:40~l:46~t:6', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/6?lang=en&region=us'}, {'id': '24', 'uid': 's:40~l:46~t:24', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/24?lang=en&region=us'}]","",TRUE,TRUE,TRUE
230527024,s:40~l:46~e:230527024~c:230527024,2003-05-28T00:00Z,18797,TRUE,FALSE,FALSE,FALSE,[],2003-05-28T00:00Z,1,STD,21,21.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,230527024,3,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,780,AT&T Center,San Antonio,TX,18354,FALSE,playoff,Playoff Series,SA leads series 3-2,FALSE,7,"[{'id': '24', 'uid': 's:40~l:46~t:24', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/24?lang=en&region=us'}, {'id': '6', 'uid': 's:40~l:46~t:6', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/6?lang=en&region=us'}]","",TRUE,TRUE,TRUE
230525006,s:40~l:46~e:230525006~c:230525006,2003-05-25T23:30Z,20561,TRUE,FALSE,FALSE,FALSE,[],2003-05-25T23:30Z,1,STD,3,3.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,230525006,3,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,516,American Airlines Center,Dallas,TX,19200,FALSE,playoff,Playoff Series,SA leads series 3-1,FALSE,7,"[{'id': '6', 'uid': 's:40~l:46~t:6', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/6?lang=en&region=us'}, {'id': '24', 'uid': 's:40~l:46~t:24', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/24?lang=en&region=us'}]","",TRUE,TRUE,TRUE
230524017,s:40~l:46~e:230524017~c:230524017,2003-05-25T00:00Z,19923,TRUE,FALSE,FALSE,FALSE,[],2003-05-25T00:00Z,1,STD,19,19.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,FALSE,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,230524017,3,2003,"",2562,IZOD Center,East Rutherford,NJ,19990,FALSE,playoff,Playoff Series,NJ Wins series 4-0,TRUE,7,"[{'id': '17', 'uid': 's:40~l:46~t:17', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/17?lang=en&region=us'}, {'id': '8', 'uid': 's:40~l:46~t:8', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/8?lang=en&region=us'}]","",TRUE,TRUE,TRUE
