id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.logo,game_id,season_type,series.type,series.title,series.summary,series.completed,series.totalCompetitions,series.competitors,season,status.type.altDetail,PBP,player_box,team_box
260620006,s:40~l:46~e:260620006~c:260620006,2006-06-21T00:00Z,20522,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'FINALS'}]",2006-06-21T00:00Z,17,FINAL,516,American Airlines Center,Dallas,TX,19200,FALSE,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,260620006,3,playoff,Playoff Series,MIA Wins series 4-2,TRUE,7,"[{'id': '6', 'uid': 's:40~l:46~t:6', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2006/teams/6?lang=en&region=us'}, {'id': '14', 'uid': 's:40~l:46~t:14', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2006/teams/14?lang=en&region=us'}]",2006,"",FALSE,TRUE,TRUE
260618014,s:40~l:46~e:260618014~c:260618014,2006-06-19T01:00Z,20145,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'FINALS'}]",2006-06-19T01:00Z,17,FINAL,3438,FTX Arena,Miami,FL,19600,TRUE,0,0.0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,260618014,3,playoff,Playoff Series,MIA leads series 3-2,FALSE,7,"[{'id': '14', 'uid': 's:40~l:46~t:14', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2006/teams/14?lang=en&region=us'}, {'id': '6', 'uid': 's:40~l:46~t:6', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2006/teams/6?lang=en&region=us'}]",2006,OT,FALSE,TRUE,TRUE
260615014,s:40~l:46~e:260615014~c:260615014,2006-06-16T01:00Z,20145,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'FINALS'}]",2006-06-16T01:00Z,17,FINAL,3438,FTX Arena,Miami,FL,19600,TRUE,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,260615014,3,playoff,Playoff Series,Series tied 2-2,FALSE,7,"[{'id': '14', 'uid': 's:40~l:46~t:14', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2006/teams/14?lang=en&region=us'}, {'id': '6', 'uid': 's:40~l:46~t:6', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2006/teams/6?lang=en&region=us'}]",2006,"",TRUE,TRUE,TRUE
260613014,s:40~l:46~e:260613014~c:260613014,2006-06-14T01:00Z,20145,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'FINALS'}]",2006-06-14T01:00Z,17,FINAL,3438,FTX Arena,Miami,FL,19600,TRUE,1,1.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,260613014,3,playoff,Playoff Series,DAL leads series 2-1,FALSE,7,"[{'id': '14', 'uid': 's:40~l:46~t:14', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2006/teams/14?lang=en&region=us'}, {'id': '6', 'uid': 's:40~l:46~t:6', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2006/teams/6?lang=en&region=us'}]",2006,"",TRUE,TRUE,TRUE
260611006,s:40~l:46~e:260611006~c:260611006,2006-06-12T00:00Z,20459,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'FINALS'}]",2006-06-12T00:00Z,17,FINAL,516,American Airlines Center,Dallas,TX,19200,FALSE,12,12.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,260611006,3,playoff,Playoff Series,DAL leads series 2-0,FALSE,7,"[{'id': '6', 'uid': 's:40~l:46~t:6', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2006/teams/6?lang=en&region=us'}, {'id': '14', 'uid': 's:40~l:46~t:14', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2006/teams/14?lang=en&region=us'}]",2006,"",TRUE,TRUE,TRUE
260608006,s:40~l:46~e:260608006~c:260608006,2006-06-09T00:00Z,20475,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'FINALS'}]",2006-06-09T00:00Z,17,FINAL,516,American Airlines Center,Dallas,TX,19200,FALSE,4,4.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,260608006,3,playoff,Playoff Series,DAL leads series 1-0,FALSE,7,"[{'id': '6', 'uid': 's:40~l:46~t:6', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2006/teams/6?lang=en&region=us'}, {'id': '14', 'uid': 's:40~l:46~t:14', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2006/teams/14?lang=en&region=us'}]",2006,"",TRUE,TRUE,TRUE
260603021,s:40~l:46~e:260603021~c:260603021,2006-06-03T21:30Z,18422,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'PLAYOFFS'}]",2006-06-03T21:30Z,16,SEMI,1949,Footprint Center,Phoenix,AZ,18055,TRUE,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006A,f1f2f3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,260603021,3,playoff,Playoff Series,DAL Wins series 4-2,TRUE,7,"[{'id': '21', 'uid': 's:40~l:46~t:21', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2006/teams/21?lang=en&region=us'}, {'id': '6', 'uid': 's:40~l:46~t:6', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2006/teams/6?lang=en&region=us'}]",2006,"",TRUE,TRUE,TRUE
260602014,s:40~l:46~e:260602014~c:260602014,2006-06-03T00:00Z,20258,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'PLAYOFFS'}]",2006-06-03T00:00Z,16,SEMI,3438,FTX Arena,Miami,FL,19600,TRUE,19,19.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,260602014,3,playoff,Playoff Series,MIA Wins series 4-2,TRUE,7,"[{'id': '14', 'uid': 's:40~l:46~t:14', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2006/teams/14?lang=en&region=us'}, {'id': '8', 'uid': 's:40~l:46~t:8', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2006/teams/8?lang=en&region=us'}]",2006,"",TRUE,TRUE,TRUE
260601006,s:40~l:46~e:260601006~c:260601006,2006-06-01T23:30Z,20977,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'PLAYOFFS'}]",2006-06-01T23:30Z,16,SEMI,516,American Airlines Center,Dallas,TX,19200,FALSE,10,10.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006A,f1f2f3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,260601006,3,playoff,Playoff Series,DAL leads series 3-2,FALSE,7,"[{'id': '6', 'uid': 's:40~l:46~t:6', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2006/teams/6?lang=en&region=us'}, {'id': '21', 'uid': 's:40~l:46~t:21', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2006/teams/21?lang=en&region=us'}]",2006,"",TRUE,TRUE,TRUE
260531008,s:40~l:46~e:260531008~c:260531008,2006-06-01T00:00Z,22076,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'PLAYOFFS'}]",2006-06-01T00:00Z,16,SEMI,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,1,1.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,260531008,3,playoff,Playoff Series,MIA leads series 3-2,FALSE,7,"[{'id': '8', 'uid': 's:40~l:46~t:8', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2006/teams/8?lang=en&region=us'}, {'id': '14', 'uid': 's:40~l:46~t:14', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2006/teams/14?lang=en&region=us'}]",2006,"",TRUE,TRUE,TRUE
