coach,coach.link,coach.link.ref,team,year
Joe Scott,history.php?c=Joe+Scott,Joe+Scott,Air Force,2004
Dan Hipsher,history.php?c=Dan+Hipsher,Dan+Hipsher,Akron,2004
Mark Gottfried,history.php?c=Mark+Gottfried,Mark+Gottfried,Alabama,2004
Vann Pettaway,history.php?c=Vann+Pettaway,Vann+Pettaway,Alabama A&M,2004
Rob Spivery,history.php?c=Rob+Spivery,Rob+Spivery,Alabama St.,2004
Will Brown,history.php?c=Will+Brown,Will+Brown,Albany,2004
Samuel West,history.php?c=Samuel+West,Samuel+West,Alcorn St.,2004
Jeff Jones,history.php?c=Jeff+Jones,Jeff+Jones,American,2004
Houston Fancher,history.php?c=Houston+Fancher,Houston+Fancher,Appalachian St.,2004
Lute Olson,history.php?c=Lute+Olson,Lute+Olson,Arizona,2004
Rob Evans,history.php?c=Rob+Evans,Rob+Evans,Arizona St.,2004
Stan Heath,history.php?c=Stan+Heath,Stan+Heath,Arkansas,2004
Steve Shields,history.php?c=Steve+Shields,Steve+Shields,Arkansas Little Rock,2004
Van Holt,history.php?c=Van+Holt,Van+Holt,Arkansas Pine Bluff,2004
Dickey Nutt,history.php?c=Dickey+Nutt,Dickey+Nutt,Arkansas St.,2004
Jim Crews,history.php?c=Jim+Crews,Jim+Crews,Army,2004
Cliff Ellis,history.php?c=Cliff+Ellis,Cliff+Ellis,Auburn,2004
Dave Loos,history.php?c=Dave+Loos,Dave+Loos,Austin Peay,2004
Tim Buckley,history.php?c=Tim+Buckley,Tim+Buckley,Ball St.,2004
Scott Drew,history.php?c=Scott+Drew,Scott+Drew,Baylor,2004
Rick Byrd,history.php?c=Rick+Byrd,Rick+Byrd,Belmont,2004
Clifford Reed Jr,history.php?c=Clifford+Reed+Jr,Clifford+Reed+Jr,Bethune Cookman,2004
Al Walker,history.php?c=Al+Walker,Al+Walker,Binghamton,2004
Duane Reboul,history.php?c=Duane+Reboul,Duane+Reboul,Birmingham Southern,2004
Greg Graham,history.php?c=Greg+Graham,Greg+Graham,Boise St.,2004
Al Skinner,history.php?c=Al+Skinner,Al+Skinner,Boston College,2004
Dennis Wolff,history.php?c=Dennis+Wolff,Dennis+Wolff,Boston University,2004
Dan Dakich,history.php?c=Dan+Dakich,Dan+Dakich,Bowling Green,2004
Jim Les,history.php?c=Jim+Les,Jim+Les,Bradley,2004
Glen Miller,history.php?c=Glen+Miller,Glen+Miller,Brown,2004
Pat Flannery,history.php?c=Pat+Flannery,Pat+Flannery,Bucknell,2004
Reggie Witherspoon,history.php?c=Reggie+Witherspoon,Reggie+Witherspoon,Buffalo,2004
Todd Lickliter,history.php?c=Todd+Lickliter,Todd+Lickliter,Butler,2004
Steve Cleveland,history.php?c=Steve+Cleveland,Steve+Cleveland,BYU,2004
Kevin Bromley,history.php?c=Kevin+Bromley,Kevin+Bromley,Cal Poly,2004
Bob Burton,history.php?c=Bob+Burton,Bob+Burton,Cal St. Fullerton,2004
Bobby Braswell,history.php?c=Bobby+Braswell,Bobby+Braswell,Cal St. Northridge,2004
Ben Braun,history.php?c=Ben+Braun,Ben+Braun,California,2004
Robbie Laing,history.php?c=Robbie+Laing,Robbie+Laing,Campbell,2004
Mike MacDonald,history.php?c=Mike+MacDonald,Mike+MacDonald,Canisius,2004
Kevin Johnson,history.php?c=Kevin+Johnson,Kevin+Johnson,Centenary,2004
Howie Dickenman,history.php?c=Howie+Dickenman,Howie+Dickenman,Central Connecticut,2004
Jay Smith,history.php?c=Jay+Smith,Jay+Smith,Central Michigan,2004
Jim Platt,history.php?c=Jim+Platt,Jim+Platt,Charleston Southern,2004
Bobby Lutz,history.php?c=Bobby+Lutz,Bobby+Lutz,Charlotte,2004
Jeff Lebo,history.php?c=Jeff+Lebo,Jeff+Lebo,Chattanooga,2004
Kevin Jones,history.php?c=Kevin+Jones,Kevin+Jones,Chicago St.,2004
Bob Huggins,history.php?c=Bob+Huggins,Bob+Huggins,Cincinnati,2004
Oliver Purnell,history.php?c=Oliver+Purnell,Oliver+Purnell,Clemson,2004
Mike Garland,history.php?c=Mike+Garland,Mike+Garland,Cleveland St.,2004
Pete Strickland,history.php?c=Pete+Strickland,Pete+Strickland,Coastal Carolina,2004
Emmett Davis,history.php?c=Emmett+Davis,Emmett+Davis,Colgate,2004
Tom Herrion,history.php?c=Tom+Herrion,Tom+Herrion,College of Charleston,2004
Ricardo Patton,history.php?c=Ricardo+Patton,Ricardo+Patton,Colorado,2004
