"Team","Conf.x","HCA","HCA.Rk","PF","PF.Rk","Pts","Pts.Rk","NST","NST.Rk","Blk","Blk.Rk","Elev","Elev.Rk","Rk","Conf.y","Arena","Alternate","Year","lon","lat"
"Colorado","P12",4.9,1,-4.8,14,12.2,3,-1.5,60,1.6,79,5400,5,67,"P12","CU Events Center","",2021,-105.2611722,40.005398
"West Virginia","B12",4.6,2,-4.9,8,12.5,1,-2.1,12,2.1,20,1000,58,39,"B12","WVU Coliseum","",2021,-79.9814341,39.649361
"Texas Tech","B12",4.5,3,-4.6,16,11.1,7,-1.4,74,1.6,92,3200,20,26,"B12","United Supermarkets Arena","",2021,-101.886563,33.581334
"Air Force","MWC",4.4,4,-3.2,109,10.1,20,-1.2,111,1.4,140,7000,2,200,"MWC","Clune Arena","",2021,-104.8837443,39.0137436
"Memphis","Amer",4.4,5,-5.2,2,9.5,33,-2.4,6,2.1,23,200,232,10,"Amer","FedExForum","",2021,-90.0505864,35.1381418
"New Mexico","MWC",4.2,6,-3.7,66,10.8,10,-0.7,209,0.8,266,5100,7,23,"MWC","Dreamstyle Arena","",2021,-106.6322619,35.0670344
"Utah St.","MWC",4.2,7,-3.3,101,11.2,6,-0.1,296,1.8,56,4800,10,86,"MWC","Dee Glen Smith Spectrum","",2021,-111.8116607,41.7476119
"North Carolina A&T","MEAC",4.2,8,-4.9,10,9.4,37,-0.9,160,2.7,2,800,91,180,"MEAC","Corbett Sports Center","",2021,-79.7690552,36.0767649
"Louisiana Tech","CUSA",4.2,9,-3.4,88,11.4,5,-2.6,2,2.5,6,300,210,139,"CUSA","Thomas Assembly Center","",2021,-92.6585828,32.5320633
"Iowa","B10",4.1,10,-5,7,9.3,39,-0.9,167,2.1,20,700,113,28,"B10","Carver Hawkeye Arena","",2021,-91.5546047,41.663778
"Utah","P12",4.1,11,-3,128,10.5,14,-1.8,29,0.6,299,4800,10,29,"P12","Huntsman Center","",2021,-111.8387829,40.762049
"Wake Forest","ACC",4.1,12,-5.2,2,7.8,83,-1.4,69,1.7,70,1000,58,33,"ACC","Joel Coliseum","",2021,-80.2574934,36.1277077
"Stanford","P12",4.1,13,-4.1,34,11,8,-1.1,129,2.6,5,100,259,156,"P12","Maples Pavilion","",2021,-122.1606333,37.4296194
"Arkansas","SEC",4.1,14,-4.5,19,8.8,54,-0.7,204,2.5,7,1300,41,7,"SEC","Bud Walton Arena","",2021,-94.1780556,36.0616667
"Saint Louis","A10",4.1,15,-5.3,1,7.8,86,-1.8,38,1.5,103,500,166,73,"A10","Chaifetz Arena","",2021,-90.2278912,38.6325363
