id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,startDate,notes_type,notes_headline,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,format.regulation.periods,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,home.score,home.winner,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.isActive,away.venue.id,away.logo,away.conferenceId,away.score,away.winner,game_id,season,season_type,away.alternateColor,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId
313150041,s:40~l:41~e:313150041~c:313150041,2011-11-12T00:00Z,10167,True,False,False,False,2011-11-12T00:00Z,,,0,N/A,1956,Gampel Pavilion,Storrs,CT,10167.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,41,s:40~l:41~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,001d40,f1f2f3,True,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,70,True,171,s:40~l:41~t:171,Columbia,Lions,CLMB,Columbia Lions,Columbia,174785,True,2002,https://a.espncdn.com/i/teamlogos/ncaa/500/171.png,12,57,False,313150041,2012,2,004b85,,,,,,
313150150,s:40~l:41~e:313150150~c:313150150,2011-11-12T02:00Z,9314,True,False,False,False,2011-11-12T02:00Z,event,EA SPORTS MAUI INVITATIONAL,1,STD,1914,Cameron Indoor Stadium,Durham,NC,9314.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,150,s:40~l:41~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,001A57,f1f2f3,True,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,77,True,2057,s:40~l:41~t:2057,Belmont,Bruins,BEL,Belmont Bruins,Belmont,182142,True,2098,https://a.espncdn.com/i/teamlogos/ncaa/500/2057.png,46,76,False,313150150,2012,2,c9262d,,,,,,
313150238,s:40~l:41~e:313150238~c:313150238,2011-11-12T03:00Z,14316,True,False,False,False,2011-11-12T03:00Z,,,0,N/A,2084,Memorial Gymnasium (Vanderbilt),Nashville,TN,14316.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,238,s:40~l:41~t:238,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Vanderbilt,000000,231f20,True,2084,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,23,78,True,2483,s:40~l:41~t:2483,Oregon,Ducks,ORE,Oregon Ducks,Oregon,044520,True,1977,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,21,64,False,313150238,2012,2,fee123,,,,,,
313150057,s:40~l:41~e:313150057~c:313150057,2011-11-12T00:00Z,10059,True,False,False,False,2011-11-12T00:00Z,,,0,N/A,360,Exactech Arena at Stephen C. O'Connell Center,Gainesville,FL,10151.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,57,s:40~l:41~t:57,Florida,Gators,FLA,Florida Gators,Florida,0021A5,0021a5,True,360,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,23,99,True,2296,s:40~l:41~t:2296,Jackson State,Tigers,JKST,Jackson State Tigers,Jackson St,123297,True,1945,https://a.espncdn.com/i/teamlogos/ncaa/500/2296.png,26,59,False,313150057,2012,2,b5b7ba,,,,,,
313150097,s:40~l:41~e:313150097~c:313150097,2011-11-12T00:00Z,20485,True,False,False,False,2011-11-12T00:00Z,,,0,N/A,2030,KFC Yum! Center,Louisville,KY,22000.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,97,s:40~l:41~t:97,Louisville,Cardinals,LOU,Louisville Cardinals,Louisville,ad000a,cccccc,True,2030,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,4,83,True,2630,s:40~l:41~t:2630,UT Martin,Skyhawks,UTM,UT Martin Skyhawks,UT Martin,FF6700,True,2043,https://a.espncdn.com/i/teamlogos/ncaa/500/2630.png,20,48,False,313150097,2012,2,102a5c,,,,,,
313150221,s:40~l:41~e:313150221~c:313150221,2011-11-12T00:00Z,10125,True,False,False,False,2011-11-12T00:00Z,,,1,STD,2025,Petersen Events Center,Pittsburgh,PA,12508.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,221,s:40~l:41~t:221,Pittsburgh,Panthers,PITT,Pittsburgh Panthers,Pittsburgh,003263,231f20,True,2025,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png,4,89,True,399,s:40~l:41~t:399,Albany,Great Danes,ALB,Albany Great Danes,Albany,3D2777,True,1976,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,1,56,False,313150221,2012,2,ffffff,,,,,,
313150239,s:40~l:41~e:313150239~c:313150239,2011-11-12T03:00Z,7359,True,False,False,False,2011-11-12T03:00Z,,,0,N/A,1049,Ferrell Center,Waco,TX,10284.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,239,s:40~l:41~t:239,Baylor,Bears,BAY,Baylor Bears,Baylor,004834,ffb81c,True,1049,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,8,77,True,2640,s:40~l:41~t:2640,Texas Southern,Tigers,TXSO,Texas Southern Tigers,Texas Southern,6A0403,True,2165,https://a.espncdn.com/i/teamlogos/ncaa/500/2640.png,26,57,False,313150239,2012,2,ebebeb,,,,,,
313152305,s:40~l:41~e:313152305~c:313152305,2011-11-12T01:00Z,16300,True,False,False,False,2011-11-12T01:00Z,event,EA SPORTS MAUI INVITATIONAL,0,N/A,2171,Allen Fieldhouse,Lawrence,KS,16300.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2305,s:40~l:41~t:2305,Kansas,Jayhawks,KU,Kansas Jayhawks,Kansas,0022B4,e8000d,True,2171,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,8,100,True,119,s:40~l:41~t:119,Towson,Tigers,TOW,Towson Tigers,Towson,FFC229,True,4603,https://a.espncdn.com/i/teamlogos/ncaa/500/119.png,10,54,False,313152305,2012,2,,,,,,,
313152752,s:40~l:41~e:313152752~c:313152752,2011-11-12T00:00Z,10250,True,False,False,False,2011-11-12T00:00Z,,,0,N/A,1973,Cintas Center,Cincinnati,OH,10224.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2752,s:40~l:41~t:2752,Xavier,Musketeers,XAV,Xavier Musketeers,Xavier,002144,9ea2a2,True,1973,https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png,3,74,True,2415,s:40~l:41~t:2415,Morgan State,Bears,MORG,Morgan State Bears,Morgan State,014786,True,2021,https://a.espncdn.com/i/teamlogos/ncaa/500/2415.png,16,63,False,313152752,2012,2,f47937,,,,,,
313150026,s:40~l:41~e:313150026~c:313150026,2011-11-12T03:30Z,5382,True,False,False,False,2011-11-12T03:30Z,,,0,N/A,2224,Los Angeles Memorial Sports Arena,Los Angeles,CA,15000.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,26,s:40~l:41~t:26,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,005C8E,ffc72c,True,479,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,21,58,False,2351,s:40~l:41~t:2351,Loyola Marymount,Lions,LMU,Loyola Marymount Lions,LMU,880029,True,2173,https://a.espncdn.com/i/teamlogos/ncaa/500/2351.png,29,69,True,313150026,2012,2,00345b,,,,,,
313150130,s:40~l:41~e:313150130~c:313150130,2011-11-12T00:00Z,0,True,False,False,False,2011-11-12T00:00Z,,,0,N/A,1986,Crisler Center,Ann Arbor,MI,12707.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,130,s:40~l:41~t:130,Michigan,Wolverines,MICH,Michigan Wolverines,Michigan,00274c,00274c,True,1986,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,7,59,True,2222,s:40~l:41~t:2222,Ferris State,Bulldogs,FRST,Ferris State Bulldogs,Ferris State,000000,False,,https://a.espncdn.com/i/teamlogos/ncaa/500/2222.png,,33,False,313150130,2012,2,,,,,,,
313150333,s:40~l:41~e:313150333~c:313150333,2011-11-12T01:00Z,11754,True,False,False,False,2011-11-12T01:00Z,,,0,N/A,1925,Coleman Coliseum,Tuscaloosa,AL,15383.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,333,s:40~l:41~t:333,Alabama,Crimson Tide,ALA,Alabama Crimson Tide,Alabama,690014,f1f2f3,True,1925,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,23,64,True,2454,s:40~l:41~t:2454,North Florida,Ospreys,UNF,North Florida Ospreys,North Florida,004B8D,True,2123,https://a.espncdn.com/i/teamlogos/ncaa/500/2454.png,46,44,False,313150333,2012,2,babcbe,,,,,,
313150269,s:40~l:41~e:313150269~c:313150269,2011-11-12T02:00Z,13834,True,False,False,False,2011-11-12T02:00Z,,,0,N/A,2099,BMO Harris Bradley Center,Milwaukee,WI,18717.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,269,s:40~l:41~t:269,Marquette,Golden Eagles,MARQ,Marquette Golden Eagles,Marquette,083963,ffffff,True,5777,https://a.espncdn.com/i/teamlogos/ncaa/500/269.png,4,91,True,116,s:40~l:41~t:116,Mount St. Mary's,Mountaineers,MSM,Mount St. Mary's Mountaineers,Mount St Mary,005596,True,2175,https://a.espncdn.com/i/teamlogos/ncaa/500/116.png,19,37,False,313150269,2012,2,ebebeb,,,,,,
313152250,s:40~l:41~e:313152250~c:313152250,2011-11-12T04:05Z,0,True,False,False,False,2011-11-12T04:05Z,,,0,N/A,1979,McCarthey Athletic Center,Spokane,WA,6000.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2250,s:40~l:41~t:2250,Gonzaga,Bulldogs,GONZ,Gonzaga Bulldogs,Gonzaga,002967,cfd4d8,True,1979,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,29,77,True,331,s:40~l:41~t:331,Eastern Washington,Eagles,EWU,Eastern Washington Eagles,E Washington,a10022,True,1959,https://a.espncdn.com/i/teamlogos/ncaa/500/331.png,5,69,False,313152250,2012,2,abb4bc,,,,,,
313150025,s:40~l:41~e:313150025~c:313150025,2011-11-12T03:30Z,5305,True,False,False,False,2011-11-12T03:30Z,,,0,N/A,496,Haas Pavilion,Berkeley,CA,11877.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,25,s:40~l:41~t:25,California,Golden Bears,CAL,California Golden Bears,California,031522,ffc423,True,496,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,21,77,True,300,s:40~l:41~t:300,UC Irvine,Anteaters,UCI,UC Irvine Anteaters,UC Irvine,002B5C,True,469,https://a.espncdn.com/i/teamlogos/ncaa/500/300.png,9,56,False,313150025,2012,2,fec52e,,,,,,
313150142,s:40~l:41~e:313150142~c:313150142,2011-11-12T01:00Z,9612,True,False,False,False,2011-11-12T01:00Z,,,0,N/A,2071,Mizzou Arena,Columbia,MO,15061.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,142,s:40~l:41~t:142,Missouri,Tigers,MIZ,Missouri Tigers,Missouri,000000,000000,True,2071,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,8,83,True,2546,s:40~l:41~t:2546,Southeast Missouri State,Redhawks,SEMO,Southeast Missouri State Redhawks,SE Missouri St,cc0000,True,1917,https://a.espncdn.com/i/teamlogos/ncaa/500/2546.png,20,68,False,313150142,2012,2,080808,,,,,,
313150167,s:40~l:41~e:313150167~c:313150167,2011-11-11T17:00Z,14011,False,False,False,False,2011-11-11T17:00Z,,,0,N/A,2024,The Pit,Albuquerque,NM,15411.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,167,s:40~l:41~t:167,New Mexico,Lobos,UNM,New Mexico Lobos,New Mexico,000000,231f20,True,2024,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png,44,92,True,2443,s:40~l:41~t:2443,New Orleans,Privateers,UNO,New Orleans Privateers,New Orleans,005da6,True,1926,https://a.espncdn.com/i/teamlogos/ncaa/500/2443.png,25,40,False,313150167,2012,2,a2a9ae,,,,,,
313150140,s:40~l:41~e:313150140~c:313150140,2011-11-11T19:00Z,753,True,False,False,False,2011-11-11T19:00Z,,,1,STD,,,,,,,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,140,s:40~l:41~t:140,Kansas City,Roos,KC,Kansas City Roos,Kansas City,004b87,ffc72c,True,4052,https://a.espncdn.com/i/teamlogos/ncaa/500/140.png,49,62,False,138,s:40~l:41~t:138,NW Missouri State,Bearcats,NWMS,NW Missouri State Bearcats,NWMoSt,000000,False,,https://a.espncdn.com/i/teamlogos/ncaa/500/138.png,,66,True,313150140,2012,2,,,,,,,
