id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,startDate,notes_type,notes_headline,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,format.regulation.periods,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,home.score,home.winner,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.isActive,away.logo,away.conferenceId,away.score,away.winner,game_id,season,season_type,away.venue.id,away.alternateColor,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId
401371311,s:40~l:41~e:401371311~c:401371311,2022-01-14T04:00Z,6000,True,False,True,False,2022-01-14T04:00Z,,,0,N/A,1979,McCarthey Athletic Center,Spokane,WA,6000,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2250,s:40~l:41~t:2250,Gonzaga,Bulldogs,GONZ,Gonzaga Bulldogs,Gonzaga,002967,cfd4d8,True,1979,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,29,110,True,252,s:40~l:41~t:252,BYU,Cougars,BYU,BYU Cougars,BYU,001E4C,True,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,29,84,False,401371311,2022,2,2108,ffffff,,29,West Coast Conference,WCC,True,
401377410,s:40~l:41~e:401377410~c:401377410,2022-01-14T02:30Z,119,True,False,True,False,2022-01-14T02:30Z,,,0,N/A,479,Pauley Pavilion,Los Angeles,CA,13800,True,0.0,0:00,3,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,2,26,s:40~l:41~t:26,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,005C8E,ffc72c,True,479,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,21,81,False,2483,s:40~l:41~t:2483,Oregon,Ducks,ORE,Oregon Ducks,Oregon,044520,True,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,21,84,True,401377410,2022,2,1977,fee123,OT,21,Pac-12 Conference,Pac-12,True,
401377412,s:40~l:41~e:401377412~c:401377412,2022-01-14T04:00Z,0,True,False,True,False,2022-01-14T04:00Z,,,0,N/A,1918,Galen Center,Los Angeles,CA,10258,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,30,s:40~l:41~t:30,USC,Trojans,USC,USC Trojans,USC,ffc72c,ae2531,True,1918,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,21,81,True,204,s:40~l:41~t:204,Oregon State,Beavers,ORST,Oregon State Beavers,Oregon State,c34500,True,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,21,71,False,401377412,2022,2,506,dea076,,21,Pac-12 Conference,Pac-12,True,
401377411,s:40~l:41~e:401377411~c:401377411,2022-01-14T04:00Z,13515,True,False,True,False,2022-01-14T04:00Z,,,0,N/A,1064,McKale Center,Tucson,AZ,14644,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,12,s:40~l:41~t:12,Arizona,Wildcats,ARIZ,Arizona Wildcats,Arizona,002449,00205b,True,1064,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,21,76,True,38,s:40~l:41~t:38,Colorado,Buffaloes,COLO,Colorado Buffaloes,Colorado,d1c57e,True,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,21,55,False,401377411,2022,2,2207,ffd200,,21,Pac-12 Conference,Pac-12,True,
401364379,s:40~l:41~e:401364379~c:401364379,2022-01-14T00:00Z,15571,True,False,True,False,2022-01-14T00:00Z,,,0,N/A,348,Kohl Center,Madison,WI,17287,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,275,s:40~l:41~t:275,Wisconsin,Badgers,WISC,Wisconsin Badgers,Wisconsin,A00002,f7f7f7,True,348,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,7,78,True,194,s:40~l:41~t:194,Ohio State,Buckeyes,OSU,Ohio State Buckeyes,Ohio State,de3129,True,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,7,68,False,401364379,2022,2,317,666666,,7,Big Ten Conference,Big Ten,True,
401398458,s:40~l:41~e:401398458~c:401398458,2022-01-14T00:00Z,14853,True,False,True,False,2022-01-14T00:00Z,,,0,N/A,2047,United Supermarkets Arena,Lubbock,TX,15098,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2641,s:40~l:41~t:2641,Texas Tech,Red Raiders,TTU,Texas Tech Red Raiders,Texas Tech,C80025,231f20,True,2047,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,8,78,True,197,s:40~l:41~t:197,Oklahoma State,Cowboys,OKST,Oklahoma State Cowboys,Oklahoma State,FF6500,True,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,8,57,False,401398458,2022,2,1992,ff9900,,8,Big 12 Conference,Big 12,True,
401398907,s:40~l:41~e:401398907~c:401398907,2022-01-13T22:00Z,2255,True,False,True,False,2022-01-13T22:00Z,,,0,N/A,5427,Wintrust Arena,Chicago,IL,10387,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,305,s:40~l:41~t:305,DePaul,Blue Demons,DEP,DePaul Blue Demons,DePaul,2d649c,ce1125,True,5427,https://a.espncdn.com/i/teamlogos/ncaa/500/305.png,4,96,True,2550,s:40~l:41~t:2550,Seton Hall,Pirates,HALL,Seton Hall Pirates,Seton Hall,0857B1,True,https://a.espncdn.com/i/teamlogos/ncaa/500/2550.png,4,92,False,401398907,2022,2,1826,8a8d8f,,4,Big East Conference,Big East,True,
401369247,s:40~l:41~e:401369247~c:401369247,2022-01-13T21:30Z,628,True,False,True,False,2022-01-13T21:30Z,,,0,N/A,2015,KSU Convocation Center,Kennesaw,GA,4800,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,338,s:40~l:41~t:338,Kennesaw State,Owls,KENN,Kennesaw State Owls,Kennesaw State,000000,fdbb30,True,2015,https://a.espncdn.com/i/teamlogos/ncaa/500/338.png,46,77,True,526,s:40~l:41~t:526,Florida Gulf Coast,Eagles,FGCU,Florida Gulf Coast Eagles,FGCU,00885a,True,https://a.espncdn.com/i/teamlogos/ncaa/500/526.png,46,53,False,401369247,2022,2,2101,076c3b,,46,ASUN Conference,ASUN,True,
401377408,s:40~l:41~e:401377408~c:401377408,2022-01-13T22:00Z,2612,True,False,True,False,2022-01-13T22:00Z,,,0,N/A,2052,Friel Court at Beasley Coliseum,Pullman,WA,11671,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,265,s:40~l:41~t:265,Washington State,Cougars,WSU,Washington State Cougars,Washington St,94022a,6a747c,True,2052,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png,21,57,False,24,s:40~l:41~t:24,Stanford,Cardinal,STAN,Stanford Cardinal,Stanford,A80532,True,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,21,62,True,401377408,2022,2,820,ffffff,,21,Pac-12 Conference,Pac-12,True,
401381750,s:40~l:41~e:401381750~c:401381750,2022-01-13T23:00Z,645,True,False,True,False,2022-01-13T23:00Z,,,0,N/A,2186,Christl Arena,West Point,NY,5043,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,349,s:40~l:41~t:349,Army,Black Knights,ARMY,Army Black Knights,Army,ce9c00,231f20,True,2186,https://a.espncdn.com/i/teamlogos/ncaa/500/349.png,22,73,True,104,s:40~l:41~t:104,Boston University,Terriers,BU,Boston University Terriers,Boston Univ,cc0000,True,https://a.espncdn.com/i/teamlogos/ncaa/500/104.png,22,63,False,401381750,2022,2,1999,ffffff,,22,Patriot League,Patriot,True,
