id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,startDate,notes_type,notes_headline,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,format.regulation.periods,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,home.score,home.winner,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,away.score,away.winner,game_id,season,season_type,groups.id,groups.name,groups.shortName,groups.isConference,status.type.altDetail,tournamentId
401260006,s:40~l:41~e:401260006~c:401260006,2020-11-26T02:56Z,0,True,True,False,False,2020-11-26T02:56Z,event,2K Empire Classic,0,N/A,2160,Mohegan Sun Arena,Uncasville,CT,10000,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,103,s:40~l:41~t:103,Boston College,Eagles,BC,Boston College Eagles,Boston College,88001a,a39161,True,135,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,2,67,False,222,s:40~l:41~t:222,Villanova,Wildcats,VILL,Villanova Wildcats,Villanova,123d7C,f0f0f0,True,1969,https://a.espncdn.com/i/teamlogos/ncaa/500/222.png,4,76,True,401260006,2021,2,,,,,,
401255645,s:40~l:41~e:401255645~c:401255645,2020-11-25T18:30Z,0,True,True,False,False,2020-11-25T18:30Z,event,Bubbleville,9,QRR,2160,Mohegan Sun Arena,Uncasville,CT,10000,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,258,s:40~l:41~t:258,Virginia,Cavaliers,UVA,Virginia Cavaliers,Virginia,f84c1e,ffffff,True,1927,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,2,89,True,119,s:40~l:41~t:119,Towson,Tigers,TOW,Towson Tigers,Towson,FFC229,,True,4603,https://a.espncdn.com/i/teamlogos/ncaa/500/119.png,10,54,False,401255645,2021,2,,,,,,
401263443,s:40~l:41~e:401263443~c:401263443,2020-11-25T21:00Z,535,True,False,False,False,2020-11-25T21:00Z,,,0,N/A,363,Carver-Hawkeye Arena,Iowa City,IA,15000,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2294,s:40~l:41~t:2294,Iowa,Hawkeyes,IOWA,Iowa Hawkeyes,Iowa,000000,ffe100,True,363,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,7,97,True,2428,s:40~l:41~t:2428,North Carolina Central,Eagles,NCCU,North Carolina Central Eagles,NC Central,880023,c2c3c0,True,2081,https://a.espncdn.com/i/teamlogos/ncaa/500/2428.png,16,67,False,401263443,2021,2,,,,,,
401259032,s:40~l:41~e:401259032~c:401259032,2020-11-26T03:00Z,0,True,False,False,False,2020-11-26T03:00Z,,,0,N/A,348,Kohl Center,Madison,WI,17142,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,275,s:40~l:41~t:275,Wisconsin,Badgers,WISC,Wisconsin Badgers,Wisconsin,A00002,f7f7f7,True,348,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,7,77,True,2197,s:40~l:41~t:2197,Eastern Illinois,Panthers,EIU,Eastern Illinois Panthers,E Illinois,000000,bebab9,True,2138,https://a.espncdn.com/i/teamlogos/ncaa/500/2197.png,20,67,False,401259032,2021,2,,,,,,
401262371,s:40~l:41~e:401262371~c:401262371,2020-11-25T19:00Z,132,True,False,False,False,2020-11-25T19:00Z,,,0,N/A,2127,State Farm Center,Champaign,IL,15544,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,356,s:40~l:41~t:356,Illinois,Fighting Illini,ILL,Illinois Fighting Illini,Illinois,f77329,fa6300,True,2127,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,7,122,True,2448,s:40~l:41~t:2448,North Carolina A&T,Aggies,NCAT,North Carolina A&T Aggies,NC A&T,0505aa,004684,True,2066,https://a.espncdn.com/i/teamlogos/ncaa/500/2448.png,16,60,False,401262371,2021,2,,,,,,
401258857,s:40~l:41~e:401258857~c:401258857,2020-11-25T23:00Z,3075,True,False,False,False,2020-11-25T23:00Z,event,Bluegrass Showcase,0,N/A,251,Rupp Arena,Lexington,KY,20500,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,96,s:40~l:41~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Kentucky,005DAA,ffffff,True,251,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,23,81,True,2413,s:40~l:41~t:2413,Morehead State,Eagles,MORE,Morehead State Eagles,Morehead State,094FA3,fed91a,True,2174,https://a.espncdn.com/i/teamlogos/ncaa/500/2413.png,20,45,False,401258857,2021,2,,,,,,
401263445,s:40~l:41~e:401263445~c:401263445,2020-11-25T23:00Z,0,True,False,False,False,2020-11-25T23:00Z,,,0,N/A,1987,Breslin Center,East Lansing,MI,14797,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,127,s:40~l:41~t:127,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan State,18453B,ffffff,True,1987,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,7,83,True,2199,s:40~l:41~t:2199,Eastern Michigan,Eagles,EMU,Eastern Michigan Eagles,E Michigan,00331b,f0f0f0,True,2109,https://a.espncdn.com/i/teamlogos/ncaa/500/2199.png,14,67,False,401263445,2021,2,,,,,,
401259558,s:40~l:41~e:401259558~c:401259558,2020-11-26T00:00Z,3345,True,False,False,False,2020-11-26T00:00Z,,,0,N/A,2047,United Supermarkets Arena,Lubbock,TX,15098,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2641,s:40~l:41~t:2641,Texas Tech,Red Raiders,TTU,Texas Tech Red Raiders,Texas Tech,C80025,231f20,True,2047,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,8,101,True,2466,s:40~l:41~t:2466,Northwestern State,Demons,NWST,Northwestern State Demons,N'Western St,492F91,ed6118,True,1939,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,25,58,False,401259558,2021,2,,,,,,
401265652,s:40~l:41~e:401265652~c:401265652,2020-11-26T00:00Z,0,True,True,False,False,2020-11-26T00:00Z,event,Bad Boy Mowers Crossover Classic,9,QRR,4796,Sanford Pentagon,Sioux Falls,SD,0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,277,s:40~l:41~t:277,West Virginia,Mountaineers,WVU,West Virginia Mountaineers,West Virginia,FFC600,eaaa00,True,2199,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,8,79,True,2571,s:40~l:41~t:2571,South Dakota State,Jackrabbits,SDST,South Dakota State Jackrabbits,S Dakota St,005DAB,c33139,True,1996,https://a.espncdn.com/i/teamlogos/ncaa/500/2571.png,49,71,False,401265652,2021,2,,,,,,
401252794,s:40~l:41~e:401252794~c:401252794,2020-11-25T23:00Z,0,True,False,False,False,2020-11-25T23:00Z,,,0,N/A,207,Dean E. Smith Center,Chapel Hill,NC,21750,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,153,s:40~l:41~t:153,North Carolina,Tar Heels,UNC,North Carolina Tar Heels,North Carolina,99bfe5,13294b,True,207,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,2,79,True,232,s:40~l:41~t:232,Charleston,Cougars,COFC,Charleston Cougars,Charleston,9c8456,e4e2dd,True,1955,https://a.espncdn.com/i/teamlogos/ncaa/500/232.png,10,60,False,401252794,2021,2,,,,,,
