id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,game_id,season_type,season,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,PBP,team_box,player_box
290742509,s:40~l:41~e:290742509~c:290742509,2009-03-15T19:30Z,0,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""""""""""""""""""BIG TEN MEN'S TOURNAMENT - FINAL""""""""""""""""""""""""""""""""}]",2009-03-15T19:30Z,9,QRR,2183,Bankers Life Fieldhouse,Indianapolis,IN,17923,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2509,s:40~l:41~t:2509,Purdue,Boilermakers,PUR,Purdue Boilermakers,Purdue,B89D29,a4a9ad,TRUE,399,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,7,194,s:40~l:41~t:194,Ohio State,Buckeyes,OSU,Ohio State Buckeyes,Ohio State,de3129,666666,TRUE,317,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,7,290742509,2,2009,"",7,Big Ten Conference,Big Ten,TRUE,9,TRUE,TRUE,TRUE
290740150,s:40~l:41~e:290740150~c:290740150,2009-03-15T17:00Z,0,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""""""""""""""""""ACC MEN'S TOURNAMENT - FINAL""""""""""""""""""""""""""""""""}]",2009-03-15T17:00Z,1,STD,3495,Georgia Dome,Atlanta,GA,0,FALSE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,150,s:40~l:41~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,001A57,f1f2f3,TRUE,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,52,s:40~l:41~t:52,Florida State,Seminoles,FSU,Florida State Seminoles,Florida State,782F40,ceb888,TRUE,1952,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,2,290740150,2,2009,"",2,Atlantic Coast Conference,ACC,TRUE,3,TRUE,TRUE,TRUE
290742633,s:40~l:41~e:290742633~c:290742633,2009-03-15T17:00Z,0,TRUE,TRUE,TRUE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""""""""""""""""""SEC MEN'S TOURNAMENT - FINAL""""""""""""""""""""""""""""""""}]",2009-03-15T17:00Z,,"",1396,Amalie Arena,Tampa,FL,0,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2633,s:40~l:41~t:2633,Tennessee,Volunteers,TENN,Tennessee Volunteers,Tennessee,EE9627,ffffff,TRUE,2044,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,23,344,s:40~l:41~t:344,Mississippi State,Bulldogs,MSST,Mississippi State Bulldogs,Mississippi St,762123,c8c8c8,TRUE,2095,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,23,290742633,2,2009,"",23,Southeastern Conference,SEC,TRUE,27,TRUE,TRUE,TRUE
290742617,s:40~l:41~e:290742617~c:290742617,2009-03-15T17:00Z,0,TRUE,TRUE,TRUE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""""""""""""""""""SOUTHLAND MEN'S TOURNAMENT - FINAL""""""""""""""""""""""""""""""""}]",2009-03-15T17:00Z,0,N/A,3479,Leonard E. Merrell Center,Katy,TX,5794,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2617,s:40~l:41~t:2617,Stephen F. Austin,Lumberjacks,SFA,Stephen F. Austin Lumberjacks,SF Austin,393996,bec0c2,TRUE,2079,https://a.espncdn.com/i/teamlogos/ncaa/500/2617.png,30,2636,s:40~l:41~t:2636,UTSA,Roadrunners,UTSA,UTSA Roadrunners,UTSA,002A5C,f47321,TRUE,2115,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,11,290742617,2,2009,"",,"","",,,TRUE,TRUE,TRUE
290732463,s:40~l:41~e:290732463~c:290732463,2009-03-15T04:00Z,0,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""""""""""""""""""BIG WEST MEN'S TOURNAMENT - FINAL""""""""""""""""""""""""""""""""}]",2009-03-15T04:00Z,0,N/A,2560,Anaheim Convention Center,Anaheim,CA,0,TRUE,0,0:00,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2463,s:40~l:41~t:2463,CSU Northridge,Matadors,CSUN,CSU Northridge Matadors,CSU Northridge,b50000,"",TRUE,586,https://a.espncdn.com/i/teamlogos/ncaa/500/2463.png,9,279,s:40~l:41~t:279,Pacific,Tigers,PAC,Pacific Tigers,Pacific,F47820,c2c3c0,TRUE,553,https://a.espncdn.com/i/teamlogos/ncaa/500/279.png,9,290732463,2,2009,OT,9,Big West Conference,Big West,TRUE,,TRUE,TRUE,TRUE
290730328,s:40~l:41~e:290730328~c:290730328,2009-03-15T02:00Z,0,TRUE,TRUE,TRUE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""""""""""""""""""WAC MEN'S TOURNAMENT - FINAL AT RENO NV""""""""""""""""""""""""""""""""}]",2009-03-15T02:00Z,1,STD,461,Lawlor Events Center,Reno,NV,11536,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,328,s:40~l:41~t:328,Utah State,Aggies,USU,Utah State Aggies,Utah State,003263,949ca1,TRUE,2128,https://a.espncdn.com/i/teamlogos/ncaa/500/328.png,30,2440,s:40~l:41~t:2440,Nevada,Wolf Pack,NEV,Nevada Wolf Pack,Nevada,153E5F,8e9295,TRUE,461,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,30,290730328,2,2009,"",30,Western Athletic Conference,WAC,TRUE,,TRUE,TRUE,TRUE
290730097,s:40~l:41~e:290730097~c:290730097,2009-03-15T01:00Z,0,TRUE,TRUE,TRUE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""""""""""""""""""BIG EAST MEN'S CHAMPIONSHIP - FINAL AT NEW YORK NY""""""""""""""""""""""""""""""""}]",2009-03-15T01:00Z,6,TRNMNT,1830,Madison Square Garden,New York,NY,19812,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,97,s:40~l:41~t:97,Louisville,Cardinals,LOU,Louisville Cardinals,Louisville,ad000a,cccccc,TRUE,2030,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,4,183,s:40~l:41~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,F37321,0d1d37,TRUE,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,4,290730097,2,2009,"",4,Big East Conference,Big East,TRUE,6,TRUE,TRUE,TRUE
290732011,s:40~l:41~e:290732011~c:290732011,2009-03-15T01:00Z,0,TRUE,TRUE,TRUE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""""""""""""""""""SWAC MEN'S TOURNAMENT - FINAL AT BIRMINGHAM AL""""""""""""""""""""""""""""""""}]",2009-03-15T01:00Z,0,N/A,,"","","",,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2011,s:40~l:41~t:2011,Alabama State,Hornets,ALST,Alabama State Hornets,Alabama State,e9a900,0a0a0a,TRUE,2204,https://a.espncdn.com/i/teamlogos/ncaa/500/2011.png,26,2296,s:40~l:41~t:2296,Jackson State,Tigers,JKST,Jackson State Tigers,Jackson State,123297,b5b7ba,TRUE,1945,https://a.espncdn.com/i/teamlogos/ncaa/500/2296.png,26,290732011,2,2009,"",26,Southwestern Athletic Conference,SWAC,TRUE,,TRUE,TRUE,TRUE
290732084,s:40~l:41~e:290732084~c:290732084,2009-03-15T00:00Z,0,TRUE,TRUE,TRUE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""""""""""""""""""MAC MEN'S TOURNAMENT - FINAL AT CLEVELAND OH""""""""""""""""""""""""""""""""}]",2009-03-15T00:00Z,1,STD,3417,Rocket Mortgage FieldHouse,Cleveland,OH,19432,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2084,s:40~l:41~t:2084,Buffalo,Bulls,BUFF,Buffalo Bulls,Buffalo,041A9B,ebebeb,TRUE,2107,https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,14,2006,s:40~l:41~t:2006,Akron,Zips,AKR,Akron Zips,Akron,00285e,84754e,TRUE,2203,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,14,290732084,2,2009,"",14,Mid-American Conference,MAC,TRUE,,TRUE,TRUE,TRUE
290730254,s:40~l:41~e:290730254~c:290730254,2009-03-14T23:00Z,0,TRUE,TRUE,TRUE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""""""""""""""""""MOUNTAIN WEST MEN'S CHAMPIONSHIP - FINAL AT LAS VEGAS NV""""""""""""""""""""""""""""""""}]",2009-03-14T23:00Z,0,N/A,2083,Thomas & Mack Center,Las Vegas,NV,18000,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,254,s:40~l:41~t:254,Utah,Utes,UTAH,Utah Utes,Utah,890012,7e8083,TRUE,2196,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,44,21,s:40~l:41~t:21,San Diego State,Aztecs,SDSU,San Diego State Aztecs,San Diego State,BF2C37,a8996e,TRUE,2111,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,44,290730254,2,2009,"",44,Mountain West Conference,Mountain West,TRUE,,TRUE,TRUE,TRUE
