id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,game_id,season_type,status.type.altDetail,season,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,PBP,team_box
400873390,s:40~l:41~e:400873390~c:400873390,2016-03-31T23:00Z,7016,TRUE,TRUE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - CHAMPIONSHIP'}]",2016-03-31T23:00Z,,"",1830,Madison Square Garden,New York,NY,19812,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2674,s:40~l:41~t:2674,Valparaiso,Beacons,VALP,Valparaiso Beacons,Valparaiso,794500,"",TRUE,2159,https://a.espncdn.com/i/teamlogos/ncaa/500/2674.png,45,45,s:40~l:41~t:45,George Washington,Colonials,GW,George Washington Colonials,G Washington,002843,e8d2a1,TRUE,2125,https://a.espncdn.com/i/teamlogos/ncaa/500/45.png,3,400873390,3,"",2016,,"","",,21,TRUE,TRUE
400872964,s:40~l:41~e:400872964~c:400872964,2016-03-30T01:32Z,8298,TRUE,TRUE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - SEMIFINAL'}]",2016-03-30T01:32Z,,"",1830,Madison Square Garden,New York,NY,19812,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,21,s:40~l:41~t:21,San Diego State,Aztecs,SDSU,San Diego State Aztecs,San Diego State,BF2C37,a8996e,TRUE,2111,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,44,45,s:40~l:41~t:45,George Washington,Colonials,GW,George Washington Colonials,G Washington,002843,e8d2a1,TRUE,2125,https://a.espncdn.com/i/teamlogos/ncaa/500/45.png,3,400872964,3,"",2016,,"","",,21,TRUE,TRUE
400872952,s:40~l:41~e:400872952~c:400872952,2016-03-29T23:00Z,0,TRUE,TRUE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - SEMIFINAL'}]",2016-03-29T23:00Z,1,STD,1830,Madison Square Garden,New York,NY,19812,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2674,s:40~l:41~t:2674,Valparaiso,Beacons,VALP,Valparaiso Beacons,Valparaiso,794500,"",TRUE,2159,https://a.espncdn.com/i/teamlogos/ncaa/500/2674.png,45,252,s:40~l:41~t:252,BYU,Cougars,BYU,BYU Cougars,BYU,001E4C,ffffff,TRUE,2108,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,29,400872952,3,"",2016,,"","",,21,TRUE,TRUE
400872599,s:40~l:41~e:400872599~c:400872599,2016-03-24T01:00Z,12414,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - QUARTERFINAL'}]",2016-03-24T01:00Z,,"",2111,Viejas Arena,San Diego,CA,12414,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,21,s:40~l:41~t:21,San Diego State,Aztecs,SDSU,San Diego State Aztecs,San Diego State,BF2C37,a8996e,TRUE,2111,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,44,59,s:40~l:41~t:59,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Georgia Tech,00223e,002c56,TRUE,2206,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,2,400872599,3,"",2016,,"","",,21,TRUE,TRUE
400872576,s:40~l:41~e:400872576~c:400872576,2016-03-23T23:00Z,3399,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - QUARTERFINAL'}]",2016-03-23T23:00Z,,"",360,Exactech Arena at Stephen C. O'Connell Center,Gainesville,FL,10151,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,45,s:40~l:41~t:45,George Washington,Colonials,GW,George Washington Colonials,G Washington,002843,e8d2a1,TRUE,2125,https://a.espncdn.com/i/teamlogos/ncaa/500/45.png,3,57,s:40~l:41~t:57,Florida,Gators,FLA,Florida Gators,Florida,0021A5,0021a5,TRUE,360,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,23,400872576,3,"",2016,,"","",,21,TRUE,TRUE
400872290,s:40~l:41~e:400872290~c:400872290,2016-03-23T01:00Z,15525,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - QUARTERFINAL'}]",2016-03-23T01:00Z,,"",2108,Marriott Center,Provo,UT,18987,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,252,s:40~l:41~t:252,BYU,Cougars,BYU,BYU Cougars,BYU,001E4C,ffffff,TRUE,2108,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,29,156,s:40~l:41~t:156,Creighton,Bluejays,CREI,Creighton Bluejays,Creighton,13299e,00235d,TRUE,353,https://a.espncdn.com/i/teamlogos/ncaa/500/156.png,4,400872290,3,"",2016,,"","",,21,TRUE,TRUE
400872393,s:40~l:41~e:400872393~c:400872393,2016-03-22T23:00Z,5444,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - QUARTERFINAL'}]",2016-03-22T23:00Z,,"",2159,Athletics-Recreation Center,Valparaiso,IN,5000,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2674,s:40~l:41~t:2674,Valparaiso,Beacons,VALP,Valparaiso Beacons,Valparaiso,794500,"",TRUE,2159,https://a.espncdn.com/i/teamlogos/ncaa/500/2674.png,45,2608,s:40~l:41~t:2608,Saint Mary's,Gaels,SMC,Saint Mary's Gaels,Saint Mary's,003768,d02f35,TRUE,488,https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png,29,400872393,3,"",2016,,"","",,21,TRUE,TRUE
400871675,s:40~l:41~e:400871675~c:400871675,2016-03-22T03:30Z,12414,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - 2ND ROUND'}]",2016-03-22T03:30Z,,"",2111,Viejas Arena,San Diego,CA,12414,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,21,s:40~l:41~t:21,San Diego State,Aztecs,SDSU,San Diego State Aztecs,San Diego State,BF2C37,a8996e,TRUE,2111,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,44,264,s:40~l:41~t:264,Washington,Huskies,WASH,Washington Huskies,Washington,2B2F64,e8e3d3,TRUE,782,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,21,400871675,3,"",2016,,"","",,21,TRUE,TRUE
400872093,s:40~l:41~e:400872093~c:400872093,2016-03-22T01:00Z,2856,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - 2ND ROUND'}]",2016-03-22T01:00Z,,"",1962,Colonial Life Arena,Columbia,SC,18000,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2579,s:40~l:41~t:2579,South Carolina,Gamecocks,SC,South Carolina Gamecocks,South Carolina,670010,000000,TRUE,1962,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,23,59,s:40~l:41~t:59,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Georgia Tech,00223e,002c56,TRUE,2206,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,2,400872093,3,"",2016,,"","",,21,TRUE,TRUE
400872094,s:40~l:41~e:400872094~c:400872094,2016-03-21T23:00Z,3442,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'NIT - 2ND ROUND'}]",2016-03-21T23:00Z,1,STD,2163,OceanFirst Bank Center,West Long Branch,NJ,4100,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2405,s:40~l:41~t:2405,Monmouth,Hawks,MONM,Monmouth Hawks,Monmouth,051844,"",TRUE,2163,https://a.espncdn.com/i/teamlogos/ncaa/500/2405.png,13,45,s:40~l:41~t:45,George Washington,Colonials,GW,George Washington Colonials,G Washington,002843,e8d2a1,TRUE,2125,https://a.espncdn.com/i/teamlogos/ncaa/500/45.png,3,400872094,3,"",2016,,"","",,21,TRUE,TRUE
