id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,game_id,season_type,season,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,PBP,team_box,player_box
240740356,s:40~l:41~e:240740356~c:240740356,2004-03-14T20:30Z,14617,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'BIG 10 CHAMPIONSHIP'}]",2004-03-14T20:30Z,0,N/A,2183,Bankers Life Fieldhouse,Indianapolis,IN,17923,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,356,s:40~l:41~t:356,Illinois,Fighting Illini,ILL,Illinois Fighting Illini,Illinois,f77329,fa6300,TRUE,2127,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,7,275,s:40~l:41~t:275,Wisconsin,Badgers,WISC,Wisconsin Badgers,Wisconsin,A00002,f7f7f7,TRUE,348,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,7,240740356,2,2004,"",7,Big Ten Conference,Big Ten,TRUE,FALSE,FALSE,FALSE
240740197,s:40~l:41~e:240740197~c:240740197,2004-03-14T20:00Z,17324,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'BIG 12 CHAMPIONSHIP'}]",2004-03-14T20:00Z,0,N/A,516,American Airlines Center,Dallas,TX,19200,FALSE,14,0:14,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,197,s:40~l:41~t:197,Oklahoma State,Cowboys,OKST,Oklahoma State Cowboys,Oklahoma State,FF6500,ff9900,TRUE,1992,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,8,251,s:40~l:41~t:251,Texas,Longhorns,TEX,Texas Longhorns,Texas,EE7524,f0f0f0,TRUE,2195,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,8,240740197,2,2004,"",8,Big 12 Conference,Big 12,TRUE,FALSE,FALSE,FALSE
240740150,s:40~l:41~e:240740150~c:240740150,2004-03-14T18:00Z,23745,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'ACC CHAMPIONSHIP'}]",2004-03-14T18:00Z,0,N/A,349,Greensboro Coliseum,Greensboro,NC,23500,TRUE,3,0:03,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,150,s:40~l:41~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,001A57,f1f2f3,TRUE,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,120,s:40~l:41~t:120,Maryland,Terrapins,MD,Maryland Terrapins,Maryland,D5002B,ffcd00,TRUE,2133,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,2,240740150,2,2004,OT,2,Atlantic Coast Conference,ACC,TRUE,FALSE,FALSE,FALSE
240740096,s:40~l:41~e:240740096~c:240740096,2004-03-14T18:00Z,22024,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'SEC CHAMPIONSHIP'}]",2004-03-14T18:00Z,0,N/A,3495,Georgia Dome,Atlanta,GA,0,FALSE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,96,s:40~l:41~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Kentucky,005DAA,ffffff,TRUE,251,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,23,57,s:40~l:41~t:57,Florida,Gators,FLA,Florida Gators,Florida,0021A5,0021a5,TRUE,360,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,23,240740096,2,2004,"",23,Southeastern Conference,SEC,TRUE,FALSE,FALSE,FALSE
240742329,s:40~l:41~e:240742329~c:240742329,2004-03-14T17:00Z,3668,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'PATRIOT CHAMPIONSHIP'}]",2004-03-14T17:00Z,0,N/A,2141,Stabler Arena,Bethlehem,PA,5600,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2329,s:40~l:41~t:2329,Lehigh,Mountain Hawks,LEH,Lehigh Mountain Hawks,Lehigh,6c2b2a,b69e70,TRUE,2141,https://a.espncdn.com/i/teamlogos/ncaa/500/2329.png,22,44,s:40~l:41~t:44,American University,Eagles,AMER,American University Eagles,American,c41130,c8102e,TRUE,1910,https://a.espncdn.com/i/teamlogos/ncaa/500/44.png,22,240742329,2,2004,"",22,Patriot League,Patriot,TRUE,FALSE,FALSE,FALSE
240730279,s:40~l:41~e:240730279~c:240730279,2004-03-14T05:00Z,2949,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'BIG WEST CHAMPIONSHIP'}]",2004-03-14T05:00Z,0,N/A,2560,Anaheim Convention Center,Anaheim,CA,0,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,279,s:40~l:41~t:279,Pacific,Tigers,PAC,Pacific Tigers,Pacific,F47820,c2c3c0,TRUE,553,https://a.espncdn.com/i/teamlogos/ncaa/500/279.png,9,2463,s:40~l:41~t:2463,CSU Northridge,Matadors,CSUN,CSU Northridge Matadors,CSU Northridge,b50000,"",TRUE,586,https://a.espncdn.com/i/teamlogos/ncaa/500/2463.png,9,240730279,2,2004,"",9,Big West Conference,Big West,TRUE,FALSE,FALSE,FALSE
240730254,s:40~l:41~e:240730254~c:240730254,2004-03-14T03:00Z,6526,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'MOUNTAIN WEST CHAMP'}]",2004-03-14T03:00Z,0,N/A,892,Pepsi Center (CO),Denver,CO,19520,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,254,s:40~l:41~t:254,Utah,Utes,UTAH,Utah Utes,Utah,890012,7e8083,TRUE,2196,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,44,2439,s:40~l:41~t:2439,UNLV,Rebels,UNLV,UNLV Rebels,UNLV,000000,c2c4c6,TRUE,2083,https://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,44,240730254,2,2004,"",44,Mountain West Conference,Mountain West,TRUE,FALSE,FALSE,FALSE
240732440,s:40~l:41~e:240732440~c:240732440,2004-03-14T02:00Z,6158,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'WAC CHAMPIONSHIP'}]",2004-03-14T02:00Z,0,N/A,914,Save Mart Center,Fresno,CA,15596,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2440,s:40~l:41~t:2440,Nevada,Wolf Pack,NEV,Nevada Wolf Pack,Nevada,153E5F,8e9295,TRUE,461,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,30,2638,s:40~l:41~t:2638,UTEP,Miners,UTEP,UTEP Miners,UTEP,ff8200,041e42,TRUE,2117,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,30,240732440,2,2004,"",30,Western Athletic Conference,WAC,TRUE,FALSE,FALSE,FALSE
240732011,s:40~l:41~e:240732011~c:240732011,2004-03-14T02:00Z,4173,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'SWAC CHAMPIONSHIP'}]",2004-03-14T02:00Z,0,N/A,,"","","",,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2011,s:40~l:41~t:2011,Alabama State,Hornets,ALST,Alabama State Hornets,Alabama State,e9a900,0a0a0a,TRUE,2204,https://a.espncdn.com/i/teamlogos/ncaa/500/2011.png,26,2010,s:40~l:41~t:2010,Alabama A&M,Bulldogs,AAMU,Alabama A&M Bulldogs,Alabama A&M,790000,ffffff,TRUE,2122,https://a.espncdn.com/i/teamlogos/ncaa/500/2010.png,26,240732011,2,2004,"",26,Southwestern Athletic Conference,SWAC,TRUE,FALSE,FALSE,FALSE
240730221,s:40~l:41~e:240730221~c:240730221,2004-03-14T01:00Z,19528,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'BIG EAST CHAMPIONSHP'}]",2004-03-14T01:00Z,0,N/A,1830,Madison Square Garden,New York,NY,19812,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,221,s:40~l:41~t:221,Pittsburgh,Panthers,PITT,Pittsburgh Panthers,Pittsburgh,003263,231f20,TRUE,2025,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png,4,41,s:40~l:41~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,001d40,f1f2f3,TRUE,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,240730221,2,2004,"",4,Big East Conference,Big East,TRUE,FALSE,FALSE,FALSE
