id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,startDate,notes_type,notes_headline,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,format.regulation.periods,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,home.score,home.winner,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,away.score,away.winner,game_id,season,season_type,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,PBP,team_box,player_box
401125413,s:40~l:41~e:401125413~c:401125413,2019-04-02T23:00Z,4122,TRUE,FALSE,FALSE,FALSE,2019-04-02T23:00Z,event,CIT - SEMIFINAL,35,Semifinal Bowl,1935,Cam Henderson Center,Huntington,WV,9048,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,276,s:40~l:41~t:276,Marshall,Thundering Herd,MRSH,Marshall Thundering Herd,Marshall,00ae42,be854c,TRUE,1935,https://a.espncdn.com/i/teamlogos/ncaa/500/276.png,11,80,TRUE,2261,s:40~l:41~t:2261,Hampton,Pirates,HAMP,Hampton Pirates,Hampton,0067AC,,TRUE,2017,https://a.espncdn.com/i/teamlogos/ncaa/500/2261.png,6,78,FALSE,401125413,2019,3,,,,,,35,FALSE,FALSE,FALSE
401125414,s:40~l:41~e:401125414~c:401125414,2019-04-01T23:00Z,2375,TRUE,FALSE,FALSE,FALSE,2019-04-01T23:00Z,event,ROMAN CBI CHAMPIONSHIP SERIES - GAME 1,11,RD128,2041,Yuengling Center,Tampa,FL,10411,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,58,s:40~l:41~t:58,South Florida,Bulls,USF,South Florida Bulls,South Florida,004A36,231f20,TRUE,2041,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png,62,63,TRUE,305,s:40~l:41~t:305,DePaul,Blue Demons,DEP,DePaul Blue Demons,DePaul,2d649c,ce1125,TRUE,5427,https://a.espncdn.com/i/teamlogos/ncaa/500/305.png,4,61,FALSE,401125414,2019,3,,,,,,11,FALSE,FALSE,FALSE
401123387,s:40~l:41~e:401123387~c:401123387,2019-03-31T21:05Z,20125,TRUE,TRUE,FALSE,FALSE,2019-03-31T21:05Z,event,MEN'S BASKETBALL CHAMPIONSHIP - EAST REGION - ELITE 8,,,1823,Capital One Arena,Washington,DC,20600,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,150,s:40~l:41~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,001A57,f1f2f3,TRUE,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,67,FALSE,127,s:40~l:41~t:127,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan State,18453B,ffffff,TRUE,1987,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,7,68,TRUE,401123387,2019,3,,,,,,22,FALSE,FALSE,FALSE
401123390,s:40~l:41~e:401123390~c:401123390,2019-03-31T18:20Z,17174,TRUE,TRUE,FALSE,FALSE,2019-03-31T18:20Z,event,MEN'S BASKETBALL CHAMPIONSHIP - MIDWEST REGION - ELITE 8,,,2561,T-Mobile Center,Kansas City,MO,0,TRUE,0,0:00,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2,96,s:40~l:41~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Kentucky,005DAA,ffffff,TRUE,251,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,23,71,FALSE,2,s:40~l:41~t:2,Auburn,Tigers,AUB,Auburn Tigers,Auburn,03244d,f1f2f3,TRUE,1953,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,23,77,TRUE,401123390,2019,3,OT,,,,,22,FALSE,FALSE,FALSE
401123383,s:40~l:41~e:401123383~c:401123383,2019-03-31T00:49Z,21623,TRUE,TRUE,FALSE,FALSE,2019-03-31T00:49Z,event,MEN'S BASKETBALL CHAMPIONSHIP - SOUTH REGION - ELITE 8,,,2030,KFC Yum! Center,Louisville,KY,22000,TRUE,0,0:00,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2,258,s:40~l:41~t:258,Virginia,Cavaliers,UVA,Virginia Cavaliers,Virginia,f84c1e,ffffff,TRUE,1927,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,2,80,TRUE,2509,s:40~l:41~t:2509,Purdue,Boilermakers,PUR,Purdue Boilermakers,Purdue,B89D29,a4a9ad,TRUE,399,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,7,75,FALSE,401123383,2019,3,OT,,,,,22,FALSE,FALSE,FALSE
401123384,s:40~l:41~e:401123384~c:401123384,2019-03-30T22:09Z,15277,TRUE,TRUE,FALSE,FALSE,2019-03-30T22:09Z,event,MEN'S BASKETBALL CHAMPIONSHIP - WEST REGION - ELITE 8,,,1842,Honda Center,Anaheim,CA,0,FALSE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2250,s:40~l:41~t:2250,Gonzaga,Bulldogs,GONZ,Gonzaga Bulldogs,Gonzaga,002967,cfd4d8,TRUE,1979,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,29,69,FALSE,2641,s:40~l:41~t:2641,Texas Tech,Red Raiders,TTU,Texas Tech Red Raiders,Texas Tech,C80025,231f20,TRUE,2047,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,8,75,TRUE,401123384,2019,3,,,,,,22,FALSE,FALSE,FALSE
401123391,s:40~l:41~e:401123391~c:401123391,2019-03-30T02:06Z,17385,TRUE,TRUE,FALSE,FALSE,2019-03-30T02:06Z,event,MEN'S BASKETBALL CHAMPIONSHIP - MIDWEST REGION - SWEET 16,,,2561,T-Mobile Center,Kansas City,MO,0,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,96,s:40~l:41~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Kentucky,005DAA,ffffff,TRUE,251,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,23,62,TRUE,248,s:40~l:41~t:248,Houston,Cougars,HOU,Houston Cougars,Houston,C90822,231f20,TRUE,2126,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png,62,58,FALSE,401123391,2019,3,,,,,,22,FALSE,FALSE,FALSE
401123388,s:40~l:41~e:401123388~c:401123388,2019-03-30T01:45Z,20006,TRUE,TRUE,FALSE,FALSE,2019-03-30T01:45Z,event,MEN'S BASKETBALL CHAMPIONSHIP - EAST REGION - SWEET 16,,,1823,Capital One Arena,Washington,DC,20600,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,150,s:40~l:41~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,001A57,f1f2f3,TRUE,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,75,TRUE,259,s:40~l:41~t:259,Virginia Tech,Hokies,VT,Virginia Tech Hokies,Virginia Tech,74232D,c2c1ba,TRUE,2119,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,2,73,FALSE,401123388,2019,3,,,,,,22,FALSE,FALSE,FALSE
401123392,s:40~l:41~e:401123392~c:401123392,2019-03-29T23:29Z,0,TRUE,TRUE,FALSE,FALSE,2019-03-29T23:29Z,event,MEN'S BASKETBALL CHAMPIONSHIP - MIDWEST REGION - SWEET 16,,,2561,T-Mobile Center,Kansas City,MO,0,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,153,s:40~l:41~t:153,North Carolina,Tar Heels,UNC,North Carolina Tar Heels,North Carolina,99bfe5,13294b,TRUE,207,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,2,80,FALSE,2,s:40~l:41~t:2,Auburn,Tigers,AUB,Auburn Tigers,Auburn,03244d,f1f2f3,TRUE,1953,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,23,97,TRUE,401123392,2019,3,,,,,,22,FALSE,FALSE,FALSE
401123389,s:40~l:41~e:401123389~c:401123389,2019-03-29T23:09Z,0,TRUE,TRUE,FALSE,FALSE,2019-03-29T23:09Z,event,MEN'S BASKETBALL CHAMPIONSHIP - EAST REGION - SWEET 16,,,1823,Capital One Arena,Washington,DC,20600,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,127,s:40~l:41~t:127,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan State,18453B,ffffff,TRUE,1987,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,7,80,TRUE,99,s:40~l:41~t:99,LSU,Tigers,LSU,LSU Tigers,LSU,fdd023,2b0d57,TRUE,557,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,23,63,FALSE,401123389,2019,3,,,,,,22,FALSE,FALSE,FALSE
