Team.Rk,Team,Opponent.Rk,Opponent,Result,Poss,OT,PreWP,Location,W,L,W.Conference,L.Conference,ConferenceGame,Postseason,Year,Day.Date,GameDate,W.Proj,L.Proj,W.ConferenceProj,L.ConferenceProj,Date,GameId,TiersOfJoy
202,Air Force,NA,Colorado Colo Springs,"W, 66-53",62,0,NA,Home,1,0,NA,NA,FALSE,Regular,2011,Sun Nov 14,20101114,1,0,0,0,2010-11-14,NA,NA
201,Air Force,NA,Colorado College,"L, 60-57",69,1,NA,Home,1,1,NA,NA,FALSE,Regular,2011,Wed Nov 17,20101117,1,1,0,0,2010-11-17,NA,NA
199,Air Force,241,Tennessee St.,"W, 87-72",70,0,NA,Home,2,1,NA,NA,FALSE,Regular,2011,Sat Nov 20,20101120,2,1,0,0,2010-11-20,507,NA
187,Air Force,84,Wofford,"W, 72-66",72,1,NA,Away,3,1,NA,NA,FALSE,Regular,2011,Wed Nov 24,20101124,3,1,0,0,2010-11-24,780,B
176,Air Force,223,Cal St. Northridge,"W, 72-63",69,0,NA,Home,4,1,NA,NA,FALSE,Regular,2011,Thu Dec 2,20101202,4,1,0,0,2010-12-02,1089,NA
165,Air Force,168,Evansville,"W, 57-56",58,0,NA,Home,5,1,NA,NA,FALSE,Regular,2011,Sun Dec 5,20101205,5,1,0,0,2010-12-05,1270,NA
163,Air Force,111,Wright St.,"L, 76-61",63,0,NA,Away,5,2,NA,NA,FALSE,Regular,2011,Wed Dec 8,20101208,5,2,0,0,2010-12-08,1406,B
178,Air Force,313,North Carolina Central,"W, 73-56",69,0,NA,Home,6,2,NA,NA,FALSE,Regular,2011,Sat Dec 11,20101211,6,2,0,0,2010-12-11,1433,NA
167,Air Force,338,Arkansas Pine Bluff,"W, 63-52",61,0,NA,Home,7,2,NA,NA,FALSE,Regular,2011,Sat Dec 18,20101218,7,2,0,0,2010-12-18,1678,NA
174,Air Force,124,Northern Arizona,"L, 74-63",59,0,NA,Away,7,3,NA,NA,FALSE,Regular,2011,Wed Dec 22,20101222,7,3,0,0,2010-12-22,1959,B
184,Air Force,179,Sam Houston St.,"W, 76-65",64,0,NA,Neutral,8,3,NA,NA,FALSE,Regular,2011,Tue Dec 28,20101228,8,3,0,0,2010-12-28,2029,NA
168,Air Force,72,UTEP,"L, 71-54",64,0,NA,Away,8,4,NA,NA,FALSE,Regular,2011,Wed Dec 29,20101229,8,4,0,0,2010-12-29,2125,B
177,Air Force,325,Florida A&M,"W, 81-48",63,0,NA,Home,9,4,NA,NA,FALSE,Regular,2011,Sun Jan 2,20110102,9,4,0,0,2011-01-02,2267,NA
148,Air Force,141,Utah,"W, 77-69",56,0,NA,Home,10,4,1,0,TRUE,Regular,2011,Wed Jan 5,20110105,10,4,1,0,2011-01-05,2401,NA
141,Air Force,12,BYU,"L, 76-66",67,0,NA,Away,10,5,1,1,TRUE,Regular,2011,Sat Jan 8,20110108,10,5,1,1,2011-01-08,2524,A
130,Air Force,29,UNLV,"L, 64-52",56,0,NA,Home,10,6,1,2,TRUE,Regular,2011,Sat Jan 15,20110115,10,6,1,2,2011-01-15,2840,A
122,Air Force,8,San Diego St.,"L, 68-55",54,0,NA,Away,10,7,1,3,TRUE,Regular,2011,Wed Jan 19,20110119,10,7,1,3,2011-01-19,3086,A
124,Air Force,229,Wyoming,"W, 72-51",59,0,NA,Home,11,7,2,3,TRUE,Regular,2011,Sat Jan 22,20110122,11,7,2,3,2011-01-22,3172,NA
111,Air Force,77,Colorado St.,"L, 69-66",62,0,NA,Away,11,8,2,4,TRUE,Regular,2011,Wed Jan 26,20110126,11,8,2,4,2011-01-26,3388,B
