Team,Opponent.Rk,Opponent,Result,Poss,OT,PreWP,Location,W,L,W.Conference,L.Conference,ConferenceGame,Postseason,Year,Day.Date,GameDate,W.Proj,L.Proj,W.ConferenceProj,L.ConferenceProj,Date,GameId,TiersOfJoy
Air Force,157,Northern Arizona,"W, 62-49",62,0,NA,Neutral,1,0,NA,NA,FALSE,Regular,2006,Sun Nov 13,20051113,1,0,0,0,NA,NA,NA
Air Force,55,Miami FL,"W, 57-53",54,0,NA,Neutral,2,0,NA,NA,FALSE,Regular,2006,Mon Nov 14,20051114,2,0,0,0,NA,NA,B
Air Force,15,Washington,"L, 85-74",71,0,NA,Away,2,1,NA,NA,FALSE,Regular,2006,Tue Nov 15,20051115,2,1,0,0,NA,NA,A
Air Force,NA,Colorado Colo Springs,"W, 77-45",61,0,NA,Home,3,1,NA,NA,FALSE,Regular,2006,Sat Nov 19,20051119,3,1,0,0,NA,NA,NA
Air Force,NA,Western St.,"W, 66-44",57,0,NA,Home,4,1,NA,NA,FALSE,Regular,2006,Wed Nov 23,20051123,4,1,0,0,NA,NA,NA
Air Force,304,Navy,"W, 64-55",53,0,NA,Away,5,1,NA,NA,FALSE,Regular,2006,Sun Nov 27,20051127,5,1,0,0,NA,NA,NA
Air Force,284,Arkansas Pine Bluff,"W, 63-44",57,0,NA,Home,6,1,NA,NA,FALSE,Regular,2006,Wed Nov 30,20051130,6,1,0,0,NA,NA,NA
Air Force,327,Texas Pan American,"W, 81-68",68,0,NA,Away,7,1,NA,NA,FALSE,Regular,2006,Sat Dec 3,20051203,7,1,0,0,NA,NA,NA
Air Force,302,Northern Colorado,"W, 73-48",56,0,NA,Home,8,1,NA,NA,FALSE,Regular,2006,Thu Dec 8,20051208,8,1,0,0,NA,NA,NA
Air Force,106,Saint Mary's,"W, 63-51",58,0,NA,Home,9,1,NA,NA,FALSE,Regular,2006,Tue Dec 13,20051213,9,1,0,0,NA,NA,NA
Air Force,206,Lamar,"W, 73-50",63,0,NA,Home,10,1,NA,NA,FALSE,Regular,2006,Fri Dec 23,20051223,10,1,0,0,NA,NA,NA
Air Force,103,Georgia Tech,"W, 54-46",55,0,NA,Home,11,1,NA,NA,FALSE,Regular,2006,Wed Dec 28,20051228,11,1,0,0,NA,NA,NA
Air Force,276,IPFW,"W, 77-42",52,0,NA,Home,12,1,NA,NA,FALSE,Regular,2006,Sat Dec 31,20051231,12,1,0,0,NA,NA,NA
Air Force,91,BYU,"W, 75-59",62,0,NA,Home,13,1,1,0,TRUE,Regular,2006,Thu Jan 5,20060105,13,1,1,0,NA,NA,NA
Air Force,52,San Diego St.,"W, 65-62",54,0,NA,Home,14,1,2,0,TRUE,Regular,2006,Sat Jan 7,20060107,14,1,2,0,NA,NA,B
Air Force,142,Wyoming,"L, 55-50",56,0,NA,Away,14,2,2,1,TRUE,Regular,2006,Wed Jan 11,20060111,14,2,2,1,NA,NA,NA
Air Force,239,TCU,"W, 75-49",52,0,NA,Home,15,2,3,1,TRUE,Regular,2006,Sat Jan 14,20060114,15,2,3,1,NA,NA,NA
Air Force,140,Utah,"W, 66-44",56,0,NA,Home,16,2,4,1,TRUE,Regular,2006,Thu Jan 19,20060119,16,2,4,1,NA,NA,NA
Air Force,115,New Mexico,"L, 62-59",58,0,NA,Away,16,3,4,2,TRUE,Regular,2006,Sat Jan 21,20060121,16,3,4,2,NA,NA,B
Air Force,88,UNLV,"W, 52-50",53,0,NA,Away,17,3,5,2,TRUE,Regular,2006,Wed Jan 25,20060125,17,3,5,2,NA,NA,B
Air Force,128,Colorado St.,"W, 71-56",55,0,NA,Home,18,3,6,2,TRUE,Regular,2006,Wed Feb 1,20060201,18,3,6,2,NA,NA,NA
Air Force,91,BYU,"L, 65-59",61,0,NA,Away,18,4,6,3,TRUE,Regular,2006,Sat Feb 4,20060204,18,4,6,3,NA,NA,B
Air Force,52,San Diego St.,"L, 61-51",55,0,NA,Away,18,5,6,4,TRUE,Regular,2006,Wed Feb 8,20060208,18,5,6,4,NA,NA,A
Air Force,142,Wyoming,"W, 62-61",56,0,NA,Home,19,5,7,4,TRUE,Regular,2006,Sat Feb 11,20060211,19,5,7,4,NA,NA,NA
Air Force,239,TCU,"W, 63-45",60,0,NA,Away,20,5,8,4,TRUE,Regular,2006,Wed Feb 15,20060215,20,5,8,4,NA,NA,NA
Air Force,140,Utah,"W, 52-51",50,0,NA,Away,21,5,9,4,TRUE,Regular,2006,Sat Feb 18,20060218,21,5,9,4,NA,NA,NA
Air Force,115,New Mexico,"W, 51-46",53,0,NA,Home,22,5,10,4,TRUE,Regular,2006,Wed Feb 22,20060222,22,5,10,4,NA,NA,NA
Air Force,88,UNLV,"W, 68-55",54,0,NA,Home,23,5,11,4,TRUE,Regular,2006,Sat Feb 25,20060225,23,5,11,4,NA,NA,NA
Air Force,128,Colorado St.,"W, 63-59",54,0,NA,Away,24,5,12,4,TRUE,Regular,2006,Sat Mar 4,20060304,24,5,12,4,NA,NA,B
Air Force,142,Wyoming,"L, 57-55",59,0,NA,Neutral,24,6,NA,NA,FALSE,Mountain West Conference Tournament,2006,Thu Mar 9,20060309,24,6,12,4,NA,NA,NA
Air Force,9,Illinois,"L, 78-69",60,0,NA,Neutral,24,7,NA,NA,FALSE,NCAA Tournament - 13 seed,2006,Thu Mar 16,20060316,24,7,12,4,NA,NA,A
Akron,252,Youngstown St.,"W, 67-62",64,0,NA,Home,1,0,NA,NA,FALSE,Regular,2006,Sat Nov 26,20051126,1,0,0,0,NA,NA,NA
Akron,301,Duquesne,"W, 79-61",68,0,NA,Home,2,0,NA,NA,FALSE,Regular,2006,Wed Nov 30,20051130,2,0,0,0,NA,NA,NA
Akron,47,California,"L, 89-75",68,0,NA,Away,2,1,NA,NA,FALSE,Regular,2006,Sat Dec 3,20051203,2,1,0,0,NA,NA,A
Akron,NA,Denison,"W, 123-52",84,0,NA,Home,3,1,NA,NA,FALSE,Regular,2006,Wed Dec 7,20051207,3,1,0,0,NA,NA,NA
Akron,46,Louisville,"L, 111-85",73,0,NA,Away,3,2,NA,NA,FALSE,Regular,2006,Sat Dec 10,20051210,3,2,0,0,NA,NA,A
Akron,242,Mount St. Mary's,"W, 74-61",59,0,NA,Neutral,4,2,NA,NA,FALSE,Regular,2006,Mon Dec 19,20051219,4,2,0,0,NA,NA,NA
Akron,114,Mississippi St.,"W, 83-72",69,0,NA,Neutral,5,2,NA,NA,FALSE,Regular,2006,Tue Dec 20,20051220,5,2,0,0,NA,NA,NA
Akron,59,Clemson,"L, 66-59",69,0,NA,Neutral,5,3,NA,NA,FALSE,Regular,2006,Wed Dec 21,20051221,5,3,0,0,NA,NA,B
Akron,183,Wright St.,"W, 72-44",63,0,NA,Home,6,3,NA,NA,FALSE,Regular,2006,Sat Dec 31,20051231,6,3,0,0,NA,NA,NA
Akron,199,Ball St.,"W, 66-62",61,0,NA,Away,7,3,1,0,TRUE,Regular,2006,Wed Jan 4,20060104,7,3,1,0,NA,NA,NA
Akron,118,Toledo,"W, 75-58",63,0,NA,Home,8,3,2,0,TRUE,Regular,2006,Sat Jan 7,20060107,8,3,2,0,NA,NA,NA
Akron,232,Western Michigan,"W, 69-55",64,0,NA,Away,9,3,3,0,TRUE,Regular,2006,Tue Jan 10,20060110,9,3,3,0,NA,NA,NA
Akron,120,Northern Illinois,"W, 86-73",61,0,NA,Home,10,3,4,0,TRUE,Regular,2006,Sat Jan 14,20060114,10,3,4,0,NA,NA,NA
Akron,243,Cleveland St.,"W, 62-50",67,0,NA,Away,11,3,NA,NA,FALSE,Regular,2006,Mon Jan 16,20060116,11,3,4,0,NA,NA,NA
Akron,300,Central Michigan,"W, 76-69",72,1,NA,Away,12,3,5,0,TRUE,Regular,2006,Wed Jan 18,20060118,12,3,5,0,NA,NA,NA
Akron,264,Eastern Michigan,"W, 79-61",68,0,NA,Home,13,3,6,0,TRUE,Regular,2006,Sat Jan 21,20060121,13,3,6,0,NA,NA,NA
Akron,109,Ohio,"L, 66-63",66,0,NA,Away,13,4,6,1,TRUE,Regular,2006,Tue Jan 24,20060124,13,4,6,1,NA,NA,B
Akron,101,Miami OH,"W, 52-45",56,0,NA,Home,14,4,7,1,TRUE,Regular,2006,Thu Jan 26,20060126,14,4,7,1,NA,NA,NA
