Team.Rk,Team,Opponent.Rk,Opponent,Result,Poss,OT,PreWP,Location,W,L,W.Conference,L.Conference,ConferenceGame,Postseason,Year,Day.Date,GameDate,W.Proj,L.Proj,W.ConferenceProj,L.ConferenceProj,Date,GameId,TiersOfJoy
324,Abilene Christian,152,Duquesne,"L, 94-75",76,0,NA,Away,0,1,NA,NA,FALSE,Regular,2014,Sat Nov 9,20131109,0,1,0,0,2013-11-09,156,NA
328,Abilene Christian,84,St. Bonaventure,"L, 75-47",61,0,NA,Away,0,2,NA,NA,FALSE,Regular,2014,Mon Nov 11,20131111,0,2,0,0,2013-11-11,250,B
337,Abilene Christian,43,Maryland,"L, 67-44",64,0,NA,Away,0,3,NA,NA,FALSE,Regular,2014,Wed Nov 13,20131113,0,3,0,0,2013-11-13,401,A
338,Abilene Christian,22,Iowa,"L, 103-41",70,0,NA,Away,0,4,NA,NA,FALSE,Regular,2014,Sun Nov 17,20131117,0,4,0,0,2013-11-17,580,A
340,Abilene Christian,212,TCU,"L, 71-64",64,0,NA,Away,0,5,NA,NA,FALSE,Regular,2014,Tue Nov 19,20131119,0,5,0,0,2013-11-19,690,NA
337,Abilene Christian,NA,Western New Mexico,"W, 62-44",61,0,NA,Neutral,1,5,NA,NA,FALSE,Regular,2014,Fri Nov 22,20131122,1,5,0,0,2013-11-22,794,NA
337,Abilene Christian,NA,Northern New Mexico,"W, 78-56",76,0,NA,Neutral,2,5,NA,NA,FALSE,Regular,2014,Sat Nov 23,20131123,2,5,0,0,2013-11-23,878,NA
334,Abilene Christian,52,Xavier,"L, 93-65",67,0,NA,Away,2,6,NA,NA,FALSE,Regular,2014,Mon Nov 25,20131125,2,6,0,0,2013-11-25,949,A
331,Abilene Christian,NA,West Alabama,"L, 77-67",66,0,NA,Neutral,2,7,NA,NA,FALSE,Regular,2014,Fri Nov 29,20131129,2,7,0,0,2013-11-29,1110,NA
327,Abilene Christian,130,Towson,"L, 74-47",59,0,NA,Away,2,8,NA,NA,FALSE,Regular,2014,Sat Nov 30,20131130,2,8,0,0,2013-11-30,1137,B
338,Abilene Christian,NA,Hillsdale FWB,"W, 93-53",78,0,NA,Home,3,8,NA,NA,FALSE,Regular,2014,Tue Dec 3,20131203,3,8,0,0,2013-12-03,1280,NA
334,Abilene Christian,NA,Bacone,"W, 90-63",72,0,NA,Home,4,8,NA,NA,FALSE,Regular,2014,Tue Dec 17,20131217,4,8,0,0,2013-12-17,1788,NA
334,Abilene Christian,NA,Open Bible,"W, 87-43",70,0,NA,Home,5,8,NA,NA,FALSE,Regular,2014,Wed Dec 18,20131218,5,8,0,0,2013-12-18,1386,NA
335,Abilene Christian,NA,Open Bible,"W, 99-49",68,0,NA,Home,6,8,NA,NA,FALSE,Regular,2014,Mon Dec 30,20131230,6,8,0,0,2013-12-30,2191,NA
336,Abilene Christian,317,New Orleans,"L, 87-81",78,0,NA,Away,6,9,0,1,TRUE,Regular,2014,Thu Jan 9,20140109,6,9,0,1,2014-01-09,2671,NA
336,Abilene Christian,312,Southeastern Louisiana,"L, 85-77",83,2,NA,Away,6,10,0,2,TRUE,Regular,2014,Sat Jan 11,20140111,6,10,0,2,2014-01-11,2796,NA
336,Abilene Christian,188,Oral Roberts,"L, 82-59",62,0,NA,Home,6,11,0,3,TRUE,Regular,2014,Thu Jan 16,20140116,6,11,0,3,2014-01-16,5553,NA
345,Abilene Christian,329,Central Arkansas,"W, 73-72",70,0,NA,Home,7,11,1,3,TRUE,Regular,2014,Sat Jan 18,20140118,7,11,1,3,2014-01-18,3103,NA
343,Abilene Christian,343,Lamar,"L, 65-57",69,0,NA,Home,7,12,1,4,TRUE,Regular,2014,Thu Jan 23,20140123,7,12,1,4,2014-01-23,3321,NA
348,Abilene Christian,197,Sam Houston St.,"L, 70-51",59,0,NA,Home,7,13,1,5,TRUE,Regular,2014,Sat Jan 25,20140125,7,13,1,5,2014-01-25,3414,NA
349,Abilene Christian,70,Stephen F. Austin,"L, 64-48",65,0,NA,Away,7,14,1,6,TRUE,Regular,2014,Thu Jan 30,20140130,7,14,1,6,2014-01-30,3663,A
347,Abilene Christian,185,Northwestern St.,"L, 84-66",68,0,NA,Away,7,15,1,7,TRUE,Regular,2014,Sat Feb 1,20140201,7,15,1,7,2014-02-01,3772,NA
348,Abilene Christian,341,Houston Baptist,"W, 87-81",69,0,NA,Home,8,15,2,7,TRUE,Regular,2014,Thu Feb 6,20140206,8,15,2,7,2014-02-06,3976,NA
348,Abilene Christian,230,Texas A&M Corpus Chris,"L, 71-69",63,0,NA,Home,8,16,2,8,TRUE,Regular,2014,Sat Feb 8,20140208,8,16,2,8,2014-02-08,4084,NA
347,Abilene Christian,261,Incarnate Word,"L, 80-68",65,0,NA,Away,8,17,2,9,TRUE,Regular,2014,Thu Feb 13,20140213,8,17,2,9,2014-02-13,4309,NA
347,Abilene Christian,NA,Dallas Christian,"W, 108-69",75,0,NA,Home,9,17,NA,NA,FALSE,Regular,2014,Sat Feb 15,20140215,9,17,2,9,2014-02-15,4450,NA
347,Abilene Christian,NA,Arlington Baptist,"W, 80-66",68,0,NA,Home,10,17,NA,NA,FALSE,Regular,2014,Tue Feb 18,20140218,10,17,2,9,2014-02-18,4536,NA
348,Abilene Christian,NA,SW Adventist,"W, 124-57",76,0,NA,Home,11,17,NA,NA,FALSE,Regular,2014,Sat Feb 22,20140222,11,17,2,9,2014-02-22,4803,NA
347,Abilene Christian,304,Nicholls St.,"L, 79-60",61,0,NA,Away,11,18,2,10,TRUE,Regular,2014,Thu Feb 27,20140227,11,18,2,10,2014-02-27,4963,NA
347,Abilene Christian,310,McNeese St.,"L, 95-91",76,1,NA,Away,11,19,2,11,TRUE,Regular,2014,Sat Mar 1,20140301,11,19,2,11,2014-03-01,5069,NA
348,Abilene Christian,261,Incarnate Word,"L, 59-56",65,0,NA,Home,11,20,2,12,TRUE,Regular,2014,Sat Mar 8,20140308,11,20,2,12,2014-03-08,5320,NA
