Team,Opponent.Rk,Opponent,Result,Poss,OT,PreWP,Location,W,L,W.Conference,L.Conference,ConferenceGame,Postseason,Year,Day.Date,GameDate,W.Proj,L.Proj,W.ConferenceProj,L.ConferenceProj,Date,GameId,TiersOfJoy
Air Force,313,Dartmouth,"W, 67-38",59,0,NA,Home,1,0,NA,NA,FALSE,Regular,2008,Fri Nov 9,20071109,1,0,0,0,NA,NA,NA
Air Force,235,Northern Colorado,"W, 71-62",58,0,NA,Home,2,0,NA,NA,FALSE,Regular,2008,Sat Nov 10,20071110,2,0,0,0,NA,NA,NA
Air Force,NA,Western St.,"W, 73-49",65,0,NA,Home,3,0,NA,NA,FALSE,Regular,2008,Wed Nov 14,20071114,3,0,0,0,NA,NA,NA
Air Force,297,Radford,"W, 52-47",62,1,NA,Home,4,0,NA,NA,FALSE,Regular,2008,Mon Nov 19,20071119,4,0,0,0,NA,NA,NA
Air Force,306,Mississippi Valley St.,"W, 58-40",58,0,NA,Neutral,5,0,NA,NA,FALSE,Regular,2008,Fri Nov 23,20071123,5,0,0,0,NA,NA,NA
Air Force,196,Montana,"L, 59-57",57,0,NA,Neutral,5,1,NA,NA,FALSE,Regular,2008,Sat Nov 24,20071124,5,1,0,0,NA,NA,NA
Air Force,10,Washington St.,"L, 71-62",60,0,NA,Semi-Away,5,2,NA,NA,FALSE,Regular,2008,Sun Nov 25,20071125,5,2,0,0,NA,NA,A
Air Force,125,Colorado,"L, 60-50",56,0,NA,Home,5,3,NA,NA,FALSE,Regular,2008,Thu Nov 29,20071129,5,3,0,0,NA,NA,NA
Air Force,266,Northern Illinois,"L, 63-52",63,0,NA,Away,5,4,NA,NA,FALSE,Regular,2008,Tue Dec 4,20071204,5,4,0,0,NA,NA,NA
Air Force,331,Prairie View A&M,"W, 77-53",64,0,NA,Home,6,4,NA,NA,FALSE,Regular,2008,Sat Dec 8,20071208,6,4,0,0,NA,NA,NA
Air Force,290,Norfolk St.,"W, 65-53",50,0,NA,Home,7,4,NA,NA,FALSE,Regular,2008,Thu Dec 13,20071213,7,4,0,0,NA,NA,NA
Air Force,NA,Colorado Christian,"W, 75-61",66,0,NA,Home,8,4,NA,NA,FALSE,Regular,2008,Sat Dec 22,20071222,8,4,0,0,NA,NA,NA
Air Force,73,Wake Forest,"L, 78-67",65,0,NA,Away,8,5,NA,NA,FALSE,Regular,2008,Sun Dec 30,20071230,8,5,0,0,NA,NA,A
Air Force,64,Utah,"L, 58-36",51,0,NA,Away,8,6,0,1,TRUE,Regular,2008,Sat Jan 5,20080105,8,6,0,1,NA,NA,A
Air Force,48,UNLV,"W, 65-53",58,0,NA,Home,9,6,1,1,TRUE,Regular,2008,Sat Jan 12,20080112,9,6,1,1,NA,NA,B
Air Force,194,Wyoming,"W, 64-62",62,1,NA,Away,10,6,2,1,TRUE,Regular,2008,Wed Jan 16,20080116,10,6,2,1,NA,NA,NA
Air Force,32,New Mexico,"L, 59-44",57,0,NA,Away,10,7,2,2,TRUE,Regular,2008,Sat Jan 19,20080119,10,7,2,2,NA,NA,A
Air Force,265,Colorado St.,"W, 75-59",63,0,NA,Home,11,7,3,2,TRUE,Regular,2008,Tue Jan 22,20080122,11,7,3,2,NA,NA,NA
Air Force,35,BYU,"L, 69-53",59,0,NA,Home,11,8,3,3,TRUE,Regular,2008,Wed Jan 30,20080130,11,8,3,3,NA,NA,B
Air Force,177,TCU,"W, 56-46",54,0,NA,Away,12,8,4,3,TRUE,Regular,2008,Sat Feb 2,20080202,12,8,4,3,NA,NA,NA
Air Force,92,San Diego St.,"L, 49-38",56,0,NA,Away,12,9,4,4,TRUE,Regular,2008,Wed Feb 6,20080206,12,9,4,4,NA,NA,B
Air Force,64,Utah,"L, 67-59",57,0,NA,Home,12,10,4,5,TRUE,Regular,2008,Sat Feb 9,20080209,12,10,4,5,NA,NA,B
Air Force,48,UNLV,"L, 58-51",57,0,NA,Away,12,11,4,6,TRUE,Regular,2008,Tue Feb 12,20080212,12,11,4,6,NA,NA,A
Air Force,194,Wyoming,"W, 72-66",62,0,NA,Home,13,11,5,6,TRUE,Regular,2008,Sat Feb 16,20080216,13,11,5,6,NA,NA,NA
