Team,Opponent.Rk,Opponent,Result,Poss,OT,PreWP,Location,W,L,W.Conference,L.Conference,ConferenceGame,Postseason,Year,Day.Date,GameDate,W.Proj,L.Proj,W.ConferenceProj,L.ConferenceProj,Date,GameId,TiersOfJoy
Air Force,148,Yale,"W, 68-62",62,0,NA,Neutral,1,0,NA,NA,FALSE,Regular,2002,Tue Nov 13,20011113,1,0,0,0,NA,NA,NA
Air Force,29,Missouri,"L, 86-58",56,0,NA,Away,1,1,NA,NA,FALSE,Regular,2002,Wed Nov 14,20011114,1,1,0,0,NA,NA,A
Air Force,256,Denver,"W, 52-44",52,0,NA,Home,2,1,NA,NA,FALSE,Regular,2002,Sun Nov 18,20011118,2,1,0,0,NA,NA,NA
Air Force,270,Navy,"L, 71-53",59,0,NA,Away,2,2,NA,NA,FALSE,Regular,2002,Sat Nov 24,20011124,2,2,0,0,NA,NA,NA
Air Force,131,Montana St.,"W, 70-65",58,0,NA,Neutral,3,2,NA,NA,FALSE,Regular,2002,Fri Nov 30,20011130,3,2,0,0,NA,NA,NA
Air Force,82,Fresno St.,"L, 68-52",56,0,NA,Away,3,3,NA,NA,FALSE,Regular,2002,Sat Dec 1,20011201,3,3,0,0,NA,NA,B
Air Force,141,Arkansas St.,"W, 67-63",59,1,NA,Home,4,3,NA,NA,FALSE,Regular,2002,Wed Dec 5,20011205,4,3,0,0,NA,NA,NA
Air Force,143,Oakland,"L, 57-53",57,0,NA,Home,4,4,NA,NA,FALSE,Regular,2002,Sat Dec 8,20011208,4,4,0,0,NA,NA,NA
Air Force,256,Denver,"L, 63-53",52,0,NA,Away,4,5,NA,NA,FALSE,Regular,2002,Wed Dec 12,20011212,4,5,0,0,NA,NA,NA
Air Force,322,Liberty,"W, 66-54",63,0,NA,Away,5,5,NA,NA,FALSE,Regular,2002,Sat Dec 22,20011222,5,5,0,0,NA,NA,NA
Air Force,72,Tennessee Tech,"L, 64-44",59,0,NA,Home,5,6,NA,NA,FALSE,Regular,2002,Sat Dec 29,20011229,5,6,0,0,NA,NA,B
Air Force,220,Northern Arizona,"W, 57-56",64,0,NA,Away,6,6,NA,NA,FALSE,Regular,2002,Wed Jan 2,20020102,6,6,0,0,NA,NA,NA
Air Force,81,UNLV,"L, 66-54",56,0,NA,Home,6,7,0,1,TRUE,Regular,2002,Mon Jan 7,20020107,6,7,0,1,NA,NA,NA
Air Force,167,Texas Pan American,"L, 58-52",61,1,NA,Away,6,8,NA,NA,FALSE,Regular,2002,Thu Jan 10,20020110,6,8,0,1,NA,NA,NA
Air Force,92,New Mexico,"L, 50-47",54,0,NA,Away,6,9,0,2,TRUE,Regular,2002,Mon Jan 14,20020114,6,9,0,2,NA,NA,B
Air Force,45,Utah,"L, 63-57",59,1,NA,Home,6,10,0,3,TRUE,Regular,2002,Sat Jan 19,20020119,6,10,0,3,NA,NA,B
Air Force,63,BYU,"W, 74-64",54,0,NA,Home,7,10,1,3,TRUE,Regular,2002,Mon Jan 21,20020121,7,10,1,3,NA,NA,B
