Team.Rk,Team,Opponent.Rk,Opponent,Result,Poss,OT,PreWP,Location,W,L,W.Conference,L.Conference,ConferenceGame,Postseason,Year,Day.Date,GameDate,W.Proj,L.Proj,W.ConferenceProj,L.ConferenceProj,Date,GameId,TiersOfJoy
250,Abilene Christian,NA,Randall,"W, 86-68",82,0,NA,Home,1,0,NA,NA,FALSE,Regular,2018,Fri Nov 10,20171110,1,0,0,0,2017-11-10,117,NA
255,Abilene Christian,281,Arkansas St.,"L, 83-69",66,0,NA,Away,1,1,NA,NA,FALSE,Regular,2018,Mon Nov 13,20171113,1,1,0,0,2017-11-13,270,NA
259,Abilene Christian,NA,Howard Payne,"W, 112-62",78,0,NA,Home,2,1,NA,NA,FALSE,Regular,2018,Thu Nov 16,20171116,2,1,0,0,2017-11-16,451,NA
262,Abilene Christian,167,Lipscomb,"L, 75-67",75,0,NA,Home,2,2,NA,NA,FALSE,Regular,2018,Mon Nov 20,20171120,2,2,0,0,2017-11-20,677,NA
269,Abilene Christian,218,Campbell,"W, 85-80",76,1,NA,Away,3,2,NA,NA,FALSE,Regular,2018,Fri Nov 24,20171124,3,2,0,0,2017-11-24,845,NA
259,Abilene Christian,338,USC Upstate,"L, 88-78",67,0,NA,Neutral,3,3,NA,NA,FALSE,Regular,2018,Sat Nov 25,20171125,3,3,0,0,2017-11-25,953,NA
267,Abilene Christian,232,Bowling Green,"W, 88-83",70,0,NA,Neutral,4,3,NA,NA,FALSE,Regular,2018,Sun Nov 26,20171126,4,3,0,0,2017-11-26,963,NA
254,Abilene Christian,NA,Schreiner,"W, 71-43",74,0,NA,Home,5,3,NA,NA,FALSE,Regular,2018,Sat Dec 2,20171202,5,3,0,0,2017-12-02,1243,NA
258,Abilene Christian,237,Air Force,"W, 62-58",68,0,NA,Away,6,3,NA,NA,FALSE,Regular,2018,Wed Dec 6,20171206,6,3,0,0,2017-12-06,1465,NA
251,Abilene Christian,228,Texas St.,"W, 72-68",65,0,NA,Home,7,3,NA,NA,FALSE,Regular,2018,Sat Dec 9,20171209,7,3,0,0,2017-12-09,1562,NA
253,Abilene Christian,167,Lipscomb,"L, 67-65",85,0,NA,Away,7,4,NA,NA,FALSE,Regular,2018,Sun Dec 17,20171217,7,4,0,0,2017-12-17,1897,NA
246,Abilene Christian,NA,Arlington Baptist,"W, 109-60",75,0,NA,Home,8,4,NA,NA,FALSE,Regular,2018,Tue Dec 19,20171219,8,4,0,0,2017-12-19,1962,NA
244,Abilene Christian,11,Texas Tech,"L, 74-47",68,0,NA,Away,8,5,NA,NA,FALSE,Regular,2018,Fri Dec 22,20171222,8,5,0,0,2017-12-22,2187,A
243,Abilene Christian,266,New Orleans,"L, 77-74",73,0,NA,Away,8,6,0,1,TRUE,Regular,2018,Thu Dec 28,20171228,8,6,0,1,2017-12-28,2271,NA
245,Abilene Christian,204,Sam Houston St.,"W, 75-72",73,0,NA,Home,9,6,1,1,TRUE,Regular,2018,Sat Dec 30,20171230,9,6,1,1,2017-12-30,2361,NA
246,Abilene Christian,291,McNeese St.,"W, 79-74",78,0,NA,Home,10,6,2,1,TRUE,Regular,2018,Wed Jan 3,20180103,10,6,2,1,2018-01-03,2550,NA
250,Abilene Christian,199,Southeastern Louisiana,"L, 72-70",70,0,NA,Home,10,7,2,2,TRUE,Regular,2018,Sat Jan 6,20180106,10,7,2,2,2018-01-06,2705,NA
254,Abilene Christian,333,Houston Baptist,"W, 82-74",72,0,NA,Away,11,7,3,2,TRUE,Regular,2018,Wed Jan 10,20180110,11,7,3,2,2018-01-10,2898,NA
240,Abilene Christian,345,Northwestern St.,"W, 69-58",70,0,NA,Away,12,7,4,2,TRUE,Regular,2018,Sat Jan 13,20180113,12,7,4,2,2018-01-13,3097,NA
237,Abilene Christian,112,Stephen F. Austin,"L, 76-66",72,0,NA,Home,12,8,4,3,TRUE,Regular,2018,Wed Jan 17,20180117,12,8,4,3,2018-01-17,3234,NA
247,Abilene Christian,213,Central Arkansas,"W, 80-63",66,0,NA,Away,13,8,5,3,TRUE,Regular,2018,Sat Jan 20,20180120,13,8,5,3,2018-01-20,3378,NA
227,Abilene Christian,311,Texas A&M Corpus Chris,"L, 80-66",77,0,NA,Away,13,9,5,4,TRUE,Regular,2018,Wed Jan 24,20180124,13,9,5,4,2018-01-24,3604,NA
240,Abilene Christian,203,Lamar,"W, 74-69",72,0,NA,Home,14,9,6,4,TRUE,Regular,2018,Wed Jan 31,20180131,14,9,6,4,2018-01-31,3900,NA
236,Abilene Christian,204,Sam Houston St.,"L, 84-77",73,0,NA,Away,14,10,6,5,TRUE,Regular,2018,Sat Feb 3,20180203,14,10,6,5,2018-02-03,4123,NA
243,Abilene Christian,185,Nicholls St.,"L, 69-65",65,0,NA,Home,14,11,6,6,TRUE,Regular,2018,Wed Feb 7,20180207,14,11,6,6,2018-02-07,4226,NA
243,Abilene Christian,342,Incarnate Word,"W, 80-69",68,0,NA,Home,15,11,7,6,TRUE,Regular,2018,Sat Feb 10,20180210,15,11,7,6,2018-02-10,4377,NA
242,Abilene Christian,199,Southeastern Louisiana,"L, 68-54",66,0,NA,Away,15,12,7,7,TRUE,Regular,2018,Sat Feb 17,20180217,15,12,7,7,2018-02-17,4799,NA
251,Abilene Christian,311,Texas A&M Corpus Chris,"L, 76-67",73,0,NA,Home,15,13,7,8,TRUE,Regular,2018,Thu Feb 22,20180222,15,13,7,8,2018-02-22,5592,NA
261,Abilene Christian,213,Central Arkansas,"L, 74-72",70,0,NA,Home,15,14,7,9,TRUE,Regular,2018,Sat Feb 24,20180224,15,14,7,9,2018-02-24,5048,NA
265,Abilene Christian,112,Stephen F. Austin,"L, 76-56",69,0,NA,Away,15,15,7,10,TRUE,Regular,2018,Wed Feb 28,20180228,15,15,7,10,2018-02-28,5242,B
268,Abilene Christian,342,Incarnate Word,"W, 69-59",65,0,NA,Away,16,15,8,10,TRUE,Regular,2018,Sat Mar 3,20180303,16,15,8,10,2018-03-03,5336,NA
265,Abilene Christian,155,Drake,"L, 80-73",82,1,NA,Away,16,16,NA,NA,FALSE,Postseason,2018,Mon Mar 12,20180312,16,16,8,10,2018-03-12,5967,NA
222,Air Force,228,Texas St.,"W, 65-57",65,0,NA,Home,1,0,NA,NA,FALSE,Regular,2018,Sun Nov 12,20171112,1,0,0,0,2017-11-12,217,NA
214,Air Force,131,Canisius,"W, 93-79",72,0,NA,Home,2,0,NA,NA,FALSE,Regular,2018,Tue Nov 14,20171114,2,0,0,0,2017-11-14,329,NA
198,Air Force,329,Arkansas Pine Bluff,"W, 57-47",61,0,NA,Home,3,0,NA,NA,FALSE,Regular,2018,Mon Nov 20,20171120,3,0,0,0,2017-11-20,680,NA
203,Air Force,178,Pacific,"L, 83-71",70,0,NA,Home,3,1,NA,NA,FALSE,Regular,2018,Tue Nov 21,20171121,3,1,0,0,2017-11-21,723,NA
229,Air Force,114,Colorado,"L, 81-69",67,0,NA,Away,3,2,NA,NA,FALSE,Regular,2018,Sun Nov 26,20171126,3,2,0,0,2017-11-26,973,B
229,Air Force,138,Indiana St.,"L, 74-64",71,0,NA,Away,3,3,NA,NA,FALSE,Regular,2018,Wed Nov 29,20171129,3,3,0,0,2017-11-29,1099,NA
232,Air Force,210,Denver,"W, 61-59",68,0,NA,Away,4,3,NA,NA,FALSE,Regular,2018,Sat Dec 2,20171202,4,3,0,0,2017-12-02,1233,NA
229,Air Force,NA,Western St.,"W, 79-67",70,0,NA,Home,5,3,NA,NA,FALSE,Regular,2018,Mon Dec 4,20171204,5,3,0,0,2017-12-04,1374,NA
231,Air Force,262,Abilene Christian,"L, 62-58",68,0,NA,Home,5,4,NA,NA,FALSE,Regular,2018,Wed Dec 6,20171206,5,4,0,0,2017-12-06,1465,NA
237,Air Force,268,UC Riverside,"L, 67-48",62,0,NA,Away,5,5,NA,NA,FALSE,Regular,2018,Fri Dec 8,20171208,5,5,0,0,2017-12-08,1533,NA
264,Air Force,264,Army,"L, 79-54",70,0,NA,Semi-Away,5,6,NA,NA,FALSE,Regular,2018,Sun Dec 17,20171217,5,6,0,0,2017-12-17,1881,NA
281,Air Force,NA,Johnson & Wales CO,"W, 111-68",73,0,NA,Home,6,6,NA,NA,FALSE,Regular,2018,Fri Dec 22,20171222,6,6,0,0,2017-12-22,2125,NA
279,Air Force,106,New Mexico,"L, 87-58",70,0,NA,Away,6,7,0,1,TRUE,Regular,2018,Wed Dec 27,20171227,6,7,0,1,2017-12-27,2238,B
301,Air Force,79,Fresno St.,"L, 71-59",62,0,NA,Away,6,8,0,2,TRUE,Regular,2018,Sat Dec 30,20171230,6,8,0,2,2017-12-30,2357,B
298,Air Force,25,Nevada,"L, 86-75",64,0,NA,Home,6,9,0,3,TRUE,Regular,2018,Sat Jan 6,20180106,6,9,0,3,2018-01-06,2682,A
286,Air Force,107,UNLV,"L, 81-76",68,0,NA,Home,6,10,0,4,TRUE,Regular,2018,Wed Jan 10,20180110,6,10,0,4,2018-01-10,2902,NA
277,Air Force,301,San Jose St.,"W, 78-71",63,0,NA,Away,7,10,1,4,TRUE,Regular,2018,Sat Jan 13,20180113,7,10,1,4,2018-01-13,3115,NA
266,Air Force,224,Colorado St.,"W, 76-71",70,0,NA,Away,8,10,2,4,TRUE,Regular,2018,Wed Jan 17,20180117,8,10,2,4,2018-01-17,3239,NA
252,Air Force,139,Utah St.,"L, 71-49",62,0,NA,Away,8,11,2,5,TRUE,Regular,2018,Wed Jan 24,20180124,8,11,2,5,2018-01-24,3574,NA
258,Air Force,61,Boise St.,"L, 70-64",61,0,NA,Home,8,12,2,6,TRUE,Regular,2018,Sat Jan 27,20180127,8,12,2,6,2018-01-27,3725,B
258,Air Force,50,San Diego St.,"L, 81-50",64,0,NA,Away,8,13,2,7,TRUE,Regular,2018,Sat Feb 3,20180203,8,13,2,7,2018-02-03,4046,A
262,Air Force,224,Colorado St.,"W, 78-73",66,0,NA,Home,9,13,3,7,TRUE,Regular,2018,Tue Feb 6,20180206,9,13,3,7,2018-02-06,4200,NA
261,Air Force,106,New Mexico,"W, 100-92",80,0,NA,Home,10,13,4,7,TRUE,Regular,2018,Sat Feb 10,20180210,10,13,4,7,2018-02-10,4364,NA
256,Air Force,107,UNLV,"L, 81-73",70,0,NA,Away,10,14,4,8,TRUE,Regular,2018,Wed Feb 14,20180214,10,14,4,8,2018-02-14,4593,B
249,Air Force,61,Boise St.,"L, 76-52",63,0,NA,Away,10,15,4,9,TRUE,Regular,2018,Sat Feb 17,20180217,10,15,4,9,2018-02-17,4691,A
257,Air Force,50,San Diego St.,"L, 67-56",65,0,NA,Home,10,16,4,10,TRUE,Regular,2018,Wed Feb 21,20180221,10,16,4,10,2018-02-21,4904,B
257,Air Force,139,Utah St.,"W, 75-65",69,0,NA,Home,11,16,5,10,TRUE,Regular,2018,Sat Feb 24,20180224,11,16,5,10,2018-02-24,5039,NA
244,Air Force,79,Fresno St.,"L, 54-48",70,0,NA,Home,11,17,5,11,TRUE,Regular,2018,Mon Feb 26,20180226,11,17,5,11,2018-02-26,5589,NA
242,Air Force,118,Wyoming,"L, 66-54",70,0,NA,Away,11,18,5,12,TRUE,Regular,2018,Wed Feb 28,20180228,11,18,5,12,2018-02-28,5246,B
245,Air Force,301,San Jose St.,"W, 83-61",70,0,NA,Home,12,18,6,12,TRUE,Regular,2018,Sat Mar 3,20180303,12,18,6,12,2018-03-03,5309,NA
239,Air Force,107,UNLV,"L, 97-90",82,1,NA,Away,12,19,NA,NA,FALSE,Mountain West Conference Tournament,2018,Wed Mar 7,20180307,12,19,6,12,2018-03-07,5733,B
180,Akron,300,Cleveland St.,"W, 67-57",82,0,NA,Home,1,0,NA,NA,FALSE,Regular,2018,Sat Nov 11,20171111,1,0,0,0,2017-11-11,180,NA
181,Akron,294,Tennessee Martin,"W, 76-59",61,0,NA,Home,2,0,NA,NA,FALSE,Regular,2018,Sat Nov 18,20171118,2,0,0,0,2017-11-18,556,NA
167,Akron,172,Dayton,"L, 73-60",64,0,NA,Away,2,1,NA,NA,FALSE,Regular,2018,Sat Nov 25,20171125,2,1,0,0,2017-11-25,915,NA
175,Akron,304,Chattanooga,"W, 75-70",70,0,NA,Home,3,1,NA,NA,FALSE,Regular,2018,Tue Nov 28,20171128,3,1,0,0,2017-11-28,1040,NA
178,Akron,105,Marshall,"L, 86-64",77,0,NA,Away,3,2,NA,NA,FALSE,Regular,2018,Sat Dec 2,20171202,3,2,0,0,2017-12-02,1284,B
198,Akron,165,Fort Wayne,"W, 83-79",77,0,NA,Home,4,2,NA,NA,FALSE,Regular,2018,Wed Dec 6,20171206,4,2,0,0,2017-12-06,1436,NA
193,Akron,208,Appalachian St.,"W, 94-89",74,0,NA,Home,5,2,NA,NA,FALSE,Regular,2018,Sat Dec 9,20171209,5,2,0,0,2017-12-09,1542,NA
191,Akron,348,Mississippi Valley St.,"W, 81-63",68,0,NA,Home,6,2,NA,NA,FALSE,Regular,2018,Sat Dec 16,20171216,6,2,0,0,2017-12-16,1787,NA
195,Akron,51,USC,"L, 84-53",69,0,NA,Neutral,6,3,NA,NA,FALSE,Regular,2018,Fri Dec 22,20171222,6,3,0,0,2017-12-22,2141,B
210,Akron,190,Princeton,"L, 64-62",66,0,NA,Neutral,6,4,NA,NA,FALSE,Regular,2018,Sat Dec 23,20171223,6,4,0,0,2017-12-23,5576,NA
209,Akron,43,Davidson,"L, 91-78",71,0,NA,Neutral,6,5,NA,NA,FALSE,Regular,2018,Mon Dec 25,20171225,6,5,0,0,2017-12-25,5581,A
209,Akron,NA,Concord,"W, 86-49",69,0,NA,Home,7,5,NA,NA,FALSE,Regular,2018,Fri Dec 29,20171229,7,5,0,0,2017-12-29,2302,NA
222,Akron,188,Western Michigan,"L, 87-75",68,0,NA,Away,7,6,0,1,TRUE,Regular,2018,Tue Jan 2,20180102,7,6,0,1,2018-01-02,2535,NA
231,Akron,113,Toledo,"L, 67-65",63,0,NA,Away,7,7,0,2,TRUE,Regular,2018,Fri Jan 5,20180105,7,7,0,2,2018-01-05,2673,B
228,Akron,67,Buffalo,"L, 87-65",74,0,NA,Home,7,8,0,3,TRUE,Regular,2018,Tue Jan 9,20180109,7,8,0,3,2018-01-09,2849,B
247,Akron,232,Bowling Green,"W, 80-78",73,0,NA,Home,8,8,1,3,TRUE,Regular,2018,Sat Jan 13,20180113,8,8,1,3,2018-01-13,3028,NA
246,Akron,143,Eastern Michigan,"L, 63-49",61,0,NA,Away,8,9,1,4,TRUE,Regular,2018,Tue Jan 16,20180116,8,9,1,4,2018-01-16,3209,NA
252,Akron,249,Northern Illinois,"W, 82-67",67,0,NA,Home,9,9,2,4,TRUE,Regular,2018,Sat Jan 20,20180120,9,9,2,4,2018-01-20,3362,NA
242,Akron,193,Ohio,"W, 71-68",62,0,NA,Home,10,9,3,4,TRUE,Regular,2018,Tue Jan 23,20180123,10,9,3,4,2018-01-23,3537,NA
238,Akron,173,Ball St.,"L, 111-106",94,2,NA,Away,10,10,3,5,TRUE,Regular,2018,Sat Jan 27,20180127,10,10,3,5,2018-01-27,3676,NA
235,Akron,194,Miami OH,"L, 79-64",67,0,NA,Away,10,11,3,6,TRUE,Regular,2018,Tue Jan 30,20180130,10,11,3,6,2018-01-30,3878,NA
247,Akron,113,Toledo,"L, 77-56",63,0,NA,Home,10,12,3,7,TRUE,Regular,2018,Sat Feb 3,20180203,10,12,3,7,2018-02-03,4011,NA
254,Akron,193,Ohio,"L, 99-75",78,0,NA,Away,10,13,3,8,TRUE,Regular,2018,Tue Feb 6,20180206,10,13,3,8,2018-02-06,4210,NA
268,Akron,168,Central Michigan,"W, 69-63",66,0,NA,Home,11,13,4,8,TRUE,Regular,2018,Sat Feb 10,20180210,11,13,4,8,2018-02-10,4396,NA
