Team,Opponent.Rk,Opponent,Result,Poss,OT,PreWP,Location,W,L,W.Conference,L.Conference,ConferenceGame,Postseason,Year,Day.Date,GameDate,W.Proj,L.Proj,W.ConferenceProj,L.ConferenceProj,Date,GameId,TiersOfJoy
Air Force,NA,Western St.,"W, 70-64",59,0,NA,Home,1,0,NA,NA,FALSE,Regular,2009,Fri Nov 14,20081114,1,0,0,0,NA,NA,NA
Air Force,272,Cal St. Bakersfield,"W, 70-62",63,0,NA,Home,2,0,NA,NA,FALSE,Regular,2009,Sun Nov 16,20081116,2,0,0,0,NA,NA,NA
Air Force,NA,Colorado Colo Springs,"W, 86-65",61,0,NA,Home,3,0,NA,NA,FALSE,Regular,2009,Sat Nov 22,20081122,3,0,0,0,NA,NA,NA
Air Force,222,Wofford,"L, 74-61",63,0,NA,Home,3,1,NA,NA,FALSE,Regular,2009,Sun Nov 23,20081123,3,1,0,0,NA,NA,NA
Air Force,52,Stanford,"L, 76-57",66,0,NA,Away,3,2,NA,NA,FALSE,Regular,2009,Wed Nov 26,20081126,3,2,0,0,NA,NA,A
Air Force,304,Norfolk St.,"W, 75-52",61,0,NA,Home,4,2,NA,NA,FALSE,Regular,2009,Sun Nov 30,20081130,4,2,0,0,NA,NA,NA
Air Force,289,Northern Illinois,"W, 67-55",54,0,NA,Home,5,2,NA,NA,FALSE,Regular,2009,Wed Dec 3,20081203,5,2,0,0,NA,NA,NA
Air Force,202,Northern Colorado,"W, 71-64",64,0,NA,Away,6,2,NA,NA,FALSE,Regular,2009,Sat Dec 6,20081206,6,2,0,0,NA,NA,NA
Air Force,322,Texas Pan American,"W, 71-50",60,0,NA,Home,7,2,NA,NA,FALSE,Regular,2009,Sat Dec 13,20081213,7,2,0,0,NA,NA,NA
Air Force,320,Texas Southern,"W, 65-41",64,0,NA,Home,8,2,NA,NA,FALSE,Regular,2009,Mon Dec 22,20081222,8,2,0,0,NA,NA,NA
Air Force,109,Portland,"L, 43-42",55,0,NA,Neutral,8,3,NA,NA,FALSE,Regular,2009,Sat Dec 27,20081227,8,3,0,0,NA,NA,NA
Air Force,314,Dartmouth,"W, 63-41",63,0,NA,Neutral,9,3,NA,NA,FALSE,Regular,2009,Sun Dec 28,20081228,9,3,0,0,NA,NA,NA
Air Force,190,Stony Brook,"L, 67-64",59,0,NA,Home,9,4,NA,NA,FALSE,Regular,2009,Wed Dec 31,20081231,9,4,0,0,NA,NA,NA
Air Force,36,San Diego St.,"L, 61-44",51,0,NA,Home,9,5,0,1,TRUE,Regular,2009,Sat Jan 3,20090103,9,5,0,1,NA,NA,B
Air Force,43,New Mexico,"L, 78-53",61,0,NA,Away,9,6,0,2,TRUE,Regular,2009,Sat Jan 10,20090110,9,6,0,2,NA,NA,A
Air Force,28,Utah,"L, 57-36",57,0,NA,Home,9,7,0,3,TRUE,Regular,2009,Wed Jan 14,20090114,9,7,0,3,NA,NA,B
Air Force,126,TCU,"L, 57-54",55,0,NA,Home,9,8,0,4,TRUE,Regular,2009,Sat Jan 17,20090117,9,8,0,4,NA,NA,NA
Air Force,181,Colorado St.,"L, 67-56",60,0,NA,Away,9,9,0,5,TRUE,Regular,2009,Tue Jan 20,20090120,9,9,0,5,NA,NA,NA
Air Force,130,Wyoming,"L, 72-59",57,0,NA,Away,9,10,0,6,TRUE,Regular,2009,Tue Jan 27,20090127,9,10,0,6,NA,NA,NA
Air Force,73,UNLV,"L, 59-38",55,0,NA,Home,9,11,0,7,TRUE,Regular,2009,Sat Jan 31,20090131,9,11,0,7,NA,NA,B
Air Force,21,BYU,"L, 71-50",63,0,NA,Home,9,12,0,8,TRUE,Regular,2009,Tue Feb 3,20090203,9,12,0,8,NA,NA,A
Air Force,36,San Diego St.,"L, 65-34",56,0,NA,Away,9,13,0,9,TRUE,Regular,2009,Sat Feb 7,20090207,9,13,0,9,NA,NA,A
Air Force,43,New Mexico,"L, 76-66",60,0,NA,Home,9,14,0,10,TRUE,Regular,2009,Wed Feb 11,20090211,9,14,0,10,NA,NA,B
Air Force,28,Utah,"L, 74-59",55,0,NA,Away,9,15,0,11,TRUE,Regular,2009,Sat Feb 14,20090214,9,15,0,11,NA,NA,A
Air Force,126,TCU,"L, 62-50",55,0,NA,Away,9,16,0,12,TRUE,Regular,2009,Wed Feb 18,20090218,9,16,0,12,NA,NA,B
Air Force,181,Colorado St.,"L, 71-66",59,0,NA,Home,9,17,0,13,TRUE,Regular,2009,Sat Feb 21,20090221,9,17,0,13,NA,NA,NA
Air Force,130,Wyoming,"L, 65-62",63,0,NA,Home,9,18,0,14,TRUE,Regular,2009,Sat Feb 28,20090228,9,18,0,14,NA,NA,NA
Air Force,73,UNLV,"L, 46-43",55,0,NA,Away,9,19,0,15,TRUE,Regular,2009,Wed Mar 4,20090304,9,19,0,15,NA,NA,A
Air Force,21,BYU,"L, 54-49",61,0,NA,Away,9,20,0,16,TRUE,Regular,2009,Sat Mar 7,20090307,9,20,0,16,NA,NA,A
Air Force,181,Colorado St.,"W, 71-67",60,0,NA,Neutral,10,20,NA,NA,FALSE,Mountain West Conference Tournament,2009,Wed Mar 11,20090311,10,20,0,16,NA,NA,NA
Air Force,21,BYU,"L, 80-69",64,0,NA,Neutral,10,21,NA,NA,FALSE,Mountain West Conference Tournament,2009,Thu Mar 12,20090312,10,21,0,16,NA,NA,A
Akron,237,Canisius,"W, 56-46",65,0,NA,Home,1,0,NA,NA,FALSE,Regular,2009,Sat Nov 15,20081115,1,0,0,0,NA,NA,NA
Akron,278,Winthrop,"W, 72-58",63,0,NA,Home,2,0,NA,NA,FALSE,Regular,2009,Tue Nov 18,20081118,2,0,0,0,NA,NA,NA
Akron,3,Pittsburgh,"L, 86-67",62,0,NA,Away,2,1,NA,NA,FALSE,Regular,2009,Fri Nov 21,20081121,2,1,0,0,NA,NA,A
Akron,NA,Urbana,"W, 81-37",74,0,NA,Home,3,1,NA,NA,FALSE,Regular,2009,Tue Nov 25,20081125,3,1,0,0,NA,NA,NA
Akron,155,Eastern Kentucky,"L, 69-57",64,0,NA,Neutral,3,2,NA,NA,FALSE,Regular,2009,Sat Nov 29,20081129,3,2,0,0,NA,NA,NA
Akron,335,Fairleigh Dickinson,"W, 85-41",68,0,NA,Away,4,2,NA,NA,FALSE,Regular,2009,Sun Nov 30,20081130,4,2,0,0,NA,NA,NA
Akron,75,Niagara,"W, 63-59",63,0,NA,Away,5,2,NA,NA,FALSE,Regular,2009,Wed Dec 3,20081203,5,2,0,0,NA,NA,B
Akron,78,Dayton,"L, 54-50",64,0,NA,Home,5,3,NA,NA,FALSE,Regular,2009,Sat Dec 6,20081206,5,3,0,0,NA,NA,B
Akron,299,North Carolina A&T,"W, 78-61",69,0,NA,Home,6,3,NA,NA,FALSE,Regular,2009,Sat Dec 13,20081213,6,3,0,0,NA,NA,NA
Akron,54,VCU,"L, 73-69",65,0,NA,Away,6,4,NA,NA,FALSE,Regular,2009,Wed Dec 17,20081217,6,4,0,0,NA,NA,A
Akron,301,St. Francis NY,"W, 77-70",67,0,NA,Home,7,4,NA,NA,FALSE,Regular,2009,Sun Dec 28,20081228,7,4,0,0,NA,NA,NA
Akron,324,UNC Greensboro,"W, 75-53",66,0,NA,Away,8,4,NA,NA,FALSE,Regular,2009,Wed Dec 31,20081231,8,4,0,0,NA,NA,NA
Akron,62,Rhode Island,"L, 79-50",67,0,NA,Away,8,5,NA,NA,FALSE,Regular,2009,Sat Jan 3,20090103,8,5,0,0,NA,NA,A
Akron,91,Miami OH,"L, 64-51",69,1,NA,Away,8,6,0,1,TRUE,Regular,2009,Sat Jan 10,20090110,8,6,0,1,NA,NA,B
Akron,119,Buffalo,"L, 63-61",62,0,NA,Home,8,7,0,2,TRUE,Regular,2009,Tue Jan 13,20090113,8,7,0,2,NA,NA,NA
Akron,142,Bowling Green,"W, 62-52",62,0,NA,Away,9,7,1,2,TRUE,Regular,2009,Sat Jan 17,20090117,9,7,1,2,NA,NA,NA
Akron,170,Ohio,"L, 70-65",72,1,NA,Away,9,8,1,3,TRUE,Regular,2009,Tue Jan 20,20090120,9,8,1,3,NA,NA,NA
Akron,124,Kent St.,"W, 68-54",68,0,NA,Home,10,8,2,3,TRUE,Regular,2009,Sat Jan 24,20090124,10,8,2,3,NA,NA,NA
Akron,223,Youngstown St.,"W, 67-53",65,0,NA,Away,11,8,NA,NA,FALSE,Regular,2009,Mon Jan 26,20090126,11,8,2,3,NA,NA,NA
Akron,298,Toledo,"W, 70-61",66,0,NA,Away,12,8,3,3,TRUE,Regular,2009,Wed Jan 28,20090128,12,8,3,3,NA,NA,NA
Akron,252,Central Michigan,"W, 64-43",60,0,NA,Home,13,8,4,3,TRUE,Regular,2009,Sat Jan 31,20090131,13,8,4,3,NA,NA,NA
Akron,308,Eastern Michigan,"W, 78-41",67,0,NA,Away,14,8,5,3,TRUE,Regular,2009,Tue Feb 3,20090203,14,8,5,3,NA,NA,NA
Akron,248,Western Michigan,"W, 87-63",73,0,NA,Home,15,8,6,3,TRUE,Regular,2009,Sun Feb 8,20090208,15,8,6,3,NA,NA,NA
Akron,240,Ball St.,"W, 63-55",61,0,NA,Home,16,8,7,3,TRUE,Regular,2009,Wed Feb 11,20090211,16,8,7,3,NA,NA,NA
Akron,289,Northern Illinois,"L, 83-79",77,0,NA,Away,16,9,7,4,TRUE,Regular,2009,Sun Feb 15,20090215,16,9,7,4,NA,NA,NA
Akron,91,Miami OH,"W, 53-44",61,0,NA,Home,17,9,8,4,TRUE,Regular,2009,Wed Feb 18,20090218,17,9,8,4,NA,NA,NA
Akron,226,Valparaiso,"L, 74-66",68,0,NA,Away,17,10,NA,NA,FALSE,Regular,2009,Sat Feb 21,20090221,17,10,8,4,NA,NA,NA
Akron,119,Buffalo,"W, 62-57",67,0,NA,Away,18,10,9,4,TRUE,Regular,2009,Thu Feb 26,20090226,18,10,9,4,NA,NA,B
Akron,142,Bowling Green,"L, 50-46",53,0,NA,Home,18,11,9,5,TRUE,Regular,2009,Sun Mar 1,20090301,18,11,9,5,NA,NA,NA
Akron,170,Ohio,"W, 60-51",65,0,NA,Home,19,11,10,5,TRUE,Regular,2009,Thu Mar 5,20090305,19,11,10,5,NA,NA,NA
Akron,124,Kent St.,"L, 67-63",63,0,NA,Away,19,12,10,6,TRUE,Regular,2009,Sun Mar 8,20090308,19,12,10,6,NA,NA,B
Akron,298,Toledo,"W, 93-92",87,1,NA,Home,20,12,NA,NA,FALSE,Mid American Conference Tournament,2009,Tue Mar 10,20090310,20,12,10,6,NA,NA,NA
