Team.Rk,Team,Opponent.Rk,Opponent,Result,Poss,OT,PreWP,Location,W,L,W.Conference,L.Conference,ConferenceGame,Postseason,Year,Day.Date,GameDate,W.Proj,L.Proj,W.ConferenceProj,L.ConferenceProj,Date,GameId,TiersOfJoy
296,Abilene Christian,NA,Arlington Baptist,"W, 90-39",77,0,NA,Home,1,0,NA,NA,FALSE,Regular,2020,Tue Nov 5,20191105,1,0,0,0,2019-11-05,105,NA
297,Abilene Christian,244,Drexel,"L, 86-83",80,1,NA,Away,1,1,NA,NA,FALSE,Regular,2020,Sun Nov 10,20191110,1,1,0,0,2019-11-10,353,NA
293,Abilene Christian,139,Pepperdine,"L, 73-69",72,0,NA,Home,1,2,NA,NA,FALSE,Regular,2020,Sat Nov 16,20191116,1,2,0,0,2019-11-16,688,NA
292,Abilene Christian,98,UNLV,"L, 72-58",62,0,NA,Away,1,3,NA,NA,FALSE,Regular,2020,Mon Nov 18,20191118,1,3,0,0,2019-11-18,772,B
295,Abilene Christian,NA,Champion Christian,"W, 90-58",74,0,NA,Home,2,3,NA,NA,FALSE,Regular,2020,Thu Nov 21,20191121,2,3,0,0,2019-11-21,882,NA
295,Abilene Christian,93,Texas St.,"L, 61-56",65,0,NA,Away,2,4,NA,NA,FALSE,Regular,2020,Mon Nov 25,20191125,2,4,0,0,2019-11-25,1106,B
290,Abilene Christian,88,SMU,"L, 70-51",59,0,NA,Away,2,5,NA,NA,FALSE,Regular,2020,Fri Nov 29,20191129,2,5,0,0,2019-11-29,1242,B
290,Abilene Christian,340,Southeast Missouri St.,"W, 73-64",73,0,NA,Home,3,5,NA,NA,FALSE,Regular,2020,Thu Dec 5,20191205,3,5,0,0,2019-12-05,1495,NA
283,Abilene Christian,NA,Dallas Christian,"W, 102-34",76,0,NA,Home,4,5,NA,NA,FALSE,Regular,2020,Sat Dec 7,20191207,4,5,0,0,2019-12-07,1599,NA
284,Abilene Christian,NA,Howard Payne,"W, 105-36",77,0,NA,Home,5,5,NA,NA,FALSE,Regular,2020,Thu Dec 12,20191212,5,5,0,0,2019-12-12,1717,NA
287,Abilene Christian,326,New Orleans,"W, 77-71",77,0,NA,Away,6,5,1,0,TRUE,Regular,2020,Wed Dec 18,20191218,6,5,1,0,2019-12-18,1939,NA
277,Abilene Christian,193,Nicholls St.,"W, 79-61",75,0,NA,Home,7,5,2,0,TRUE,Regular,2020,Sat Dec 21,20191221,7,5,2,0,2019-12-21,2108,NA
265,Abilene Christian,39,Wichita St.,"L, 84-66",74,0,NA,Away,7,6,NA,NA,FALSE,Regular,2020,Sun Dec 29,20191229,7,6,2,0,2019-12-29,2262,A
259,Abilene Christian,236,Lamar,"W, 74-62",70,0,NA,Away,8,6,3,0,TRUE,Regular,2020,Sat Jan 4,20200104,8,6,3,0,2020-01-04,2502,NA
226,Abilene Christian,276,McNeese St.,"L, 88-84",79,0,NA,Home,8,7,3,1,TRUE,Regular,2020,Wed Jan 8,20200108,8,7,3,1,2020-01-08,2708,NA
235,Abilene Christian,303,Texas A&M Corpus Chris,"W, 68-56",71,0,NA,Home,9,7,4,1,TRUE,Regular,2020,Sat Jan 11,20200111,9,7,4,1,2020-01-11,2864,NA
221,Abilene Christian,336,Southeastern Louisiana,"W, 76-55",70,0,NA,Home,10,7,5,1,TRUE,Regular,2020,Sat Jan 18,20200118,10,7,5,1,2020-01-18,3241,NA
204,Abilene Christian,212,Sam Houston St.,"L, 82-76",78,1,NA,Away,10,8,5,2,TRUE,Regular,2020,Wed Jan 22,20200122,10,8,5,2,2020-01-22,3373,NA
199,Abilene Christian,283,Central Arkansas,"W, 70-69",76,1,NA,Away,11,8,6,2,TRUE,Regular,2020,Sat Jan 25,20200125,11,8,6,2,2020-01-25,3493,NA
202,Abilene Christian,100,Stephen F. Austin,"L, 71-61",70,0,NA,Away,11,9,6,3,TRUE,Regular,2020,Wed Jan 29,20200129,11,9,6,3,2020-01-29,3696,B
202,Abilene Christian,345,Incarnate Word,"W, 72-58",63,0,NA,Home,12,9,7,3,TRUE,Regular,2020,Sat Feb 1,20200201,12,9,7,3,2020-02-01,3893,NA
200,Abilene Christian,270,Northwestern St.,"L, 73-69",72,0,NA,Away,12,10,7,4,TRUE,Regular,2020,Wed Feb 5,20200205,12,10,7,4,2020-02-05,4009,NA
204,Abilene Christian,236,Lamar,"W, 84-49",74,0,NA,Home,13,10,8,4,TRUE,Regular,2020,Sat Feb 8,20200208,13,10,8,4,2020-02-08,4212,NA
185,Abilene Christian,342,Houston Baptist,"W, 81-67",76,0,NA,Home,14,10,9,4,TRUE,Regular,2020,Wed Feb 12,20200212,14,10,9,4,2020-02-12,4349,NA
186,Abilene Christian,303,Texas A&M Corpus Chris,"W, 78-64",69,0,NA,Away,15,10,10,4,TRUE,Regular,2020,Sat Feb 15,20200215,15,10,10,4,2020-02-15,4511,NA
182,Abilene Christian,342,Houston Baptist,"W, 82-68",71,0,NA,Away,16,10,11,4,TRUE,Regular,2020,Wed Feb 19,20200219,16,10,11,4,2020-02-19,4672,NA
180,Abilene Christian,336,Southeastern Louisiana,"W, 75-69",71,0,NA,Away,17,10,12,4,TRUE,Regular,2020,Sat Feb 22,20200222,17,10,12,4,2020-02-22,4839,NA
182,Abilene Christian,212,Sam Houston St.,"W, 85-69",72,0,NA,Home,18,10,13,4,TRUE,Regular,2020,Wed Feb 26,20200226,18,10,13,4,2020-02-26,5002,NA
175,Abilene Christian,283,Central Arkansas,"W, 75-70",74,0,NA,Home,19,10,14,4,TRUE,Regular,2020,Sat Feb 29,20200229,19,10,14,4,2020-02-29,5142,NA
178,Abilene Christian,100,Stephen F. Austin,"L, 77-72",72,0,NA,Home,19,11,14,5,TRUE,Regular,2020,Tue Mar 3,20200303,19,11,14,5,2020-03-03,5273,NA
180,Abilene Christian,345,Incarnate Word,"W, 71-68",70,1,NA,Away,20,11,15,5,TRUE,Regular,2020,Sat Mar 7,20200307,20,11,15,5,2020-03-07,5390,NA
171,Air Force,291,Idaho St.,"L, 89-79",69,0,NA,Home,0,1,NA,NA,FALSE,Regular,2020,Thu Nov 7,20191107,0,1,0,0,2019-11-07,205,NA
206,Air Force,93,Texas St.,"W, 78-71",69,0,NA,Home,1,1,NA,NA,FALSE,Regular,2020,Sat Nov 9,20191109,1,1,0,0,2019-11-09,299,NA
196,Air Force,264,Army,"W, 69-57",74,0,NA,Away,2,1,NA,NA,FALSE,Regular,2020,Tue Nov 12,20191112,2,1,0,0,2019-11-12,414,NA
179,Air Force,86,TCU,"L, 65-54",64,0,NA,Away,2,2,NA,NA,FALSE,Regular,2020,Mon Nov 18,20191118,2,2,0,0,2019-11-18,770,B
173,Air Force,209,Loyola Marymount,"L, 78-64",61,0,NA,Neutral,2,3,NA,NA,FALSE,Regular,2020,Thu Nov 21,20191121,2,3,0,0,2019-11-21,885,NA
199,Air Force,95,Duquesne,"L, 69-63",65,0,NA,Neutral,2,4,NA,NA,FALSE,Regular,2020,Fri Nov 22,20191122,2,4,0,0,2019-11-22,941,B
203,Air Force,122,Indiana St.,"L, 84-74",70,0,NA,Neutral,2,5,NA,NA,FALSE,Regular,2020,Sun Nov 24,20191124,2,5,0,0,2019-11-24,1059,NA
218,Air Force,281,Jackson St.,"W, 76-52",67,0,NA,Home,3,5,NA,NA,FALSE,Regular,2020,Sun Dec 1,20191201,3,5,0,0,2019-12-01,1325,NA
203,Air Force,246,Wyoming,"W, 86-77",66,0,NA,Away,4,5,1,0,TRUE,Regular,2020,Wed Dec 4,20191204,4,5,1,0,2019-12-04,1472,NA
186,Air Force,85,Nevada,"L, 100-85",75,0,NA,Home,4,6,1,1,TRUE,Regular,2020,Sat Dec 7,20191207,4,6,1,1,2019-12-07,1535,NA
203,Air Force,305,Denver,"W, 79-75",68,0,NA,Away,5,6,NA,NA,FALSE,Regular,2020,Sat Dec 14,20191214,5,6,1,1,2019-12-14,1762,NA
206,Air Force,NA,Johnson & Wales CO,"W, 99-42",68,0,NA,Home,6,6,NA,NA,FALSE,Regular,2020,Tue Dec 17,20191217,6,6,1,1,2019-12-17,1897,NA
202,Air Force,163,Drake,"L, 85-80",65,0,NA,Home,6,7,NA,NA,FALSE,Regular,2020,Sat Dec 21,20191221,6,7,1,1,2019-12-21,2037,NA
212,Air Force,211,UC Riverside,"W, 105-56",67,0,NA,Home,7,7,NA,NA,FALSE,Regular,2020,Tue Dec 31,20191231,7,7,1,1,2019-12-31,2355,NA
176,Air Force,98,UNLV,"L, 71-59",67,0,NA,Away,7,8,1,2,TRUE,Regular,2020,Sat Jan 4,20200104,7,8,1,2,2020-01-04,2575,B
181,Air Force,41,Utah St.,"W, 79-60",69,0,NA,Home,8,8,2,2,TRUE,Regular,2020,Tue Jan 7,20200107,8,8,2,2,2020-01-07,2674,B
166,Air Force,138,New Mexico,"L, 84-78",79,0,NA,Away,8,9,2,3,TRUE,Regular,2020,Sat Jan 11,20200111,8,9,2,3,2020-01-11,2891,NA
162,Air Force,83,Boise St.,"W, 85-78",72,0,NA,Home,9,9,3,3,TRUE,Regular,2020,Wed Jan 15,20200115,9,9,3,3,2020-01-15,3037,NA
157,Air Force,99,Colorado St.,"L, 78-65",68,0,NA,Home,9,10,3,4,TRUE,Regular,2020,Sat Jan 18,20200118,9,10,3,4,2020-01-18,3174,NA
168,Air Force,41,Utah St.,"L, 72-47",67,0,NA,Away,9,11,3,5,TRUE,Regular,2020,Tue Jan 21,20200121,9,11,3,5,2020-01-21,3333,A
170,Air Force,290,San Jose St.,"L, 90-81",80,0,NA,Away,9,12,3,6,TRUE,Regular,2020,Sat Jan 25,20200125,9,12,3,6,2020-01-25,3527,NA
174,Air Force,157,Fresno St.,"L, 79-68",64,0,NA,Home,9,13,3,7,TRUE,Regular,2020,Tue Jan 28,20200128,9,13,3,7,2020-01-28,3651,NA
187,Air Force,85,Nevada,"L, 88-54",73,0,NA,Away,9,14,3,8,TRUE,Regular,2020,Tue Feb 4,20200204,9,14,3,8,2020-02-04,3984,B
193,Air Force,6,San Diego St.,"L, 89-74",64,0,NA,Home,9,15,3,9,TRUE,Regular,2020,Sat Feb 8,20200208,9,15,3,9,2020-02-08,4213,A
191,Air Force,83,Boise St.,"L, 74-57",69,0,NA,Away,9,16,3,10,TRUE,Regular,2020,Tue Feb 11,20200211,9,16,3,10,2020-02-11,4305,B
194,Air Force,290,San Jose St.,"W, 95-86",82,0,NA,Home,10,16,4,10,TRUE,Regular,2020,Sat Feb 15,20200215,10,16,4,10,2020-02-15,4480,NA
197,Air Force,157,Fresno St.,"L, 71-62",63,0,NA,Away,10,17,4,11,TRUE,Regular,2020,Wed Feb 19,20200219,10,17,4,11,2020-02-19,4690,NA
204,Air Force,246,Wyoming,"L, 78-72",76,0,NA,Home,10,18,4,12,TRUE,Regular,2020,Sat Feb 22,20200222,10,18,4,12,2020-02-22,4801,NA
211,Air Force,138,New Mexico,"W, 60-58",69,0,NA,Home,11,18,5,12,TRUE,Regular,2020,Wed Feb 26,20200226,11,18,5,12,2020-02-26,5005,NA
207,Air Force,99,Colorado St.,"L, 87-74",64,0,NA,Away,11,19,5,13,TRUE,Regular,2020,Sat Feb 29,20200229,11,19,5,13,2020-02-29,5124,B
208,Air Force,157,Fresno St.,"W, 77-70",65,0,NA,Neutral,12,19,NA,NA,FALSE,Mountain West Conference Tournament,2020,Wed Mar 4,20200304,12,19,5,13,2020-03-04,5625,NA
204,Air Force,6,San Diego St.,"L, 73-60",63,0,NA,Neutral,12,20,NA,NA,FALSE,Mountain West Conference Tournament,2020,Thu Mar 5,20200305,12,20,5,13,2020-03-05,5667,A
125,Akron,NA,Malone,"W, 81-64",72,0,NA,Home,1,0,NA,NA,FALSE,Regular,2020,Tue Nov 5,20191105,1,0,0,0,2019-11-05,10,NA
123,Akron,10,West Virginia,"L, 94-84",84,0,NA,Away,1,1,NA,NA,FALSE,Regular,2020,Fri Nov 8,20191108,1,1,0,0,2019-11-08,240,A
123,Akron,272,North Carolina Central,"W, 57-47",74,0,NA,Home,2,1,NA,NA,FALSE,Regular,2020,Fri Nov 15,20191115,2,1,0,0,2019-11-15,570,NA
127,Akron,325,USC Upstate,"W, 76-45",67,0,NA,Home,3,1,NA,NA,FALSE,Regular,2020,Mon Nov 18,20191118,3,1,0,0,2019-11-18,737,NA
119,Akron,232,Youngstown St.,"W, 82-60",75,0,NA,Home,4,1,NA,NA,FALSE,Regular,2020,Thu Nov 21,20191121,4,1,0,0,2019-11-21,890,NA
109,Akron,9,Louisville,"L, 82-76",76,0,NA,Away,4,2,NA,NA,FALSE,Regular,2020,Sun Nov 24,20191124,4,2,0,0,2019-11-24,1062,A
102,Akron,227,Merrimack,"W, 64-47",64,0,NA,Home,5,2,NA,NA,FALSE,Regular,2020,Fri Nov 29,20191129,5,2,0,0,2019-11-29,1232,NA
100,Akron,143,Marshall,"W, 85-73",77,0,NA,Away,6,2,NA,NA,FALSE,Regular,2020,Wed Dec 4,20191204,6,2,0,0,2019-12-04,1434,NA
96,Akron,250,Southern,"W, 72-57",64,0,NA,Home,7,2,NA,NA,FALSE,Regular,2020,Sun Dec 8,20191208,7,2,0,0,2019-12-08,1629,NA
98,Akron,NA,Concord,"W, 100-50",83,0,NA,Home,8,2,NA,NA,FALSE,Regular,2020,Sun Dec 15,20191215,8,2,0,0,2019-12-15,1822,NA
92,Akron,185,Tulane,"W, 62-61",69,0,NA,Neutral,9,2,NA,NA,FALSE,Regular,2020,Fri Dec 20,20191220,9,2,0,0,2019-12-20,1996,NA
98,Akron,79,Liberty,"L, 80-67",63,0,NA,Neutral,9,3,NA,NA,FALSE,Regular,2020,Sat Dec 21,20191221,9,3,0,0,2019-12-21,5570,B
101,Akron,165,Massachusetts,"W, 85-79",76,0,NA,Home,10,3,NA,NA,FALSE,Regular,2020,Mon Dec 30,20191230,10,3,0,0,2019-12-30,2309,NA
100,Akron,196,Eastern Michigan,"W, 69-45",62,0,NA,Away,11,3,1,0,TRUE,Regular,2020,Sat Jan 4,20200104,11,3,1,0,2020-01-04,2475,NA
83,Akron,237,Western Michigan,"W, 84-69",73,0,NA,Home,12,3,2,0,TRUE,Regular,2020,Tue Jan 7,20200107,12,3,2,0,2020-01-07,2646,NA
82,Akron,116,Ball St.,"W, 75-60",68,0,NA,Home,13,3,3,0,TRUE,Regular,2020,Fri Jan 10,20200110,13,3,3,0,2020-01-10,2798,NA
70,Akron,182,Northern Illinois,"W, 72-49",66,0,NA,Away,14,3,4,0,TRUE,Regular,2020,Tue Jan 14,20200114,14,3,4,0,2020-01-14,2984,NA
60,Akron,152,Toledo,"L, 99-89",71,0,NA,Home,14,4,4,1,TRUE,Regular,2020,Sat Jan 18,20200118,14,4,4,1,2020-01-18,3142,NA
65,Akron,229,Miami OH,"W, 81-60",66,0,NA,Away,15,4,5,1,TRUE,Regular,2020,Tue Jan 21,20200121,15,4,5,1,2020-01-21,3317,NA
60,Akron,167,Ohio,"W, 88-86",66,0,NA,Away,16,4,6,1,TRUE,Regular,2020,Sat Jan 25,20200125,16,4,6,1,2020-01-25,3490,NA
60,Akron,148,Buffalo,"L, 77-74",77,0,NA,Home,16,5,6,2,TRUE,Regular,2020,Tue Jan 28,20200128,16,5,6,2,2020-01-28,3635,NA
64,Akron,128,Kent St.,"L, 68-67",65,0,NA,Away,16,6,6,3,TRUE,Regular,2020,Fri Jan 31,20200131,16,6,6,3,2020-01-31,3772,B
64,Akron,196,Eastern Michigan,"W, 59-58",65,0,NA,Home,17,6,7,3,TRUE,Regular,2020,Sat Feb 8,20200208,17,6,7,3,2020-02-08,4237,NA
