Role,Number,Player,Ht,Wt,Yr,G,S,Min.Pct,ORtg,Poss.Pct,Shots.Pct,eFG.Pct,TS.Pct,OR.Pct,DR.Pct,ARate,TORate,Blk.Pct,Stl.Pct,FCper40,FDper40,FTRate,FTM,FTA,FT.Pct,FGM_2,FGA_2,FG_2.Pct,FGM_3,FGA_3,FG_3.Pct,Min.Pct.Rk,ORtg.Rk,Poss.Pct.Rk,Shots.Pct.Rk,eFG.Pct.Rk,TS.Pct.Rk,OR.Pct.Rk,DR.Pct.Rk,ARate.Rk,TORate.Rk,Blk.Pct.Rk,Stl.Pct.Rk,FCper40.Rk,FDper40.Rk,FTRate.Rk,FT.Pct.Rk,FG_2.Pct.Rk,FG_3.Pct.Rk,NationalRank,Team,Year,PlayerId
Go-to Guys,11,Harrison Hawkins,6-0,170,Sr,28,17,62.1,93.6,30.2,32.2,51.3,54.6,1.7,17,17.6,20.8,0.5,1.9,4.4,4.5,24.6,57,73,0.781,79,158,0.5,49,139,0.353,NA,NA,38,34,494,NA,NA,NA,NA,NA,NA,NA,NA,495,NA,325,NA,NA,National Rank,Abilene Christian,2015,18637
Major Contributor,1,LaDarrien Williams,6-0,180,Sr,28,12,61,91.3,26.9,27.6,45,49.4,4.5,20.8,20.8,20.5,0.5,2.3,3.7,4,24.1,50,60,0.833,67,163,0.411,30,86,0.349,NA,NA,177,223,NA,NA,NA,244,415,NA,NA,NA,NA,NA,NA,109,NA,NA,National Rank,Abilene Christian,2015,18632
Major Contributor,20,Christian Albright,6-7,240,Fr,18,9,19.6,76.3,24.5,23.5,39.7,41.1,9.1,16.6,16.6,26.5,4.3,1.1,5.7,2.7,11.8,5,8,0.625,27,66,0.409,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2015,25004
Significant Contributor,22,Drake Green,6-3,170,Fr,25,NA,18.1,77.1,20.1,23.5,36.5,37.9,2.3,11,11.4,13.6,1.1,1.2,4.1,3,19,6,12,0.5,17,51,0.333,4,12,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2015,25005
Role Player,12,Austin Cooke,6-7,225,Jr,28,28,75.1,109.9,16.9,19.1,56.6,59.2,5.3,6.5,6.5,14.7,0.1,1.1,3.6,2.8,23,39,49,0.796,44,98,0.449,51,115,0.443,NA,484,NA,NA,152,186,NA,177,NA,461,NA,NA,NA,NA,NA,NA,NA,48,National Rank,Abilene Christian,2015,18638
Role Player,3,Parker Wentz,5-9,170,Jr,28,28,74.5,104.8,19.8,21.1,52.1,57.7,1,10,10.2,16.1,0.3,3,2.7,3.9,36.9,73,86,0.849,42,104,0.404,53,129,0.411,NA,NA,NA,NA,433,273,NA,NA,NA,NA,NA,215,NA,NA,NA,72,NA,171,National Rank,Abilene Christian,2015,18634
Role Player,33,Duran Porter,6-8,230,Jr,28,3,33.9,90.6,19,18.5,50.5,50.4,7.7,5.7,5.7,19.6,3.7,0.5,6.6,3.6,36.6,16,34,0.471,47,93,0.505,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2015,25006
Role Player,10,Isaiah Tripp,6-1,180,Fr,26,NA,15.7,96.1,17.9,18,46.4,48.9,6.7,10.5,10.5,15.6,0,1.8,6.4,3.4,35.7,9,15,0.6,15,36,0.417,3,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2015,25002
Limited Role,5,Jalen Little,5-11,170,Jr,28,27,65.5,81.4,12.5,8.8,31.2,38.5,0.8,26.4,26.4,31.6,0,2.4,3.3,2.1,34.1,23,29,0.793,13,52,0.25,9,33,0.273,NA,NA,NA,NA,NA,NA,NA,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Abilene Christian,2015,27390
Limited Role,0,Riley Payne,6-5,200,Fr,27,16,36.1,91.1,12.2,12.3,47,45.6,6.4,3.2,3.2,13.8,0.3,0.6,5.8,2.6,37.9,9,25,0.36,31,66,0.47,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2015,18628
Limited Role,4,Michael Grant,6-5,205,So,23,NA,14.9,67.8,15.9,13.1,24.1,36.3,2.1,3.6,3.6,20.9,0.7,3.3,6,4.5,79.3,15,23,0.652,7,28,0.25,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2015,18635
Limited Role,2,K.J. Maura,5-7,150,Fr,16,NA,14.3,84.3,15.1,11.8,36,39.7,4.4,27.9,27.9,30.7,0,2.3,2.2,1.8,12,3,3,0.999,3,12,0.25,4,13,0.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2015,27389
Benchwarmer,14,Alexsander Milosavljevic,6-9,245,Jr,19,NA,7.2,64.2,17.2,16.8,27.8,27.8,14.5,2.6,2.6,26.5,0,0.8,3.5,1.5,0,0,0,0,5,18,0.278,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2015,18639
Benchwarmer,42,David Hanson,6-0,170,Jr,10,NA,2,46.7,9.5,3.4,0,0,5.3,17,17,29.5,0,0,5.5,3.1,200,0,2,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abilene Christian,2015,25007
Major Contributor,22,Max Yon,6-4,198,Sr,23,15,55.8,100.2,25.2,27.3,53.1,54.9,1.4,17,17.4,18.8,0.9,1.1,2,4.1,28.1,41,63,0.651,65,121,0.537,36,103,0.35,NA,NA,323,237,NA,NA,NA,NA,NA,NA,NA,NA,146,NA,NA,NA,379,NA,National Rank,Air Force,2015,11570
Significant Contributor,35,Hayden Graham,6-5,195,So,28,17,58.6,100.6,21.2,22.7,49.2,51.3,8.3,11.6,11.6,17.3,1,1.4,3.6,3.2,23,30,45,0.667,83,136,0.61,9,60,0.15,NA,NA,NA,NA,NA,NA,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,National Rank,Air Force,2015,18650
Significant Contributor,13,Matt Mooney,6-3,200,Fr,27,6,44.3,106.5,21.1,23.6,53.2,55.6,3.1,18.3,18.3,17.5,1.1,2.9,2.2,2.9,18.2,22,28,0.786,43,84,0.512,26,70,0.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,283,NA,NA,NA,NA,481,National Rank,Air Force,2015,27398
Significant Contributor,3,Justin Hammonds,6-6,205,Sr,23,20,41.3,99.1,21.6,16.8,55.9,57.4,5.6,18.9,18.9,25.9,1.5,2.3,5.8,4.6,60.8,37,62,0.597,51,91,0.56,4,11,0.364,NA,NA,NA,NA,NA,NA,NA,435,NA,NA,NA,NA,NA,452,NA,NA,234,NA,National Rank,Air Force,2015,11564
