Role,Number,Player,Ht,Wt,Yr,G,S,Min.Pct,ORtg,Poss.Pct,Shots.Pct,eFG.Pct,TS.Pct,OR.Pct,DR.Pct,ARate,TORate,Blk.Pct,Stl.Pct,FCper40,FDper40,FTRate,FTM,FTA,FT.Pct,FGM_2,FGA_2,FG_2.Pct,FGM_3,FGA_3,FG_3.Pct,Min.Pct.Rk,ORtg.Rk,Poss.Pct.Rk,Shots.Pct.Rk,eFG.Pct.Rk,TS.Pct.Rk,OR.Pct.Rk,DR.Pct.Rk,ARate.Rk,TORate.Rk,Blk.Pct.Rk,Stl.Pct.Rk,FCper40.Rk,FDper40.Rk,FTRate.Rk,FT.Pct.Rk,FG_2.Pct.Rk,FG_3.Pct.Rk,NationalRank,Team,Year,PlayerId
Significant Contributor,5,Anthlon Bell,6-3,185,Sr,32,30,70.3,114,22.5,28.7,53.9,56.9,2.6,8.5,8.5,9.5,0.8,1.2,3,3.6,20.4,69,82,0.841,83,200,0.415,89,202,0.441,NA,356,NA,125,335,373,NA,NA,NA,45,NA,NA,NA,NA,NA,106,NA,47,National Rank,Arkansas,2016,14318
Significant Contributor,3,Dusty Hannahs,6-3,203,Jr,32,20,66.3,117.4,23.9,28.8,56.5,60.9,2.4,7,7,11.1,0,1.3,3.1,4.6,30.3,100,115,0.87,93,193,0.482,81,187,0.433,NA,213,477,119,183,124,NA,NA,NA,138,NA,NA,NA,NA,NA,34,NA,63,National Rank,Arkansas,2016,16455
Significant Contributor,24,Jimmy Whitt,6-4,173,Fr,32,10,42.1,90.7,20.6,23.1,40.2,44.7,2.1,11,11.4,15.3,1.2,2,4.8,3.5,24.7,38,48,0.792,69,178,0.388,6,16,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Arkansas,2016,30084
Role Player,4,Jabril Durham,6-1,185,Sr,32,32,68.1,106.7,16.7,12.4,40.8,48.4,1.8,36.9,36.9,22.2,0.2,3.3,3.1,3.3,45.8,61,77,0.792,40,101,0.396,19,67,0.284,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,9,NA,NA,355,317,NA,NA,National Rank,Arkansas,2016,25092
Role Player,31,Anton Beard,6-0,195,So,23,1,36.9,96.1,19.3,22.3,40.5,43.5,2.9,14,14.2,10.3,0.5,2.6,4.4,3.4,25.6,27,42,0.643,38,98,0.388,19,66,0.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas,2016,25094
Role Player,55,Keaton Miles,6-7,212,Sr,32,24,36.8,77.4,17.1,14.1,34.5,36.6,7.8,10,10,23.2,5.2,2.3,6.8,3.6,46.6,21,48,0.438,34,99,0.343,1,4,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas,2016,14039
Limited Role,21,Manuale Watkins,6-3,205,Jr,32,9,48.2,106,15.4,15.1,47.6,48.9,5,18.5,18.5,13.8,0.5,2.2,3.5,2.9,31.7,25,46,0.543,69,144,0.479,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,465,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Arkansas,2016,18729
Limited Role,50,Willy Kouassi,6-10,230,Sr,31,2,19.5,109.8,12.9,9.2,58.3,58.4,10.6,0.7,0.7,17,8.1,0.7,6.4,4.3,100,20,36,0.556,21,36,0.583,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas,2016,11692
Nearly Invisible,1,Trey Thompson,6-9,260,So,29,1,38.5,99.6,11.8,7.9,60.7,59.4,6,11.9,11.9,30.2,5.6,1.4,7,2.5,50.8,16,31,0.516,37,61,0.607,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas,2016,25091
Go-to Guys,1,Jalen Jackson,6-6,195,Jr,32,NA,37.1,97.7,31.6,32.5,51.1,54.1,6.4,11.2,11.2,18.3,2.4,1.9,3.8,4.9,29,46,64,0.719,104,206,0.505,6,15,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas Little Rock,2016,18930
Major Contributor,3,Josh Hagins,6-1,180,Sr,33,33,76.8,117.3,24.5,24.3,53.4,57.2,3,32.5,32.5,14.1,0.8,2.9,2.6,3.7,27.3,77,93,0.828,98,200,0.49,56,141,0.397,429,219,403,NA,365,34,NA,NA,51,NA,NA,159,43,NA,NA,167,NA,255,National Rank,Arkansas Little Rock,2016,14330
Major Contributor,0,Roger Woods,6-5,230,Sr,33,18,57,110.9,24.5,21.2,56.8,59.4,6.3,15.1,15.1,16.4,1.2,2.6,3.7,5.6,60.6,87,134,0.649,109,189,0.577,11,32,0.344,NA,NA,403,NA,NA,NA,NA,NA,NA,NA,NA,272,NA,204,NA,NA,208,NA,National Rank,Arkansas Little Rock,2016,16228
Role Player,13,Marcus Johnson,5-11,175,Jr,33,18,77.2,115.7,19,19.8,57.4,61,2.4,9.6,9.6,13.7,0,1.4,1.4,3.7,36.9,80,103,0.777,61,129,0.473,66,150,0.44,41,279,NA,NA,15,117,NA,NA,NA,442,NA,NA,2,NA,NA,396,NA,49,National Rank,Arkansas Little Rock,2016,30089
Role Player,12,Lis Shoshi,6-11,210,Jr,33,32,56.5,113.2,17.7,18.7,53.4,55,9.2,7.6,7.6,11.7,6,0.6,4.9,2.8,24.4,31,47,0.66,85,163,0.521,12,30,0.4,NA,401,NA,NA,NA,NA,314,415,NA,174,116,NA,NA,NA,NA,NA,NA,NA,National Rank,Arkansas Little Rock,2016,30088
Role Player,23,Kemy Osse,6-1,208,Jr,33,23,40.4,100.9,17.3,21.4,48.4,48.9,2.5,7.9,7.9,10.1,1.7,3.4,2.9,2.1,11.4,10,18,0.556,15,50,0.3,41,108,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,76,NA,NA,NA,NA,NA,405,National Rank,Arkansas Little Rock,2016,14333
Role Player,10,Maurius Hill,6-5,220,Jr,33,15,32.7,92.5,18.1,16.4,47.5,50.3,7.8,5.7,5.7,22.9,1.2,1.9,2.8,2.8,28.6,19,28,0.679,36,80,0.45,7,18,0.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas Little Rock,2016,18736
Limited Role,14,Mareik Isom,6-9,215,Jr,33,9,47.9,114.2,15.2,18,53.5,56.1,4,4.5,4.5,9,3.3,1.1,5.9,2.4,20.9,26,33,0.788,23,54,0.426,41,104,0.394,NA,342,NA,NA,NA,NA,NA,NA,NA,31,366,NA,NA,NA,NA,NA,NA,276,National Rank,Arkansas Little Rock,2016,18739
Limited Role,11,Jermaine Ruttley,6-3,200,Sr,33,16,44.3,95.6,12.7,11.7,38.4,43.9,2.3,14.1,14.1,17.4,0,2,4.2,2.3,31.6,23,30,0.767,29,65,0.446,5,30,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Arkansas Little Rock,2016,25598
Nearly Invisible,15,Stetson Billings,6-5,195,Jr,28,NA,14.6,67.5,9.5,9.4,20,23.1,4.4,7.8,7.8,20.1,2.7,1.3,6.2,1.2,8,2,2,0.999,5,21,0.238,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas Little Rock,2016,14326
Benchwarmer,2,Daniel Green,6-10,240,Sr,20,1,8.8,97.9,14.9,12.4,40,43.6,12.4,3.1,3.1,14.2,5.5,1.1,8.8,3.3,55,6,11,0.545,8,18,0.444,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas Little Rock,2016,30086
Benchwarmer,30,Deondre Burns,6-2,175,Fr,16,NA,5.5,94.8,17.1,15,26.7,48.3,0,4.9,4.9,15,1.8,4.3,3.3,5,80,12,12,0.999,4,8,0.5,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas Little Rock,2016,30092
Major Contributor,23,Ghiavonni Robinson,6-3,190,Jr,33,31,78.8,83.5,24.9,28.2,41,43.3,2.5,16,16.5,19.3,0.3,2.7,2.9,3.4,21.7,52,83,0.627,64,154,0.416,62,229,0.271,332,NA,341,148,NA,NA,NA,NA,NA,NA,NA,236,NA,NA,NA,NA,NA,NA,National Rank,Arkansas Pine Bluff,2016,21369
